                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15     | Core 16     | Core 17     | Core 18     | Core 19     | Core 20     | Core 21     | Core 22     | Core 23     | Core 24     | Core 25     | Core 26     | Core 27     | Core 28     | Core 29     | Core 30     | Core 31     | Core 32     | Core 33     | Core 34     | Core 35     | Core 36     | Core 37     | Core 38     | Core 39     | Core 40     | Core 41     | Core 42     | Core 43     | Core 44     | Core 45     | Core 46     | Core 47     | Core 48     | Core 49     | Core 50     | Core 51     | Core 52     | Core 53     | Core 54     | Core 55     | Core 56     | Core 57     | Core 58     | Core 59     | Core 60     | Core 61     | Core 62     | Core 63    
  mpki                               |        0.28 |        0.16 |        0.15 |        0.15 |        0.15 |        0.15 |        0.15 |        0.15 |        0.16 |        0.17 |        0.17 |        0.16 |        0.17 |        0.16 |        0.16 |        0.16 |        0.17 |        0.17 |        0.16 |        0.16 |        0.16 |        0.16 |        0.16 |        0.16 |        0.17 |        0.18 |        0.16 |        0.16 |        0.16 |        0.16 |        0.16 |        0.16 |        0.17 |        0.18 |        0.16 |        0.16 |        0.16 |        0.16 |        0.16 |        0.16 |        0.17 |        0.18 |        0.16 |        0.16 |        0.16 |        0.16 |        0.16 |        0.16 |        0.17 |        0.18 |        0.17 |        0.16 |        0.16 |        0.16 |        0.16 |        0.16 |        0.17 |        0.16 |        0.16 |        0.15 |        0.15 |        0.15 |        0.14 |        0.15
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |     7271960 |     6855242 |     6914937 |     6912654 |     6930161 |     6932125 |     6948449 |     6948446 |     6921251 |     6866101 |     6924383 |     6926827 |     6941726 |     6943065 |     6959770 |     6959463 |     6932830 |     6865895 |     6924431 |     6926420 |     6941871 |     6943094 |     6959402 |     6959944 |     6932962 |     6865745 |     6924223 |     6926947 |     6942360 |     6943267 |     6959905 |     6959955 |     6932863 |     6865756 |     6924008 |     6926676 |     6942201 |     6943432 |     6959718 |     6959726 |     6932724 |     6865825 |     6924322 |     6926785 |     6942098 |     6943289 |     6959761 |     6959299 |     6933134 |     6865421 |     6924155 |     6926714 |     6941920 |     6943170 |     6959711 |     6959773 |     6933265 |     6862670 |     6920777 |     6923658 |     6939051 |     6940163 |     6956947 |     6956786
    num misses                       |         162 |          52 |          51 |          45 |          45 |          45 |          45 |          45 |          46 |          45 |          50 |          50 |          50 |          50 |          50 |          44 |          46 |          45 |          50 |          50 |          50 |          50 |          50 |          50 |          46 |          45 |          44 |          50 |          50 |          44 |          50 |          50 |          46 |          45 |          50 |          50 |          50 |          50 |          50 |          50 |          46 |          45 |          50 |          50 |          50 |          50 |          51 |          50 |          46 |          45 |          50 |          50 |          45 |          50 |          50 |          50 |          46 |          46 |          46 |          46 |          46 |          46 |          46 |          46
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    27885254 |    26790000 |    27006935 |    27003994 |    27083257 |    27092599 |    27089243 |    27089505 |    27076958 |    26821492 |    27037335 |    27039978 |    27115938 |    27124504 |    27121905 |    27121593 |    27109800 |    26821302 |    27037502 |    27039455 |    27116190 |    27124760 |    27121339 |    27122256 |    27109963 |    26821038 |    27037091 |    27040169 |    27116900 |    27124716 |    27121942 |    27122239 |    27110070 |    26821121 |    27036913 |    27039679 |    27116697 |    27124952 |    27121677 |    27121918 |    27109783 |    26821140 |    27037362 |    27040126 |    27116409 |    27124871 |    27121823 |    27121628 |    27110206 |    26820710 |    27037181 |    27039828 |    27116079 |    27124854 |    27121937 |    27122050 |    27110404 |    26826180 |    27042592 |    27045812 |    27122780 |    27131154 |    27128435 |    27128353
    num misses                       |       71611 |       54149 |       70822 |       68990 |       69183 |       68172 |       69944 |       70321 |       60793 |       58080 |       71962 |       71569 |       72802 |       71017 |       71803 |       71466 |       60966 |       59799 |       70675 |       71275 |       71697 |       71734 |       76088 |       70229 |       61640 |       62750 |       72276 |       72660 |       72084 |       71732 |       71245 |       74001 |       62860 |       60153 |       71851 |       72232 |       72916 |       72686 |       72160 |       71139 |       62048 |       59682 |       72006 |       71980 |       72382 |       72211 |       71310 |       71772 |       62425 |       62994 |       73723 |       72306 |       71418 |       71708 |       77803 |       74710 |       61617 |       58001 |       69810 |       70717 |       70569 |       75726 |       70946 |       69407
