                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15     | Core 16     | Core 17     | Core 18     | Core 19     | Core 20     | Core 21     | Core 22     | Core 23     | Core 24     | Core 25     | Core 26     | Core 27     | Core 28     | Core 29     | Core 30     | Core 31     | Core 32     | Core 33     | Core 34     | Core 35     | Core 36     | Core 37     | Core 38     | Core 39     | Core 40     | Core 41     | Core 42     | Core 43     | Core 44     | Core 45     | Core 46     | Core 47     | Core 48     | Core 49     | Core 50     | Core 51     | Core 52     | Core 53     | Core 54     | Core 55     | Core 56     | Core 57     | Core 58     | Core 59     | Core 60     | Core 61     | Core 62     | Core 63    
    num cache misses                 |       87771 |       39845 |       39103 |       39012 |       39151 |       39269 |       39237 |       39319 |       39625 |       38441 |       37751 |       37777 |       37959 |       37964 |       38000 |       37965 |       38667 |       38427 |       37854 |       37740 |       37921 |       37967 |       37867 |       37971 |       38780 |       38444 |       37743 |       37804 |       38008 |       37960 |       37977 |       37960 |       38593 |       38466 |       37760 |       37724 |       38028 |       37971 |       37998 |       38083 |       38665 |       38446 |       37708 |       37803 |       38036 |       38003 |       38050 |       37992 |       38607 |       38384 |       37744 |       37709 |       37875 |       37998 |       37960 |       38000 |       38698 |       39867 |       38846 |       38923 |       39059 |       38993 |       39017 |       38999
    miss rate                        |       1.21% |       0.58% |       0.57% |       0.56% |       0.56% |       0.57% |       0.56% |       0.57% |       0.57% |       0.56% |       0.55% |       0.55% |       0.55% |       0.55% |       0.55% |       0.55% |       0.56% |       0.56% |       0.55% |       0.54% |       0.55% |       0.55% |       0.54% |       0.55% |       0.56% |       0.56% |       0.55% |       0.55% |       0.55% |       0.55% |       0.55% |       0.55% |       0.56% |       0.56% |       0.55% |       0.54% |       0.55% |       0.55% |       0.55% |       0.55% |       0.56% |       0.56% |       0.54% |       0.55% |       0.55% |       0.55% |       0.55% |       0.55% |       0.56% |       0.56% |       0.55% |       0.54% |       0.55% |       0.55% |       0.55% |       0.55% |       0.56% |       0.58% |       0.56% |       0.56% |       0.56% |       0.56% |       0.56% |       0.56%
    mpki                             |        1.21 |        0.57 |        0.56 |        0.56 |        0.56 |        0.56 |        0.56 |        0.56 |        0.57 |        0.55 |        0.54 |        0.54 |        0.54 |        0.54 |        0.54 |        0.54 |        0.55 |        0.55 |        0.54 |        0.54 |        0.54 |        0.54 |        0.54 |        0.54 |        0.55 |        0.55 |        0.54 |        0.54 |        0.54 |        0.54 |        0.54 |        0.54 |        0.55 |        0.55 |        0.54 |        0.54 |        0.54 |        0.54 |        0.54 |        0.54 |        0.55 |        0.55 |        0.54 |        0.54 |        0.54 |        0.54 |        0.54 |        0.54 |        0.55 |        0.55 |        0.54 |        0.54 |        0.54 |        0.54 |        0.54 |        0.54 |        0.55 |        0.57 |        0.56 |        0.56 |        0.56 |        0.56 |        0.56 |        0.56
  Cache L1-D                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    27885254 |    26790000 |    27006935 |    27003994 |    27083257 |    27092599 |    27089243 |    27089505 |    27076958 |    26821492 |    27037335 |    27039978 |    27115938 |    27124504 |    27121905 |    27121593 |    27109800 |    26821302 |    27037502 |    27039455 |    27116190 |    27124760 |    27121339 |    27122256 |    27109963 |    26821038 |    27037091 |    27040169 |    27116900 |    27124716 |    27121942 |    27122239 |    27110070 |    26821121 |    27036913 |    27039679 |    27116697 |    27124952 |    27121677 |    27121918 |    27109783 |    26821140 |    27037362 |    27040126 |    27116409 |    27124871 |    27121823 |    27121628 |    27110206 |    26820710 |    27037181 |    27039828 |    27116079 |    27124854 |    27121937 |    27122050 |    27110404 |    26826180 |    27042592 |    27045812 |    27122780 |    27131154 |    27128435 |    27128353
    num cache misses                 |     2423989 |     2364932 |     2362669 |     2362656 |     2363499 |     2363679 |     2362857 |     2363006 |     2370132 |     2370557 |     2369226 |     2369468 |     2369629 |     2369830 |     2368867 |     2368728 |     2375688 |     2371294 |     2369090 |     2369235 |     2369825 |     2369707 |     2368266 |     2369382 |     2375415 |     2371072 |     2368315 |     2369119 |     2369113 |     2369896 |     2368247 |     2368596 |     2375401 |     2371134 |     2369287 |     2369007 |     2368735 |     2369749 |     2368953 |     2368492 |     2374980 |     2371637 |     2370150 |     2369413 |     2368413 |     2370159 |     2369110 |     2368500 |     2375062 |     2370478 |     2369804 |     2368615 |     2369198 |     2370136 |     2369246 |     2368439 |     2374732 |     2365316 |     2364691 |     2363549 |     2363449 |     2364055 |     2364084 |     2363357
    miss rate                        |       8.69% |       8.83% |       8.75% |       8.75% |       8.73% |       8.72% |       8.72% |       8.72% |       8.75% |       8.84% |       8.76% |       8.76% |       8.74% |       8.74% |       8.73% |       8.73% |       8.76% |       8.84% |       8.76% |       8.76% |       8.74% |       8.74% |       8.73% |       8.74% |       8.76% |       8.84% |       8.76% |       8.76% |       8.74% |       8.74% |       8.73% |       8.73% |       8.76% |       8.84% |       8.76% |       8.76% |       8.74% |       8.74% |       8.73% |       8.73% |       8.76% |       8.84% |       8.77% |       8.76% |       8.73% |       8.74% |       8.74% |       8.73% |       8.76% |       8.84% |       8.76% |       8.76% |       8.74% |       8.74% |       8.74% |       8.73% |       8.76% |       8.82% |       8.74% |       8.74% |       8.71% |       8.71% |       8.71% |       8.71%
    mpki                             |       33.33 |       33.98 |       33.88 |       33.88 |       33.72 |       33.71 |       33.71 |       33.71 |       33.80 |       34.03 |       33.94 |       33.94 |       33.78 |       33.77 |       33.77 |       33.76 |       33.85 |       34.04 |       33.94 |       33.94 |       33.78 |       33.77 |       33.76 |       33.77 |       33.84 |       34.04 |       33.93 |       33.94 |       33.77 |       33.77 |       33.76 |       33.76 |       33.84 |       34.04 |       33.94 |       33.93 |       33.76 |       33.77 |       33.77 |       33.76 |       33.84 |       34.05 |       33.95 |       33.94 |       33.76 |       33.77 |       33.77 |       33.76 |       33.84 |       34.03 |       33.95 |       33.93 |       33.77 |       33.77 |       33.77 |       33.76 |       33.83 |       33.95 |       33.87 |       33.85 |       33.69 |       33.68 |       33.69 |       33.68
  Cache L2                           |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |     2914402 |     2808144 |     2810172 |     2809478 |     2809911 |     2811115 |     2809088 |     2810295 |     2812081 |     2812423 |     2814435 |     2815007 |     2814449 |     2815468 |     2814954 |     2815961 |     2817263 |     2813589 |     2813636 |     2815613 |     2815674 |     2816114 |     2814169 |     2816762 |     2817131 |     2813162 |     2813369 |     2815759 |     2814607 |     2816671 |     2814587 |     2815705 |     2817047 |     2813332 |     2814542 |     2815960 |     2814106 |     2815781 |     2815469 |     2815762 |     2816543 |     2813826 |     2814856 |     2816007 |     2813518 |     2817176 |     2815134 |     2815422 |     2816521 |     2812666 |     2814761 |     2814816 |     2814755 |     2816642 |     2815797 |     2816120 |     2816381 |     2808471 |     2809566 |     2809685 |     2809800 |     2811095 |     2809940 |     2811551
    num cache misses                 |     2183487 |     2126014 |     2135637 |     2134421 |     2137667 |     2137605 |     2138125 |     2136349 |     2132539 |     2128841 |     2138498 |     2138850 |     2140388 |     2139621 |     2140171 |     2140165 |     2136710 |     2130142 |     2138465 |     2138701 |     2140537 |     2140183 |     2140427 |     2139250 |     2135935 |     2129216 |     2137251 |     2136719 |     2141450 |     2140157 |     2140516 |     2139838 |     2135918 |     2129442 |     2138416 |     2138814 |     2140110 |     2137532 |     2139760 |     2140474 |     2136246 |     2128913 |     2139379 |     2138871 |     2140491 |     2140395 |     2140754 |     2138673 |     2136470 |     2129333 |     2138217 |     2139771 |     2140650 |     2139874 |     2140562 |     2139187 |     2136196 |     2126558 |     2135257 |     2135160 |     2135997 |     2136606 |     2138111 |     2137908
    miss rate                        |      74.92% |      75.71% |      76.00% |      75.97% |      76.08% |      76.04% |      76.11% |      76.02% |      75.83% |      75.69% |      75.98% |      75.98% |      76.05% |      76.00% |      76.03% |      76.00% |      75.84% |      75.71% |      76.00% |      75.96% |      76.02% |      76.00% |      76.06% |      75.95% |      75.82% |      75.69% |      75.97% |      75.88% |      76.08% |      75.98% |      76.05% |      76.00% |      75.82% |      75.69% |      75.98% |      75.95% |      76.05% |      75.91% |      76.00% |      76.02% |      75.85% |      75.66% |      76.00% |      75.95% |      76.08% |      75.98% |      76.04% |      75.96% |      75.85% |      75.71% |      75.96% |      76.02% |      76.05% |      75.97% |      76.02% |      75.96% |      75.85% |      75.72% |      76.00% |      75.99% |      76.02% |      76.01% |      76.09% |      76.04%
    mpki                             |       30.02 |       30.55 |       30.62 |       30.61 |       30.50 |       30.49 |       30.51 |       30.48 |       30.41 |       30.56 |       30.63 |       30.64 |       30.51 |       30.49 |       30.51 |       30.51 |       30.44 |       30.58 |       30.63 |       30.64 |       30.51 |       30.50 |       30.51 |       30.49 |       30.43 |       30.57 |       30.62 |       30.61 |       30.52 |       30.50 |       30.51 |       30.50 |       30.43 |       30.57 |       30.63 |       30.64 |       30.51 |       30.46 |       30.50 |       30.51 |       30.44 |       30.56 |       30.65 |       30.64 |       30.51 |       30.50 |       30.51 |       30.49 |       30.44 |       30.57 |       30.63 |       30.65 |       30.51 |       30.49 |       30.51 |       30.49 |       30.44 |       30.53 |       30.59 |       30.58 |       30.44 |       30.44 |       30.47 |       30.47
  Cache L3                           |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |     2589798 |     2531403 |     2548040 |     2546647 |     2549629 |     2550052 |     2549370 |     2548490 |     2538286 |     2534769 |     2550172 |     2551098 |     2551570 |     2552161 |     2552784 |     2553621 |     2543032 |     2536569 |     2549347 |     2551416 |     2552795 |     2553510 |     2552783 |     2552695 |     2542374 |     2534986 |     2549011 |     2549841 |     2553481 |     2553532 |     2553304 |     2553305 |     2542326 |     2535162 |     2550564 |     2552049 |     2552304 |     2550054 |     2552906 |     2553847 |     2542745 |     2534850 |     2551133 |     2551875 |     2551934 |     2554392 |     2553134 |     2551725 |     2542792 |     2535551 |     2549668 |     2552458 |     2552851 |     2553136 |     2553592 |     2552945 |     2542561 |     2531913 |     2545755 |     2546355 |     2547537 |     2549169 |     2549322 |     2551123
    num cache misses                 |     2158811 |     2061595 |     2084335 |     2043080 |     2071403 |     2051209 |     2047289 |     2078546 |     2107612 |     2068071 |     2048152 |     2084379 |     2070456 |     2051954 |     2052139 |     2086071 |     2111293 |     2068092 |     2046539 |     2087366 |     2071996 |     2052640 |     2050953 |     2084960 |     2109741 |     2068423 |     2045485 |     2085129 |     2072123 |     2052686 |     2051472 |     2085728 |     2110410 |     2068869 |     2046131 |     2087169 |     2071537 |     2050326 |     2050584 |     2085492 |     2110697 |     2068346 |     2046450 |     2087574 |     2072427 |     2051528 |     2052535 |     2084121 |     2110653 |     2069470 |     2045637 |     2087958 |     2072634 |     2052633 |     2050534 |     2084883 |     2110366 |     2066097 |     2041140 |     2083900 |     2065262 |     2045515 |     2047807 |     2087755
    miss rate                        |      83.36% |      81.44% |      81.80% |      80.23% |      81.24% |      80.44% |      80.31% |      81.56% |      83.03% |      81.59% |      80.31% |      81.71% |      81.14% |      80.40% |      80.39% |      81.69% |      83.02% |      81.53% |      80.28% |      81.81% |      81.17% |      80.39% |      80.34% |      81.68% |      82.98% |      81.60% |      80.25% |      81.77% |      81.15% |      80.39% |      80.35% |      81.69% |      83.01% |      81.61% |      80.22% |      81.78% |      81.16% |      80.40% |      80.32% |      81.66% |      83.01% |      81.60% |      80.22% |      81.81% |      81.21% |      80.31% |      80.39% |      81.67% |      83.01% |      81.62% |      80.23% |      81.80% |      81.19% |      80.40% |      80.30% |      81.67% |      83.00% |      81.60% |      80.18% |      81.84% |      81.07% |      80.24% |      80.33% |      81.84%
    mpki                             |       29.68 |       29.62 |       29.89 |       29.30 |       29.56 |       29.26 |       29.21 |       29.66 |       30.06 |       29.69 |       29.34 |       29.86 |       29.51 |       29.24 |       29.25 |       29.74 |       30.08 |       29.69 |       29.32 |       29.90 |       29.54 |       29.25 |       29.23 |       29.72 |       30.06 |       29.69 |       29.30 |       29.87 |       29.54 |       29.25 |       29.24 |       29.73 |       30.07 |       29.70 |       29.31 |       29.90 |       29.53 |       29.22 |       29.23 |       29.73 |       30.07 |       29.69 |       29.31 |       29.90 |       29.54 |       29.23 |       29.26 |       29.71 |       30.07 |       29.71 |       29.30 |       29.91 |       29.54 |       29.25 |       29.23 |       29.72 |       30.07 |       29.66 |       29.24 |       29.85 |       29.44 |       29.14 |       29.19 |       29.76
DRAM summary                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num dram accesses                  |   185130825 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |     2279.66 |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |     2247.80 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      86.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num loads from dram                |     1574001 |     1568899 |     1563851 |     1557352 |     1556630 |     1562068 |     1561897 |     1565924 |     1574572 |     1565179 |     1552340 |     1553425 |     1551991 |     1556330 |     1556398 |     1563136 |     1570232 |     1565360 |     1552125 |     1555088 |     1552119 |     1556884 |     1556068 |     1561138 |     1569959 |     1565120 |     1550898 |     1554267 |     1552086 |     1556021 |     1556663 |     1561954 |     1570898 |     1565792 |     1551720 |     1556519 |     1550621 |     1553037 |     1555651 |     1562458 |     1570185 |     1565083 |     1552323 |     1555139 |     1552383 |     1556231 |     1557155 |     1561406 |     1569592 |     1565676 |     1550946 |     1556246 |     1551966 |     1556011 |     1555448 |     1561217 |     1569439 |     1564823 |     1549639 |     1551654 |     1550418 |     1553625 |     1555604 |     1561841
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |       43872 |        9125 |       38009 |       11492 |       35597 |       11471 |       11684 |       33839 |       38359 |       16747 |       20819 |       48891 |       40849 |       17907 |       19797 |       41662 |       46621 |       17481 |       19859 |       48779 |       41333 |       18490 |       19940 |       42305 |       45925 |       17423 |       19488 |       48259 |       41875 |       18896 |       19668 |       42481 |       45583 |       17095 |       19567 |       47958 |       42814 |       18862 |       19846 |       42281 |       46267 |       17276 |       19845 |       49314 |       41235 |       18185 |       19895 |       41057 |       47057 |       17559 |       20355 |       48807 |       42008 |       18606 |       20280 |       42495 |       46860 |       14753 |       17612 |       49239 |       37571 |       15700 |       17439 |       41734
