                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
  Instructions                       |  100001388 |   99666896 |   99704582 |   99678399 |   99692355 |   99704074 |   99698102 |   99692000 |   99691916 |   99691745 |   99693441 |   99693259 |   99696521 |   99690480 |   99711131 |   99712496 |   99696438 |   99688393 |   99704541 |   99705606 |   99695344 |   99681471 |   99703994 |   99705645 |   99704698 |   99696112 |   99697297 |   99700375 |   99697035 |   99695035 |   99691930 |   99992548
  Cycles                             |   47718360 |   47718360 |   47718360 |   47718360 |   47718360 |   47718360 |   47718360 |   47718360 |   47718360 |   47718360 |   47718360 |   47718360 |   47718360 |   47718360 |   47718360 |   47718360 |   47718360 |   47718360 |   47718360 |   47718360 |   47718360 |   47718360 |   47718360 |   47718360 |   47718360 |   47718360 |   47718360 |   47718360 |   47718360 |   47718360 |   47718360 |   47718360
  IPC                                |       2.10 |       2.09 |       2.09 |       2.09 |       2.09 |       2.09 |       2.09 |       2.09 |       2.09 |       2.09 |       2.09 |       2.09 |       2.09 |       2.09 |       2.09 |       2.09 |       2.09 |       2.09 |       2.09 |       2.09 |       2.09 |       2.09 |       2.09 |       2.09 |       2.09 |       2.09 |       2.09 |       2.09 |       2.09 |       2.09 |       2.09 |       2.10
  Time (ns)                          |   13255100 |   13255100 |   13255100 |   13255100 |   13255100 |   13255100 |   13255100 |   13255100 |   13255100 |   13255100 |   13255100 |   13255100 |   13255100 |   13255100 |   13255100 |   13255100 |   13255100 |   13255100 |   13255100 |   13255100 |   13255100 |   13255100 |   13255100 |   13255100 |   13255100 |   13255100 |   13255100 |   13255100 |   13255100 |   13255100 |   13255100 |   13255100
  Idle time (ns)                     |        -36 |        -66 |        -36 |        -50 |        -51 |        -45 |        -53 |        -69 |        -90 |        -81 |        -73 |         -0 |        -78 |        -58 |        -45 |        -47 |        -75 |        -46 |        -43 |        -97 |        -42 |        -41 |        -41 |        -78 |        -32 |        -80 |        -48 |        -45 |        -48 |        -49 |        -89 |        -53
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    3266510 |    3256329 |    3256962 |    3256576 |    3256833 |    3256957 |    3256916 |    3256801 |    3256794 |    3256779 |    3256879 |    3256878 |    3256904 |    3256724 |    3257006 |    3257014 |    3256904 |    3256707 |    3256961 |    3256966 |    3256894 |    3256604 |    3256957 |    3256966 |    3256962 |    3256903 |    3256910 |    3256931 |    3256907 |    3256892 |    3256795 |    3266029
  num incorrect                      |      31394 |      31277 |      31285 |      31277 |      31284 |      31285 |      31285 |      31284 |      31284 |      31284 |      31285 |      31285 |      31285 |      31281 |      31285 |      31285 |      31285 |      31281 |      31285 |      31285 |      31285 |      31278 |      31285 |      31285 |      31285 |      31285 |      31285 |      31285 |      31285 |      31285 |      31284 |      31389
  misprediction rate                 |      0.95% |      0.95% |      0.95% |      0.95% |      0.95% |      0.95% |      0.95% |      0.95% |      0.95% |      0.95% |      0.95% |      0.95% |      0.95% |      0.95% |      0.95% |      0.95% |      0.95% |      0.95% |      0.95% |      0.95% |      0.95% |      0.95% |      0.95% |      0.95% |      0.95% |      0.95% |      0.95% |      0.95% |      0.95% |      0.95% |      0.95% |      0.95%
