                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
    num accesses                     |   17780866 |   17699016 |   17694992 |   17695706 |   17693747 |   17693118 |   17695560 |   17696358 |   17695818 |   17694950 |   17696262 |   17696100 |   17692308 |   17692176 |   17696179 |   17696182 |   17695932 |   17695941 |   17696842 |   17696918 |   17696491 |   17696438 |   17695552 |   17695737 |   17696897 |   17696810 |   17695226 |   17695190 |   17695717 |   17695689 |   17702467 |   17782118
    num misses                       |      28098 |      27928 |      27927 |      27927 |      27921 |      27916 |      27927 |      27927 |      27927 |      27927 |      27927 |      27927 |      27911 |      27911 |      27927 |      27927 |      27927 |      27927 |      27927 |      27927 |      27927 |      27927 |      27927 |      27927 |      27927 |      27927 |      27927 |      27927 |      27927 |      27927 |      27943 |      28098
    miss rate                        |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16%
    mpki                             |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      28109 |      27939 |      27938 |      27938 |      27932 |      27927 |      27938 |      27938 |      27938 |      27938 |      27938 |      27938 |      27922 |      27922 |      27938 |      27938 |      27938 |      27938 |      27938 |      27938 |      27938 |      27938 |      27938 |      27938 |      27938 |      27938 |      27938 |      27938 |      27938 |      27938 |      27954 |      28109
    num misses                       |        224 |        223 |        223 |        223 |        223 |        223 |        223 |        223 |        223 |        223 |        223 |        223 |        223 |        223 |        223 |        223 |        223 |        223 |        223 |        223 |        223 |        223 |        223 |        223 |        223 |        223 |        223 |        223 |        223 |        223 |        223 |        224
    miss rate                        |      0.80% |      0.80% |      0.80% |      0.80% |      0.80% |      0.80% |      0.80% |      0.80% |      0.80% |      0.80% |      0.80% |      0.80% |      0.80% |      0.80% |      0.80% |      0.80% |      0.80% |      0.80% |      0.80% |      0.80% |      0.80% |      0.80% |      0.80% |      0.80% |      0.80% |      0.80% |      0.80% |      0.80% |      0.80% |      0.80% |      0.80% |      0.80%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   11907318 |   11852743 |   11849545 |   11850113 |   11849066 |   11848874 |   11849997 |   11850632 |   11850203 |   11849513 |   11850556 |   11850426 |   11848412 |   11848308 |   11850490 |   11850492 |   11850294 |   11850300 |   11851017 |   11851077 |   11850737 |   11850696 |   11849991 |   11850138 |   11851060 |   11850990 |   11849732 |   11849703 |   11850121 |   11850100 |   11854773 |   11908314
    num cache misses                 |        187 |        187 |        183 |        182 |        180 |        183 |        179 |        180 |        184 |        186 |        179 |        180 |        180 |        186 |        183 |        180 |        180 |        183 |        185 |        182 |        179 |        185 |        182 |        179 |        185 |        184 |        183 |        178 |        184 |        183 |        187 |        187
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
