                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
    num accesses                     |   63009434 |   62989354 |   63002125 |   63025137 |   57392650 |   15724325 |   15707448 |   15692117 |   15710262 |   15704712 |    4218963 |    4221267 |    4248822 |    4250466 |    4211383 |    4181982 |    7273456 |    7274377 |    7258399 |    7257998 |    7120936 |    7105039 |    7054930 |    7054350 |    7024845 |    7024845 |    4252735 |    4246852 |    4216787 |    4212858 |    4237725 |    4281942
    num misses                       |          8 |          8 |          8 |          8 |          8 |       5054 |       5051 |       5047 |       5051 |       5050 |      13320 |      13326 |      13411 |      13415 |      13295 |      13209 |      22921 |      22927 |      22855 |      22852 |      22371 |      22321 |      22147 |      22144 |      22057 |      22057 |      13426 |      13406 |      13313 |      13298 |      13377 |      13521
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.31% |      0.31% |      0.31% |      0.31% |      0.31% |      0.31% |      0.31% |      0.31% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       1.55 |       1.55 |       1.55 |       1.55 |       1.55 |       1.55 |       1.55 |       1.55 |       1.55 |       1.55 |       1.54 |       1.54 |       1.54 |       1.54 |       1.54 |       1.54 |       1.55 |       1.55 |       1.55 |       1.55 |       1.55 |       1.55
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |         16 |         16 |         16 |         16 |         16 |       5066 |       5063 |       5059 |       5063 |       5062 |      13322 |      13328 |      13413 |      13417 |      13297 |      13211 |      22923 |      22929 |      22857 |      22854 |      22373 |      22323 |      22149 |      22146 |      22059 |      22059 |      13428 |      13408 |      13315 |      13300 |      13379 |      13523
    num misses                       |         16 |         16 |         16 |         16 |         16 |       3705 |       3702 |       3698 |       3702 |       3701 |       7263 |       7266 |       7312 |       7315 |       7250 |       7203 |      12472 |      12475 |      12436 |      12435 |      12174 |      12146 |      12052 |      12051 |      12003 |      12003 |       7320 |       7310 |       7260 |       7252 |       7294 |       7372
    miss rate                        |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |     73.13% |     73.12% |     73.10% |     73.12% |     73.11% |     54.52% |     54.52% |     54.51% |     54.52% |     54.52% |     54.52% |     54.41% |     54.41% |     54.41% |     54.41% |     54.41% |     54.41% |     54.41% |     54.42% |     54.41% |     54.41% |     54.51% |     54.52% |     54.52% |     54.53% |     54.52% |     54.51%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.85 |       0.85 |       0.84 |       0.84 |       0.85 |       0.85 |       0.84 |       0.84 |       0.84 |       0.84 |       0.84 |       0.84 |       0.84 |       0.84 |       0.84 |       0.84 |       0.85 |       0.85 |       0.85 |       0.85 |       0.85 |       0.85
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   14251979 |   14247132 |   14250096 |   14255330 |   12982442 |    3481633 |    3478006 |    3474699 |    3478602 |    3477409 |     778687 |     779123 |     784206 |     784519 |     777281 |     771821 |    1342574 |    1342724 |    1339924 |    1339862 |    1314925 |    1312000 |    1302858 |    1302749 |    1297277 |    1297277 |     784924 |     783843 |     778272 |     777569 |     782157 |     790287
    num cache misses                 |        320 |        320 |        320 |        320 |       5735 |       1757 |       1816 |       1818 |       1813 |       1814 |       5946 |       5951 |       6017 |       6016 |       5985 |       5975 |      10178 |      10182 |      10121 |      10103 |       9986 |      10022 |       9824 |       9829 |       9715 |       9733 |       6021 |       6013 |       5956 |       5967 |       6063 |       6071
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.04% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.76% |      0.76% |      0.77% |      0.77% |      0.77% |      0.77% |      0.76% |      0.76% |      0.76% |      0.75% |      0.76% |      0.76% |      0.75% |      0.75% |      0.75% |      0.75% |      0.77% |      0.77% |      0.77% |      0.77% |      0.78% |      0.77%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.06 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.69 |       0.69 |       0.70 |       0.69 |       0.70 |       0.70 |       0.69 |       0.69 |       0.68 |       0.68 |       0.69 |       0.69 |       0.68 |       0.68 |       0.68 |       0.68 |       0.70 |       0.70 |       0.69 |       0.70 |       0.70 |       0.70
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   63009434 |   62989354 |   63002125 |   63025137 |   57392650 |   15724325 |   15707448 |   15692117 |   15710262 |   15704712 |    4218963 |    4221267 |    4248822 |    4250466 |    4211383 |    4181982 |    7273456 |    7274377 |    7258399 |    7257998 |    7120936 |    7105039 |    7054930 |    7054350 |    7024845 |    7024845 |    4252735 |    4246852 |    4216787 |    4212858 |    4237725 |    4281942
    num cache misses                 |        202 |        202 |        202 |        202 |       3300 |     259789 |     259693 |     259464 |     259661 |     259623 |     763150 |     763492 |     768530 |     768746 |     761867 |     756798 |    1314711 |    1315057 |    1310925 |    1310779 |    1283114 |    1280186 |    1270261 |    1270160 |    1265018 |    1265008 |     769268 |     768158 |     762864 |     761992 |     766522 |     774763
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.01% |      1.65% |      1.65% |      1.65% |      1.65% |      1.65% |     18.09% |     18.09% |     18.09% |     18.09% |     18.09% |     18.10% |     18.08% |     18.08% |     18.06% |     18.06% |     18.02% |     18.02% |     18.01% |     18.01% |     18.01% |     18.01% |     18.09% |     18.09% |     18.09% |     18.09% |     18.09% |     18.09%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.04 |      11.22 |      11.23 |      11.23 |      11.23 |      11.23 |      88.81 |      88.80 |      88.81 |      88.79 |      88.82 |      88.86 |      88.73 |      88.74 |      88.63 |      88.63 |      88.36 |      88.36 |      88.28 |      88.28 |      88.29 |      88.29 |      88.81 |      88.80 |      88.83 |      88.80 |      88.81 |      88.84
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |        634 |        634 |        634 |        634 |      10884 |     262276 |     262365 |     262116 |     262349 |     262308 |     769321 |     769681 |     774767 |     774963 |     768063 |     762978 |    1325260 |    1325606 |    1321401 |    1321249 |    1293470 |    1290589 |    1280409 |    1280307 |    1275058 |    1275090 |     775507 |     774412 |     769014 |     768185 |     772804 |     781048
    num cache misses                 |        522 |        522 |        522 |        522 |       9035 |     142732 |     151575 |     151447 |     151546 |     151479 |     605035 |     605481 |     609674 |     610204 |     605833 |     600595 |    1041523 |    1041408 |    1038832 |    1039050 |    1020971 |    1018526 |    1006063 |    1006023 |    1003422 |    1003517 |     610112 |     609710 |     605308 |     604630 |     608541 |     615535
    miss rate                        |     82.33% |     82.33% |     82.33% |     82.33% |     83.01% |     54.42% |     57.77% |     57.78% |     57.77% |     57.75% |     78.65% |     78.67% |     78.69% |     78.74% |     78.88% |     78.72% |     78.59% |     78.56% |     78.62% |     78.64% |     78.93% |     78.92% |     78.57% |     78.58% |     78.70% |     78.70% |     78.67% |     78.73% |     78.71% |     78.71% |     78.74% |     78.81%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.10 |       6.17 |       6.56 |       6.56 |       6.55 |       6.55 |      70.41 |      70.42 |      70.45 |      70.48 |      70.63 |      70.52 |      70.29 |      70.28 |      70.24 |      70.25 |      70.31 |      70.30 |      69.92 |      69.92 |      70.03 |      70.04 |      70.44 |      70.49 |      70.48 |      70.46 |      70.50 |      70.58
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |        634 |        634 |        634 |        634 |      10884 |     143462 |     152431 |     152281 |     152421 |     152350 |     605262 |     605719 |     609895 |     610405 |     606045 |     600800 |    1041896 |    1041776 |    1039188 |    1039418 |    1021342 |    1018907 |    1006388 |    1006341 |    1003748 |    1003867 |     610330 |     609952 |     605502 |     604856 |     608760 |     615749
    num cache misses                 |        522 |        522 |        522 |        522 |       9035 |     140940 |     151437 |     151332 |     151416 |     151353 |     603311 |     603704 |     607630 |     607859 |     602888 |     598972 |    1037731 |    1037816 |    1035732 |    1035956 |    1018872 |    1016659 |    1002519 |    1002394 |    1000990 |    1001178 |     607466 |     607817 |     603069 |     602622 |     606928 |     613111
    miss rate                        |     82.33% |     82.33% |     82.33% |     82.33% |     83.01% |     98.24% |     99.35% |     99.38% |     99.34% |     99.35% |     99.68% |     99.67% |     99.63% |     99.58% |     99.48% |     99.70% |     99.60% |     99.62% |     99.67% |     99.67% |     99.76% |     99.78% |     99.62% |     99.61% |     99.73% |     99.73% |     99.53% |     99.65% |     99.60% |     99.63% |     99.70% |     99.57%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.10 |       6.09 |       6.55 |       6.55 |       6.55 |       6.55 |      70.21 |      70.22 |      70.21 |      70.21 |      70.29 |      70.33 |      70.03 |      70.03 |      70.03 |      70.04 |      70.17 |      70.17 |      69.67 |      69.67 |      69.86 |      69.88 |      70.13 |      70.27 |      70.22 |      70.23 |      70.32 |      70.31
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |    1864960 |          0 |    1864651 |          0 |    1861104 |          0 |    1861715 |          0 |    1843103 |          0 |    1968764 |          0 |    1952941 |          0 |    1952825 |          0 |    1950511 |          0 |    1950825 |          0 |    2172434 |          0 |    2173804 |          0 |    2172316 |          0 |    2172166 |          0 |    2171500 |          0 |    2175531 |          0
  average dram access latency (ns)   |     245.31 |        inf |     244.37 |        inf |     244.12 |        inf |     244.90 |        inf |     248.91 |        inf |     240.67 |        inf |     237.66 |        inf |     238.93 |        inf |     239.09 |        inf |     238.68 |        inf |     387.21 |        inf |     388.34 |        inf |     387.46 |        inf |     387.35 |        inf |     394.63 |        inf |     393.30 |        inf
  average dram queueing delay        |     207.89 |       0.00 |     206.94 |       0.00 |     206.69 |       0.00 |     207.47 |       0.00 |     211.48 |       0.00 |     203.24 |       0.00 |     200.23 |       0.00 |     201.50 |       0.00 |     201.66 |       0.00 |     201.25 |       0.00 |     349.78 |       0.00 |     350.91 |       0.00 |     350.03 |       0.00 |     349.92 |       0.00 |     357.21 |       0.00 |     355.87 |       0.00
  average dram bandwidth utilization |     74.00% |      0.00% |     74.00% |      0.00% |     74.00% |      0.00% |     74.00% |      0.00% |     73.00% |      0.00% |     78.00% |      0.00% |     77.00% |      0.00% |     77.00% |      0.00% |     77.00% |      0.00% |     77.00% |      0.00% |     86.00% |      0.00% |     86.00% |      0.00% |     86.00% |      0.00% |     86.00% |      0.00% |     86.00% |      0.00% |     86.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |        124 |        124 |        124 |        124 |       2034 |     140794 |     149666 |     149538 |     149655 |     149592 |     116140 |     116187 |     116929 |     116940 |     115895 |     115123 |     200031 |     200074 |     199444 |     199414 |     195216 |     194788 |     193236 |     193196 |     192447 |     192493 |     117025 |     116888 |     116053 |     115942 |     116615 |     117862
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
