                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
    num accesses                     |   23732499 |   23649561 |   23590064 |   23590988 |   23610179 |   23635764 |   23617917 |   23590853 |   23648614 |   23611992 |   23585637 |   23578650 |   23684837 |   23652544 |   23649510 |   23701858 |   23716898 |   23645757 |   23607057 |   23584611 |   23590497 |   23637359 |   23609081 |   23587488 |   23617455 |   23618705 |   23602538 |   23595515 |   23671821 |   23637803 |   23674667 |   23723810
    num misses                       |        610 |        569 |        569 |        569 |        569 |        569 |        569 |        569 |        569 |        569 |        569 |        569 |        569 |        569 |        569 |        570 |        577 |        569 |        569 |        569 |        569 |        569 |        569 |        569 |        569 |        569 |        569 |        569 |        569 |        569 |        569 |        594
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        629 |        588 |        588 |        588 |        588 |        588 |        588 |        588 |        588 |        588 |        588 |        588 |        588 |        588 |        588 |        589 |        596 |        588 |        588 |        588 |        588 |        588 |        588 |        588 |        588 |        588 |        588 |        588 |        588 |        588 |        588 |        613
    num misses                       |        426 |        404 |        404 |        404 |        404 |        404 |        404 |        404 |        404 |        404 |        404 |        404 |        404 |        404 |        404 |        405 |        406 |        404 |        404 |        404 |        404 |        404 |        404 |        404 |        404 |        404 |        404 |        404 |        404 |        404 |        404 |        420
    miss rate                        |     67.73% |     68.71% |     68.71% |     68.71% |     68.71% |     68.71% |     68.71% |     68.71% |     68.71% |     68.71% |     68.71% |     68.71% |     68.71% |     68.71% |     68.71% |     68.76% |     68.12% |     68.71% |     68.71% |     68.71% |     68.71% |     68.71% |     68.71% |     68.71% |     68.71% |     68.71% |     68.71% |     68.71% |     68.71% |     68.71% |     68.71% |     68.52%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
