                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
    num accesses                     |   17891221 |   17804988 |   17805063 |   17805112 |   17804721 |   17804880 |   17805426 |   17805044 |   17806832 |   17806811 |   17807492 |   17807507 |   17806187 |   17806239 |   17805291 |   17805432 |   17805021 |   17805063 |   17806583 |   17806438 |   17803459 |   17803715 |   17804832 |   17804774 |   17804939 |   17804774 |   17805985 |   17805819 |   17805199 |   17805174 |   17805134 |   17889804
    num misses                       |      28490 |      28369 |      28369 |      28369 |      28369 |      28369 |      28369 |      28369 |      28369 |      28369 |      28369 |      28369 |      28369 |      28369 |      28369 |      28369 |      28369 |      28369 |      28369 |      28369 |      28367 |      28368 |      28369 |      28369 |      28369 |      28369 |      28369 |      28369 |      28369 |      28369 |      28369 |      28490
    miss rate                        |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16%
    mpki                             |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      28511 |      28390 |      28390 |      28390 |      28390 |      28390 |      28390 |      28390 |      28390 |      28390 |      28390 |      28390 |      28390 |      28390 |      28390 |      28390 |      28390 |      28390 |      28390 |      28390 |      28388 |      28389 |      28390 |      28390 |      28390 |      28390 |      28390 |      28390 |      28390 |      28390 |      28390 |      28511
    num misses                       |        246 |        245 |        245 |        245 |        245 |        245 |        245 |        245 |        245 |        245 |        245 |        245 |        245 |        245 |        245 |        245 |        245 |        245 |        245 |        245 |        245 |        245 |        245 |        245 |        245 |        245 |        245 |        245 |        245 |        245 |        245 |        246
    miss rate                        |      0.86% |      0.86% |      0.86% |      0.86% |      0.86% |      0.86% |      0.86% |      0.86% |      0.86% |      0.86% |      0.86% |      0.86% |      0.86% |      0.86% |      0.86% |      0.86% |      0.86% |      0.86% |      0.86% |      0.86% |      0.86% |      0.86% |      0.86% |      0.86% |      0.86% |      0.86% |      0.86% |      0.86% |      0.86% |      0.86% |      0.86% |      0.86%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
