                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
  Instructions                       |  100101413 |   98506590 |   98102587 |   98099731 |   98182002 |   98187629 |   98167946 |   98147338 |   98100545 |   98104596 |   98211683 |   98213909 |   98207946 |   98173387 |   98468370 |   97841189 |   97871350 |   98893863 |   98068807 |   98068807 |   98206242 |   98194613 |   98215018 |   98230316 |   98246978 |   98224645 |   98097873 |   98197011 |   98204278 |   98178735 |   98408802 |   99577329
  Cycles                             |  868470120 |  868470120 |  868470120 |  868470120 |  868470120 |  868470120 |  868470120 |  868470120 |  868470120 |  868470120 |  868470120 |  868470120 |  868470120 |  868470120 |  868470120 |  868470120 |  868470120 |  868470120 |  868470120 |  868470120 |  868470120 |  868470120 |  868470120 |  868470120 |  868470120 |  868470120 |  868470120 |  868470120 |  868470120 |  868470120 |  868470120 |  868470120
  IPC                                |       0.12 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11
  Time (ns)                          |  241241700 |  241241700 |  241241700 |  241241700 |  241241700 |  241241700 |  241241700 |  241241700 |  241241700 |  241241700 |  241241700 |  241241700 |  241241700 |  241241700 |  241241700 |  241241700 |  241241700 |  241241700 |  241241700 |  241241700 |  241241700 |  241241700 |  241241700 |  241241700 |  241241700 |  241241700 |  241241700 |  241241700 |  241241700 |  241241700 |  241241700 |  241241700
  Idle time (ns)                     |       1110 |       1012 |        713 |        618 |        512 |        892 |       1006 |        547 |        330 |        767 |        543 |        855 |        791 |        864 |        918 |          2 |       1100 |        870 |        420 |        580 |         -3 |       1135 |       1133 |        932 |        978 |        875 |        291 |       1100 |        871 |       1179 |        805 |       1174
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1172002 |    1154783 |    1150313 |    1150278 |    1151206 |    1151279 |    1151033 |    1150829 |    1150286 |    1150365 |    1151532 |    1151567 |    1151498 |    1151101 |    1154334 |    1146964 |    1147350 |    1159159 |    1149919 |    1149919 |    1151463 |    1151334 |    1151590 |    1151750 |    1151902 |    1151672 |    1150261 |    1151353 |    1151409 |    1151170 |    1153667 |    1167156
  num incorrect                      |     110475 |     109032 |     108622 |     108618 |     108713 |     108720 |     108701 |     108682 |     108619 |     108625 |     108737 |     108740 |     108735 |     108705 |     108995 |     108274 |     108316 |     109517 |     108576 |     108576 |     108731 |     108723 |     108741 |     108756 |     108767 |     108749 |     108616 |     108726 |     108729 |     108710 |     108909 |     110283
  misprediction rate                 |      8.61% |      8.63% |      8.63% |      8.63% |      8.63% |      8.63% |      8.63% |      8.63% |      8.63% |      8.63% |      8.63% |      8.63% |      8.63% |      8.63% |      8.63% |      8.63% |      8.63% |      8.63% |      8.63% |      8.63% |      8.63% |      8.63% |      8.63% |      8.63% |      8.63% |      8.63% |      8.63% |      8.63% |      8.63% |      8.63% |      8.63% |      8.63%
