                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15     | Core 16     | Core 17     | Core 18     | Core 19     | Core 20     | Core 21     | Core 22     | Core 23     | Core 24     | Core 25     | Core 26     | Core 27     | Core 28     | Core 29     | Core 30     | Core 31     | Core 32     | Core 33     | Core 34     | Core 35     | Core 36     | Core 37     | Core 38     | Core 39     | Core 40     | Core 41     | Core 42     | Core 43     | Core 44     | Core 45     | Core 46     | Core 47     | Core 48     | Core 49     | Core 50     | Core 51     | Core 52     | Core 53     | Core 54     | Core 55     | Core 56     | Core 57     | Core 58     | Core 59     | Core 60     | Core 61     | Core 62     | Core 63    
  Instructions                       |   264279677 |   361918772 |  1316065306 |   246972310 |   387650077 |   392120968 |   381645549 |   380053245 |   371297777 |   380842570 |   374330980 |   391386931 |   387000331 |   377867717 |   370799084 |   376644165 |   368743196 |   387738722 |   377574205 |   190829565 |   481087035 |   468350428 |   465610082 |   439188220 |   491710232 |   361760443 |   332672153 |   414467579 |   385977277 |   354131716 |   357145631 |   414877032 |   347644281 |   366203307 |   332197939 |   413782016 |   368740655 |   333813037 |   364310548 |   421222930 |   378241043 |   365567155 |   364364263 |   418591899 |   356765594 |   347249378 |   340433440 |   438862294 |   365700411 |   361502883 |   357749934 |   382141305 |      122893 |      119394 |    36739707 |   221159327 |   156315747 |   169505621 |   166037389 |   181781841 |   180577057 |   175366708 |   175345937 |   175591876
  Cycles                             |  1679725440 |  1679725440 |  1679725440 |  1679725440 |  1679725440 |  1679725440 |  1679725440 |  1679725440 |  1679725440 |  1679725440 |  1679725440 |  1679725440 |  1679725440 |  1679725440 |  1679725440 |  1679725440 |  1679725440 |  1679725440 |  1679725440 |  1679725440 |  1679725440 |  1679725440 |  1679725440 |  1679725440 |  1679725440 |  1679725440 |  1679725440 |  1679725440 |  1679725440 |  1679725440 |  1679725440 |  1679725440 |  1679725440 |  1679725440 |  1679725440 |  1679725440 |  1679725440 |  1679725440 |  1679725440 |  1679725440 |  1679725440 |  1679725440 |  1679725440 |  1679725440 |  1679725440 |  1679725440 |  1679725440 |  1679725440 |  1679725440 |  1679725440 |  1679725440 |  1679725440 |  1679725440 |  1679725440 |  1679725440 |  1679725440 |  1679725440 |  1679725440 |  1679725440 |  1679725440 |  1679725440 |  1679725440 |  1679725440 |  1679725440
  IPC                                |        0.16 |        0.22 |        0.78 |        0.15 |        0.23 |        0.23 |        0.23 |        0.23 |        0.22 |        0.23 |        0.22 |        0.23 |        0.23 |        0.22 |        0.22 |        0.22 |        0.22 |        0.23 |        0.22 |        0.11 |        0.29 |        0.28 |        0.28 |        0.26 |        0.29 |        0.22 |        0.20 |        0.25 |        0.23 |        0.21 |        0.21 |        0.25 |        0.21 |        0.22 |        0.20 |        0.25 |        0.22 |        0.20 |        0.22 |        0.25 |        0.23 |        0.22 |        0.22 |        0.25 |        0.21 |        0.21 |        0.20 |        0.26 |        0.22 |        0.22 |        0.21 |        0.23 |        0.00 |        0.00 |        0.02 |        0.13 |        0.09 |        0.10 |        0.10 |        0.11 |        0.11 |        0.10 |        0.10 |        0.10
  Time (ns)                          |   466590400 |   466590400 |   466590400 |   466590400 |   466590400 |   466590400 |   466590400 |   466590400 |   466590400 |   466590400 |   466590400 |   466590400 |   466590400 |   466590400 |   466590400 |   466590400 |   466590400 |   466590400 |   466590400 |   466590400 |   466590400 |   466590400 |   466590400 |   466590400 |   466590400 |   466590400 |   466590400 |   466590400 |   466590400 |   466590400 |   466590400 |   466590400 |   466590400 |   466590400 |   466590400 |   466590400 |   466590400 |   466590400 |   466590400 |   466590400 |   466590400 |   466590400 |   466590400 |   466590400 |   466590400 |   466590400 |   466590400 |   466590400 |   466590400 |   466590400 |   466590400 |   466590400 |   466590400 |   466590400 |   466590400 |   466590400 |   466590400 |   466590400 |   466590400 |   466590400 |   466590400 |   466590400 |   466590400 |   466590400
  Idle time (ns)                     |   373413245 |   308165718 |    69949125 |   358919264 |   357857213 |   356363224 |   360336052 |   360576294 |   360435223 |   361390158 |   360561912 |   357901792 |   361210210 |   360540416 |   361063013 |   360484993 |   359080159 |   359397813 |   359433782 |   395520851 |   256473303 |   254422923 |   257674335 |   272590143 |   255465334 |   298869462 |   300113230 |   273152618 |   299889959 |   298608354 |   297728639 |   271764526 |   299806639 |   298229636 |   298222192 |   272129478 |   299176873 |   298065330 |   299647746 |   271313455 |   300065963 |   297782639 |   298806336 |   272131216 |   299704103 |   298759693 |   299099019 |   272632612 |   299957079 |   299802971 |   299666488 |   280926675 |   466483856 |   466497268 |   455311815 |   401694071 |   402502289 |   402373775 |   404543794 |   398796270 |   400097355 |   399123119 |   399082603 |   403515619
  Idle time (%)                      |       80.0% |       66.0% |       15.0% |       76.9% |       76.7% |       76.4% |       77.2% |       77.3% |       77.2% |       77.5% |       77.3% |       76.7% |       77.4% |       77.3% |       77.4% |       77.3% |       77.0% |       77.0% |       77.0% |       84.8% |       55.0% |       54.5% |       55.2% |       58.4% |       54.8% |       64.1% |       64.3% |       58.5% |       64.3% |       64.0% |       63.8% |       58.2% |       64.3% |       63.9% |       63.9% |       58.3% |       64.1% |       63.9% |       64.2% |       58.1% |       64.3% |       63.8% |       64.0% |       58.3% |       64.2% |       64.0% |       64.1% |       58.4% |       64.3% |       64.3% |       64.2% |       60.2% |      100.0% |      100.0% |       97.6% |       86.1% |       86.3% |       86.2% |       86.7% |       85.5% |       85.7% |       85.5% |       85.5% |       86.5%
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |    22639284 |    26496330 |     2170156 |    21146894 |    33459536 |    33392333 |    31723352 |    32731056 |    31142237 |    32812178 |    30855314 |    33589258 |    32161649 |    31593861 |    31950281 |    31631797 |    30865656 |    33895846 |    31317767 |    18782746 |    44042471 |    42869164 |    42079026 |    41053345 |    46257034 |    34225507 |    31405437 |    38729774 |    36475522 |    33429765 |    33700744 |    38824626 |    32775547 |    34531446 |    31350519 |    38745306 |    34809789 |    31624539 |    34414384 |    39423048 |    35668834 |    34591745 |    34338918 |    39222882 |    33814179 |    32804131 |    32153617 |    41047748 |    34565134 |    34140015 |    33808221 |    35742167 |       16672 |       16283 |      199406 |    20640453 |    14650010 |    14787613 |    14505112 |    15926654 |    15390904 |    15788642 |    15611635 |    13584023
  num incorrect                      |     1346849 |     1516704 |       75144 |     1293827 |     1616633 |     1633976 |     1484977 |     1587941 |     1439678 |     1577017 |     1403411 |     1610489 |     1498955 |     1436442 |     1491589 |     1454728 |     1398371 |     1642555 |     1424796 |     1157869 |      701716 |      854503 |      804962 |       59802 |     1003947 |       39117 |       40978 |       56947 |       52833 |       41373 |       40562 |       64080 |       44029 |       33732 |       35124 |       55522 |       40120 |       46215 |       35579 |       55353 |       35423 |       43253 |       38565 |       64154 |       39286 |       36088 |       30834 |       57179 |       31752 |       36133 |       37348 |       48974 |         292 |         226 |       13378 |     2530331 |     1813288 |     1723483 |     1701224 |     1869072 |     1953212 |     1918207 |     2041578 |     1117345
  misprediction rate                 |       5.62% |       5.41% |       3.35% |       5.77% |       4.61% |       4.66% |       4.47% |       4.63% |       4.42% |       4.59% |       4.35% |       4.58% |       4.45% |       4.35% |       4.46% |       4.40% |       4.33% |       4.62% |       4.35% |       5.81% |       1.57% |       1.95% |       1.88% |       0.15% |       2.12% |       0.11% |       0.13% |       0.15% |       0.14% |       0.12% |       0.12% |       0.16% |       0.13% |       0.10% |       0.11% |       0.14% |       0.12% |       0.15% |       0.10% |       0.14% |       0.10% |       0.12% |       0.11% |       0.16% |       0.12% |       0.11% |       0.10% |       0.14% |       0.09% |       0.11% |       0.11% |       0.14% |       1.72% |       1.37% |       6.29% |      10.92% |      11.01% |      10.44% |      10.50% |      10.50% |      11.26% |      10.83% |      11.56% |       7.60%
