                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
  Instructions                       |   99999323 |   99288680 |   99326939 |   99318082 |   99316462 |   99321831 |   99318422 |   99320633 |   99318047 |   99311600 |   99313702 |   99311116 |   99317832 |   99328855 |   99311064 |   99333201 |   99326840 |   99308897 |   99323152 |   99316784 |   99309936 |   99317828 |   99336503 |   99329370 |   99314161 |   99318572 |   99314733 |   99307976 |   99314735 |   99336337 |   99288876 |  100001325
  Cycles                             |   51495120 |   51495120 |   51495120 |   51495120 |   51495120 |   51495120 |   51495120 |   51495120 |   51495120 |   51495120 |   51495120 |   51495120 |   51495120 |   51495120 |   51495120 |   51495120 |   51495120 |   51495120 |   51495120 |   51495120 |   51495120 |   51495120 |   51495120 |   51495120 |   51495120 |   51495120 |   51495120 |   51495120 |   51495120 |   51495120 |   51495120 |   51495120
  IPC                                |       1.94 |       1.93 |       1.93 |       1.93 |       1.93 |       1.93 |       1.93 |       1.93 |       1.93 |       1.93 |       1.93 |       1.93 |       1.93 |       1.93 |       1.93 |       1.93 |       1.93 |       1.93 |       1.93 |       1.93 |       1.93 |       1.93 |       1.93 |       1.93 |       1.93 |       1.93 |       1.93 |       1.93 |       1.93 |       1.93 |       1.93 |       1.94
  Time (ns)                          |   14304200 |   14304200 |   14304200 |   14304200 |   14304200 |   14304200 |   14304200 |   14304200 |   14304200 |   14304200 |   14304200 |   14304200 |   14304200 |   14304200 |   14304200 |   14304200 |   14304200 |   14304200 |   14304200 |   14304200 |   14304200 |   14304200 |   14304200 |   14304200 |   14304200 |   14304200 |   14304200 |   14304200 |   14304200 |   14304200 |   14304200 |   14304200
  Idle time (ns)                     |         -9 |         73 |         63 |          4 |         98 |         65 |         41 |         50 |         -0 |         -1 |          0 |         48 |         -0 |         54 |         27 |         80 |         59 |          6 |         55 |         -6 |         11 |         -0 |         73 |         70 |         -0 |         -8 |         -0 |         78 |         13 |         76 |         64 |         41
  Idle time (%)                      |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    3677155 |    3650375 |    3651574 |    3651196 |    3651147 |    3651322 |    3651208 |    3651280 |    3651195 |    3650980 |    3651058 |    3650965 |    3651190 |    3651677 |    3650964 |    3651728 |    3651569 |    3650889 |    3651381 |    3651156 |    3650923 |    3651190 |    3651750 |    3651703 |    3651071 |    3651211 |    3651089 |    3650864 |    3651089 |    3651749 |    3650377 |    3677221
  num incorrect                      |      58902 |      58191 |      58320 |      58274 |      58256 |      58307 |      58277 |      58299 |      58273 |      58217 |      58229 |      58212 |      58270 |      58320 |      58211 |      58324 |      58320 |      58195 |      58316 |      58261 |      58204 |      58270 |      58325 |      58321 |      58235 |      58280 |      58240 |      58191 |      58240 |      58325 |      58191 |      58920
  misprediction rate                 |      1.58% |      1.57% |      1.57% |      1.57% |      1.57% |      1.57% |      1.57% |      1.57% |      1.57% |      1.57% |      1.57% |      1.57% |      1.57% |      1.57% |      1.57% |      1.57% |      1.57% |      1.57% |      1.57% |      1.57% |      1.57% |      1.57% |      1.57% |      1.57% |      1.57% |      1.57% |      1.57% |      1.57% |      1.57% |      1.57% |      1.57% |      1.58%
  mpki                               |       0.59 |       0.59 |       0.59 |       0.59 |       0.59 |       0.59 |       0.59 |       0.59 |       0.59 |       0.59 |       0.59 |       0.59 |       0.59 |       0.59 |       0.59 |       0.59 |       0.59 |       0.59 |       0.59 |       0.59 |       0.59 |       0.59 |       0.59 |       0.59 |       0.59 |       0.59 |       0.59 |       0.59 |       0.59 |       0.59 |       0.59 |       0.59
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    9461482 |    9394161 |    9397416 |    9396557 |    9396408 |    9396922 |    9396591 |    9396803 |    9396553 |    9395937 |    9396139 |    9395893 |    9396533 |    9397608 |    9395888 |    9398069 |    9397406 |    9395679 |    9397049 |    9396437 |    9395777 |    9396533 |    9398425 |    9397661 |    9396185 |    9396606 |    9396241 |    9395596 |    9396241 |    9398402 |    9394172 |    9461673
    num misses                       |        155 |        155 |        155 |        155 |        155 |        155 |        155 |        155 |        155 |        155 |        155 |        155 |        155 |        155 |        155 |        155 |        155 |        155 |        155 |        155 |        155 |        155 |        155 |        155 |        155 |        155 |        155 |        155 |        155 |        155 |        155 |        155
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
