                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
    num accesses                     |   70002513 |   56754971 |   57138557 |   57130123 |   57096384 |   57099070 |   57293164 |   57124964 |   57099256 |   57093193 |   57439862 |   57305480 |   57149633 |   57451719 |   57125142 |   56520212 |   56516482 |   57131153 |   57106356 |   57120619 |   57035078 |   57045471 |   57307222 |   57148261 |   57115003 |   57114200 |   57440002 |   57295382 |   57155996 |   57450271 |   56789453 |   69999334
    num misses                       |      49946 |      40671 |      40932 |      40930 |      40891 |      40893 |      41030 |      40929 |      40893 |      40888 |      41071 |      41030 |      40935 |      41142 |      40929 |      40529 |      40529 |      40930 |      40911 |      40928 |      40861 |      40862 |      41031 |      40935 |      40926 |      40926 |      41072 |      41030 |      40936 |      41136 |      40694 |      49945
    miss rate                        |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07%
    mpki                             |       0.50 |       0.50 |       0.50 |       0.50 |       0.50 |       0.50 |       0.50 |       0.50 |       0.50 |       0.50 |       0.50 |       0.50 |       0.50 |       0.50 |       0.50 |       0.50 |       0.50 |       0.50 |       0.50 |       0.50 |       0.50 |       0.50 |       0.50 |       0.50 |       0.50 |       0.50 |       0.50 |       0.50 |       0.50 |       0.50 |       0.50 |       0.50
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      49969 |      40694 |      40955 |      40953 |      40914 |      40916 |      41053 |      40952 |      40916 |      40911 |      41094 |      41053 |      40958 |      41165 |      40952 |      40552 |      40552 |      40953 |      40934 |      40951 |      40884 |      40885 |      41054 |      40958 |      40949 |      40949 |      41095 |      41053 |      40959 |      41159 |      40717 |      49968
    num misses                       |      23863 |      21739 |      21758 |      21758 |      21756 |      21756 |      21773 |      21757 |      21756 |      21756 |      21803 |      21773 |      21759 |      21852 |      21757 |      21729 |      21729 |      21758 |      21756 |      21757 |      21755 |      21755 |      21774 |      21759 |      21756 |      21756 |      21803 |      21773 |      21760 |      21849 |      21739 |      23862
    miss rate                        |     47.76% |     53.42% |     53.13% |     53.13% |     53.17% |     53.17% |     53.04% |     53.13% |     53.17% |     53.18% |     53.06% |     53.04% |     53.13% |     53.08% |     53.13% |     53.58% |     53.58% |     53.13% |     53.15% |     53.13% |     53.21% |     53.21% |     53.04% |     53.13% |     53.13% |     53.13% |     53.06% |     53.04% |     53.13% |     53.08% |     53.39% |     47.75%
    mpki                             |       0.24 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.24
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   15892147 |   12871693 |   12960129 |   12958267 |   12950100 |   12950912 |   12995524 |   12957128 |   12950967 |   12949141 |   13028003 |   12998257 |   12962575 |   13030637 |   12957168 |   12818568 |   12817743 |   12958495 |   12953021 |   12956169 |   12936053 |   12938348 |   12998640 |   12962272 |   12954928 |   12954751 |   13028034 |   12996016 |   12963979 |   13030316 |   12879973 |   15891447
    num cache misses                 |      16021 |      13961 |      13073 |      13020 |      12847 |      12858 |      13195 |      13142 |      12848 |      12839 |      13163 |      13140 |      13194 |      13295 |      13337 |      13226 |      13234 |      13335 |      13001 |      13005 |      12965 |      12942 |      13182 |      13160 |      12929 |      12903 |      13169 |      13136 |      13184 |      13281 |      13959 |      16044
    miss rate                        |      0.10% |      0.11% |      0.10% |      0.10% |      0.10% |      0.10% |      0.10% |      0.10% |      0.10% |      0.10% |      0.10% |      0.10% |      0.10% |      0.10% |      0.10% |      0.10% |      0.10% |      0.10% |      0.10% |      0.10% |      0.10% |      0.10% |      0.10% |      0.10% |      0.10% |      0.10% |      0.10% |      0.10% |      0.10% |      0.10% |      0.11% |      0.10%
    mpki                             |       0.16 |       0.17 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.17 |       0.16
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   70002513 |   56754971 |   57138557 |   57130123 |   57096384 |   57099070 |   57293164 |   57124964 |   57099256 |   57093193 |   57439862 |   57305480 |   57149633 |   57451719 |   57125142 |   56520212 |   56516482 |   57131153 |   57106356 |   57120619 |   57035078 |   57045471 |   57307222 |   57148261 |   57115003 |   57114200 |   57440002 |   57295382 |   57155996 |   57450271 |   56789453 |   69999334
    num cache misses                 |    1404571 |    1223924 |    1230313 |    1230120 |    1229495 |    1229585 |    1232612 |    1230109 |    1229535 |    1229441 |    1234230 |    1232640 |    1230511 |    1234674 |    1230078 |    1219841 |    1219801 |    1230211 |    1229723 |    1229936 |    1228526 |    1228630 |    1232721 |    1230457 |    1229942 |    1229836 |    1234192 |    1232555 |    1230617 |    1234614 |    1224560 |    1404563
