                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
  Instructions                       |  100101372 |  100059316 |  100063157 |  100051460 |  100057490 |  100054072 |  100064292 |  100063522 |  100054689 |  100056670 |  100058769 |  100063310 |  100063259 |  100063754 |  100063486 |  100063111 |  100054748 |  100062095 |  100059621 |  100052812 |  100063974 |  100053116 |  100062702 |  100056738 |  100056147 |  100063031 |  100066283 |  100060068 |  100064638 |  100061336 |  100058871 |  100100739
  Cycles                             |   73562040 |   73562040 |   73562040 |   73562040 |   73562040 |   73562040 |   73562040 |   73562040 |   73562040 |   73562040 |   73562040 |   73562040 |   73562040 |   73562040 |   73562040 |   73562040 |   73562040 |   73562040 |   73562040 |   73562040 |   73562040 |   73562040 |   73562040 |   73562040 |   73562040 |   73562040 |   73562040 |   73562040 |   73562040 |   73562040 |   73562040 |   73562040
  IPC                                |       1.36 |       1.36 |       1.36 |       1.36 |       1.36 |       1.36 |       1.36 |       1.36 |       1.36 |       1.36 |       1.36 |       1.36 |       1.36 |       1.36 |       1.36 |       1.36 |       1.36 |       1.36 |       1.36 |       1.36 |       1.36 |       1.36 |       1.36 |       1.36 |       1.36 |       1.36 |       1.36 |       1.36 |       1.36 |       1.36 |       1.36 |       1.36
  Time (ns)                          |   20433900 |   20433900 |   20433900 |   20433900 |   20433900 |   20433900 |   20433900 |   20433900 |   20433900 |   20433900 |   20433900 |   20433900 |   20433900 |   20433900 |   20433900 |   20433900 |   20433900 |   20433900 |   20433900 |   20433900 |   20433900 |   20433900 |   20433900 |   20433900 |   20433900 |   20433900 |   20433900 |   20433900 |   20433900 |   20433900 |   20433900 |   20433900
  Idle time (ns)                     |         16 |         23 |         -0 |         -0 |          7 |         -0 |         -0 |         -0 |         -1 |         -0 |         12 |         -0 |          2 |         -0 |         -0 |         -0 |         -0 |         47 |          4 |         -0 |         -0 |         -3 |        -11 |         -0 |         22 |         18 |          6 |          2 |         -0 |         -1 |          8 |         99
  Idle time (%)                      |       0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    8554056 |    8550368 |    8550754 |    8549660 |    8550185 |    8549878 |    8550865 |    8550801 |    8549909 |    8550114 |    8550312 |    8550772 |    8550772 |    8550827 |    8550795 |    8550754 |    8549918 |    8550648 |    8550391 |    8549781 |    8550849 |    8549830 |    8550721 |    8550126 |    8550056 |    8550750 |    8551043 |    8550439 |    8550894 |    8550571 |    8550317 |    8554004
  num incorrect                      |     594999 |     594648 |     594674 |     594558 |     594638 |     594590 |     594688 |     594681 |     594603 |     594631 |     594645 |     594677 |     594676 |     594684 |     594679 |     594673 |     594606 |     594668 |     594651 |     594572 |     594686 |     594579 |     594671 |     594632 |     594627 |     594672 |     594712 |     594653 |     594694 |     594666 |     594647 |     594993
  misprediction rate                 |      6.50% |      6.50% |      6.50% |      6.50% |      6.50% |      6.50% |      6.50% |      6.50% |      6.50% |      6.50% |      6.50% |      6.50% |      6.50% |      6.50% |      6.50% |      6.50% |      6.50% |      6.50% |      6.50% |      6.50% |      6.50% |      6.50% |      6.50% |      6.50% |      6.50% |      6.50% |      6.50% |      6.50% |      6.50% |      6.50% |      6.50% |      6.50%
