                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31    | Core 32    | Core 33    | Core 34    | Core 35    | Core 36    | Core 37    | Core 38    | Core 39    | Core 40    | Core 41    | Core 42    | Core 43    | Core 44    | Core 45    | Core 46    | Core 47    | Core 48    | Core 49    | Core 50    | Core 51    | Core 52    | Core 53    | Core 54    | Core 55    | Core 56    | Core 57    | Core 58    | Core 59    | Core 60    | Core 61    | Core 62    | Core 63   
  Instructions                       |   45079305 |   59076326 |    3328650 |    2956423 |    6744162 |    2975547 |    6352667 |    2969341 |    7112535 |    2993632 |    7480523 |    2968996 |    7838756 |    2988057 |    8141438 |    2981375 |    3012160 |    8418131 |    2968706 |    8693657 |    2987353 |    6636644 |    2980984 |    7087413 |    3005143 |    7481121 |    2980895 |    7849227 |    3000204 |    8217358 |    2992921 |    8576419 |    8878181 |    9153273 |    6912895 |    7373963 |    7823855 |    8217505 |    8586017 |    8954209 |    9312700 |    9614665 |    7188151 |    7648666 |    8109213 |    8560998 |    8954555 |    9321969 |    9689653 |   26687844 |   26534050 |   26603904 |   26687416 |   26599380 |   26716956 |   26584015 |   26691693 |   26511447 |   27987496 |   27830260 |   29239306 |   29130276 |   30545707 |   30392610
  Cycles                             |   73000080 |   73000080 |   73000080 |   73000080 |   73000080 |   73000080 |   73000080 |   73000080 |   73000080 |   73000080 |   73000080 |   73000080 |   73000080 |   73000080 |   73000080 |   73000080 |   73000080 |   73000080 |   73000080 |   73000080 |   73000080 |   73000080 |   73000080 |   73000080 |   73000080 |   73000080 |   73000080 |   73000080 |   73000080 |   73000080 |   73000080 |   73000080 |   73000080 |   73000080 |   73000080 |   73000080 |   73000080 |   73000080 |   73000080 |   73000080 |   73000080 |   73000080 |   73000080 |   73000080 |   73000080 |   73000080 |   73000080 |   73000080 |   73000080 |   73000080 |   73000080 |   73000080 |   73000080 |   73000080 |   73000080 |   73000080 |   73000080 |   73000080 |   73000080 |   73000080 |   73000080 |   73000080 |   73000080 |   73000080
  IPC                                |       0.62 |       0.81 |       0.05 |       0.04 |       0.09 |       0.04 |       0.09 |       0.04 |       0.10 |       0.04 |       0.10 |       0.04 |       0.11 |       0.04 |       0.11 |       0.04 |       0.04 |       0.12 |       0.04 |       0.12 |       0.04 |       0.09 |       0.04 |       0.10 |       0.04 |       0.10 |       0.04 |       0.11 |       0.04 |       0.11 |       0.04 |       0.12 |       0.12 |       0.13 |       0.09 |       0.10 |       0.11 |       0.11 |       0.12 |       0.12 |       0.13 |       0.13 |       0.10 |       0.10 |       0.11 |       0.12 |       0.12 |       0.13 |       0.13 |       0.37 |       0.36 |       0.36 |       0.37 |       0.36 |       0.37 |       0.36 |       0.37 |       0.36 |       0.38 |       0.38 |       0.40 |       0.40 |       0.42 |       0.42
  Time (ns)                          |   20277800 |   20277800 |   20277800 |   20277800 |   20277800 |   20277800 |   20277800 |   20277800 |   20277800 |   20277800 |   20277800 |   20277800 |   20277800 |   20277800 |   20277800 |   20277800 |   20277800 |   20277800 |   20277800 |   20277800 |   20277800 |   20277800 |   20277800 |   20277800 |   20277800 |   20277800 |   20277800 |   20277800 |   20277800 |   20277800 |   20277800 |   20277800 |   20277800 |   20277800 |   20277800 |   20277800 |   20277800 |   20277800 |   20277800 |   20277800 |   20277800 |   20277800 |   20277800 |   20277800 |   20277800 |   20277800 |   20277800 |   20277800 |   20277800 |   20277800 |   20277800 |   20277800 |   20277800 |   20277800 |   20277800 |   20277800 |   20277800 |   20277800 |   20277800 |   20277800 |   20277800 |   20277800 |   20277800 |   20277800
  Idle time (ns)                     |   13955030 |    1558733 |   18099768 |   18333935 |   19372201 |   18433307 |   19424380 |   18466117 |   19320967 |   18419430 |   19285968 |   18449805 |   19243164 |   18414998 |   19203632 |   18422933 |   18429578 |   19184279 |   18419713 |   19167758 |   18418907 |   19382370 |   18439290 |   19348364 |   18407637 |   19278560 |   18413917 |   19240432 |   18422314 |   19200217 |   18413999 |   19159557 |   19146368 |   19121322 |   19362918 |   19310094 |   19271593 |   19236425 |   19193028 |   19158343 |   19096664 |   19055465 |   19335160 |   19283721 |   19246863 |   19196322 |   19160153 |   19122692 |   19039724 |   13548215 |   13827491 |   13800422 |   13578797 |   13781441 |   13622636 |   13926186 |   13549543 |   13846137 |   13224176 |   13338907 |   12736218 |   12874794 |   12288890 |   12391473
  Idle time (%)                      |      68.8% |       7.7% |      89.3% |      90.4% |      95.5% |      90.9% |      95.8% |      91.1% |      95.3% |      90.8% |      95.1% |      91.0% |      94.9% |      90.8% |      94.7% |      90.9% |      90.9% |      94.6% |      90.8% |      94.5% |      90.8% |      95.6% |      90.9% |      95.4% |      90.8% |      95.1% |      90.8% |      94.9% |      90.8% |      94.7% |      90.8% |      94.5% |      94.4% |      94.3% |      95.5% |      95.2% |      95.0% |      94.9% |      94.7% |      94.5% |      94.2% |      94.0% |      95.4% |      95.1% |      94.9% |      94.7% |      94.5% |      94.3% |      93.9% |      66.8% |      68.2% |      68.1% |      67.0% |      68.0% |      67.2% |      68.7% |      66.8% |      68.3% |      65.2% |      65.8% |      62.8% |      63.5% |      60.6% |      61.1%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    3504265 |    7643228 |     151622 |      92194 |     898502 |      94904 |     845521 |      94309 |     947904 |      97478 |     997357 |      94320 |    1045475 |      96984 |    1086184 |      96327 |     100128 |    1123281 |      94278 |    1160279 |      96891 |     883976 |      96318 |     944490 |      99457 |     997371 |      96306 |    1046819 |      98995 |    1096228 |      98321 |    1144454 |    1185038 |    1221983 |     921032 |     982920 |    1043360 |    1096253 |    1145696 |    1195121 |    1243258 |    1283949 |     958053 |    1019867 |    1081653 |    1142276 |    1195212 |    1244503 |    1293849 |    2129933 |    2102418 |    2106330 |    2131399 |    2101136 |    2135394 |    2118201 |    2132315 |    2118153 |    2138058 |    2112254 |    2126282 |    2102563 |    2121577 |    2094703
  num incorrect                      |      10656 |     230886 |       6664 |        272 |       3376 |        278 |       2987 |        279 |       3396 |        278 |       3377 |        250 |       3523 |        277 |       3875 |        279 |        269 |       3872 |        242 |       3888 |        272 |       2895 |        256 |       3056 |        248 |       3450 |        257 |       3414 |        273 |       3433 |        253 |       3611 |       3910 |       3908 |       2949 |       2958 |       3113 |       3418 |       3466 |       3494 |       3634 |       3896 |       2883 |       2909 |       2956 |       3145 |       3458 |       3455 |       3475 |     117457 |     111335 |     107685 |     115920 |     113057 |     112213 |      95891 |     117416 |     103447 |     122833 |     120216 |     144779 |     141389 |     159230 |     158110
  misprediction rate                 |      0.30% |      2.93% |      4.21% |      0.29% |      0.37% |      0.29% |      0.35% |      0.29% |      0.36% |      0.28% |      0.34% |      0.26% |      0.34% |      0.28% |      0.36% |      0.29% |      0.27% |      0.34% |      0.26% |      0.33% |      0.28% |      0.33% |      0.27% |      0.32% |      0.25% |      0.34% |      0.27% |      0.33% |      0.28% |      0.31% |      0.26% |      0.31% |      0.33% |      0.32% |      0.32% |      0.30% |      0.30% |      0.31% |      0.30% |      0.29% |      0.29% |      0.30% |      0.30% |      0.28% |      0.27% |      0.27% |      0.29% |      0.28% |      0.27% |      5.23% |      5.03% |      4.86% |      5.16% |      5.11% |      4.99% |      4.33% |      5.22% |      4.66% |      5.43% |      5.38% |      6.37% |      6.30% |      6.98% |      7.02%
