Epoch,MFU,TemPo,Alternation,Greedy,RoundRobin
144,75.86,76.68,73.3,76.05,76.55
145,75.86,76.6,73.02,76.02,76.9
146,75.86,76.53,72.43,76.01,77.18
147,75.84,76.47,72.21,76.0,76.55
148,75.85,76.42,71.69,76.0,76.44
149,75.87,76.36,71.52,75.99,76.91
150,75.87,76.3,71.04,75.97,77.16
151,75.86,76.27,70.92,75.97,76.54
152,75.86,76.24,70.49,75.95,76.97
153,75.87,76.21,70.4,75.94,77.27
154,75.87,76.18,70.01,75.94,77.49
155,75.88,76.15,69.95,75.93,76.7
156,75.87,76.12,69.59,75.93,76.3
157,75.87,75.28,69.57,75.92,76.85
158,75.88,75.2,69.24,75.92,77.08
159,75.88,75.06,69.23,75.93,76.55
160,75.88,,68.93,75.91,76.93
161,75.88,,68.95,75.91,77.25
162,75.88,,68.66,75.9,77.46
163,75.87,,68.7,75.87,76.64
164,75.85,,68.43,75.79,77.23
165,75.85,,68.48,75.69,77.52
166,75.84,,68.22,75.57,77.71
167,75.77,,68.29,75.43,76.73
168,75.46,,68.05,74.98,77.01
169,75.24,,68.12,,77.4
170,,,67.89,,77.6
171,,,67.98,,77.25
172,,,67.76,,76.41
173,,,67.85,,77.09
174,,,67.64,,77.43
175,,,67.74,,77.6
176,,,67.53,,77.08
177,,,67.64,,77.41
178,,,67.44,,77.74
179,,,67.55,,77.89
180,,,67.36,,76.9
181,,,67.47,,77.62
182,,,67.28,,77.89
183,,,67.4,,78.03
184,,,67.22,,77.02
185,,,67.34,,77.74
186,,,67.16,,78.03
187,,,67.29,,77.18
188,,,67.1,,76.44
189,,,67.23,,77.18
190,,,67.06,,77.53
191,,,67.19,,76.73
192,,,67.01,,76.93
193,,,67.15,,77.25
194,,,66.97,,77.45
195,,,67.11,,77.01
196,,,66.93,,76.28
197,,,67.07,,76.97
198,,,66.9,,77.32
199,,,67.04,,77.52
200,,,66.87,,76.56
201,,,67.01,,77.27
202,,,66.84,,77.59
203,,,66.98,,76.79
204,,,66.81,,76.82
205,,,66.95,,77.18
206,,,66.78,,77.39
207,,,66.93,,76.93
208,,,66.76,,77.2
209,,,,,77.51
210,,,,,77.7
211,,,,,77.54
212,,,,,76.6
213,,,,,77.34
214,,,,,77.41
215,,,,,76.59
