                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
  Instructions                       |  100092896 |  100045398 |  100035965 |  100050597 |  100050435 |  100052275 |  100039453 |  100041207 |  100039918 |  100048858 |  100041443 |  100047247 |  100051206 |  100037651 |  100047054 |  100065986 |  100066837 |  100055872 |  100070541 |  100060873 |  100061756 |  100063356 |  100057373 |  100063397 |  100046829 |  100061389 |  100050286 |  100064227 |  100061123 |  100040632 |  100046899 |  100101405
  Cycles                             |   74400120 |   74400120 |   74400120 |   74400120 |   74400120 |   74400120 |   74400120 |   74400120 |   74400120 |   74400120 |   74400120 |   74400120 |   74400120 |   74400120 |   74400120 |   74400120 |   74400120 |   74400120 |   74400120 |   74400120 |   74400120 |   74400120 |   74400120 |   74400120 |   74400120 |   74400120 |   74400120 |   74400120 |   74400120 |   74400120 |   74400120 |   74400120
  IPC                                |       1.35 |       1.34 |       1.34 |       1.34 |       1.34 |       1.34 |       1.34 |       1.34 |       1.34 |       1.34 |       1.34 |       1.34 |       1.34 |       1.34 |       1.34 |       1.34 |       1.34 |       1.34 |       1.35 |       1.34 |       1.34 |       1.34 |       1.34 |       1.34 |       1.34 |       1.34 |       1.34 |       1.34 |       1.34 |       1.34 |       1.34 |       1.35
  Time (ns)                          |   20666700 |   20666700 |   20666700 |   20666700 |   20666700 |   20666700 |   20666700 |   20666700 |   20666700 |   20666700 |   20666700 |   20666700 |   20666700 |   20666700 |   20666700 |   20666700 |   20666700 |   20666700 |   20666700 |   20666700 |   20666700 |   20666700 |   20666700 |   20666700 |   20666700 |   20666700 |   20666700 |   20666700 |   20666700 |   20666700 |   20666700 |   20666700
  Idle time (ns)                     |         45 |          6 |         31 |         94 |         -0 |         44 |         29 |         36 |         45 |         52 |         -0 |         62 |         16 |         26 |         64 |         38 |         42 |         65 |         33 |         26 |          9 |          2 |         -0 |         45 |         20 |         33 |          6 |          8 |         30 |         -0 |         63 |         68
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    8732137 |    8727886 |    8727067 |    8728283 |    8728271 |    8728422 |    8727330 |    8727536 |    8727385 |    8728151 |    8727551 |    8728031 |    8728323 |    8727199 |    8728022 |    8729612 |    8729715 |    8728684 |    8730067 |    8729195 |    8729267 |    8729426 |    8728856 |    8729430 |    8727997 |    8729236 |    8728258 |    8729485 |    8729223 |    8727474 |    8728005 |    8732895
  num incorrect                      |     634019 |     633736 |     633671 |     633769 |     633769 |     633780 |     633693 |     633708 |     633696 |     633756 |     633712 |     633749 |     633774 |     633681 |     633748 |     633873 |     633877 |     633799 |     633893 |     633840 |     633845 |     633854 |     633813 |     633854 |     633748 |     633843 |     633768 |     633865 |     633841 |     633704 |     633748 |     634053
  misprediction rate                 |      6.77% |      6.77% |      6.77% |      6.77% |      6.77% |      6.77% |      6.77% |      6.77% |      6.77% |      6.77% |      6.77% |      6.77% |      6.77% |      6.77% |      6.77% |      6.77% |      6.77% |      6.77% |      6.77% |      6.77% |      6.77% |      6.77% |      6.77% |      6.77% |      6.77% |      6.77% |      6.77% |      6.77% |      6.77% |      6.77% |      6.77% |      6.77%
  mpki                               |       6.33 |       6.33 |       6.33 |       6.33 |       6.33 |       6.33 |       6.33 |       6.33 |       6.33 |       6.33 |       6.33 |       6.33 |       6.33 |       6.33 |       6.33 |       6.33 |       6.33 |       6.33 |       6.33 |       6.33 |       6.33 |       6.33 |       6.33 |       6.33 |       6.33 |       6.33 |       6.33 |       6.33 |       6.33 |       6.33 |       6.33 |       6.33
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   14115631 |   14108983 |   14107659 |   14109715 |   14109697 |   14109956 |   14108148 |   14108394 |   14108216 |   14109473 |   14108430 |   14109255 |   14109804 |   14107880 |   14109220 |   14111883 |   14112005 |   14110468 |   14112508 |   14111180 |   14111306 |   14111524 |   14110673 |   14111527 |   14109188 |   14111261 |   14109678 |   14111637 |   14111216 |   14108313 |   14109195 |   14116785
    num misses                       |         38 |         38 |         38 |         38 |         38 |         38 |         38 |         38 |         38 |         38 |         38 |         38 |         38 |         38 |         38 |         38 |         38 |         38 |         38 |         38 |         38 |         38 |         38 |         38 |         38 |         38 |         38 |         38 |         38 |         38 |         38 |         38
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   65210221 |   65180628 |   65174541 |   65184433 |   65184344 |   65185711 |   65177108 |   65177942 |   65177350 |   65183166 |   65178071 |   65182028 |   65184918 |   65175725 |   65181889 |   65194278 |   65194755 |   65188343 |   65196896 |   65190966 |   65191482 |   65192463 |   65189133 |   65192485 |   65181730 |   65191281 |   65184249 |   65193057 |   65191083 |   65177671 |   65181770 |   65215655
    num misses                       |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17
