Epoch,MFU,Greedy,TemPo,RoundRobin,Alternation
0,6,6,6,6,4
1,6,6,6,6,4
2,7,6,7,6,4
3,7,7,7,6,4
4,7,7,7,6,4
5,7,7,7,6,4
6,6,7,7,6,4
7,6,7,7,6,4
8,6,7,7,6,4
9,6,7,7,6,4
10,6,7,7,6,4
11,6,7,8,6,4
12,6,7,8,6,4
13,6,6,8,6,4
14,6,7,8,6,4
15,6,7,8,6,4
16,6,7,7,6,4
17,6,7,7,6,4
18,6,7,7,6,4
19,6,7,8,6,4
20,6,7,6,7,4
21,6,6,7,6,4
22,6,6,6,6,4
23,6,6,7,6,4
24,6,6,7,6,4
25,6,6,7,6,4
26,6,6,7,6,4
27,5,6,7,6,4
28,5,6,6,6,4
29,5,6,6,6,4
30,7,6,4,6,4
31,6,6,5,6,4
32,6,5,6,6,4
33,5,5,6,6,4
34,4,4,6,6,4
35,5,4,5,6,4
36,5,4,5,6,4
37,5,4,5,6,4
38,4,6,5,6,4
39,4,6,5,6,4
40,6,6,5,6,4
41,6,6,6,6,4
42,6,6,6,6,4
43,5,5,6,6,4
44,5,2,6,6,4
45,5,2,6,6,4
46,5,3,6,6,4
47,3,4,5,6,4
48,2,4,3,6,4
49,4,4,4,6,4
50,4,4,4,6,4
51,4,4,3,6,4
52,4,2,3,6,4
53,3,2,4,6,4
54,3,3,4,6,4
55,3,3,4,6,4
56,2,4,3,6,4
57,3,4,3,6,4
58,4,4,4,6,4
59,4,4,4,6,4
60,4,3,4,6,4
61,4,2,3,6,4
62,3,3,4,6,4
63,3,3,3,6,4
64,2,3,4,6,4
65,2,4,4,6,4
66,2,4,3,6,4
67,2,4,4,6,4
68,2,3,4,6,4
69,2,3,3,6,4
70,2,4,3,6,4
71,2,4,4,6,4
72,2,4,4,6,4
73,2,4,4,7,4
74,2,4,3,6,4
75,2,3,2,6,4
76,2,3,2,6,4
77,2,2,2,6,4
78,2,3,2,6,4
79,2,3,2,6,4
80,2,3,2,6,4
81,2,3,2,6,4
82,2,3,2,6,4
83,2,3,2,6,4
84,2,3,2,6,4
85,2,3,2,6,4
86,2,3,2,6,4
87,2,3,2,6,4
88,2,3,2,6,4
89,2,3,2,6,4
90,2,3,2,6,4
91,2,2,2,6,4
92,2,2,2,6,4
93,2,2,2,6,4
94,2,2,2,6,4
95,2,2,2,6,4
96,2,2,2,6,4
97,2,2,2,6,4
98,2,2,1,6,4
99,2,2,1,6,4
100,2,2,1,6,4
101,2,2,1,6,4
102,2,2,,6,4
103,2,2,,6,4
104,2,2,,6,4
105,2,2,,6,4
106,2,2,,6,4
107,2,2,,6,4
108,2,2,,6,4
109,2,1,,6,4
110,2,1,,6,4
111,2,1,,6,4
112,,1,,6,4
113,,1,,6,4
114,,1,,6,4
115,,,,6,4
116,,,,6,4
117,,,,6,4
118,,,,6,4
119,,,,6,4
120,,,,6,4
121,,,,6,4
122,,,,6,4
123,,,,6,4
124,,,,6,4
125,,,,6,4
126,,,,6,4
127,,,,6,4
128,,,,6,4
129,,,,6,4
130,,,,6,4
131,,,,6,4
132,,,,6,4
133,,,,6,4
134,,,,6,4
135,,,,6,4
136,,,,6,4
137,,,,6,4
138,,,,6,
139,,,,6,
140,,,,6,
141,,,,6,
142,,,,6,
