Epoch,MFU,Greedy,TemPo,RoundRobin,Alternation
0,70.07,70.07,70.07,70.07,70.07
1,70.43,71.03,70.42,71.74,70.99
2,72.18,71.05,72.17,73.02,70.83
3,73.51,72.0,73.51,73.52,71.67
4,74.77,73.16,74.77,73.33,70.92
5,75.89,74.23,75.83,73.85,71.64
6,76.94,75.17,76.87,75.15,70.84
7,77.93,75.94,77.77,75.53,71.56
8,78.8,76.62,78.66,75.21,71.29
9,79.63,77.23,78.13,75.6,72.03
10,79.05,77.79,78.85,76.76,71.76
11,78.84,78.22,78.28,77.01,72.49
12,78.68,78.69,78.55,76.58,72.19
13,78.53,79.01,78.81,76.91,72.9
14,78.42,78.04,78.59,77.99,72.59
15,78.31,76.75,79.1,78.16,73.28
16,78.2,76.45,79.16,77.66,72.94
17,78.12,76.74,78.58,77.9,73.61
18,78.06,77.57,78.36,78.94,73.23
19,77.97,78.32,78.2,79.04,73.86
20,77.9,78.99,79.06,78.47,73.47
21,77.85,79.59,78.55,79.5,73.56
22,77.81,78.81,78.37,78.95,73.3
23,77.78,78.37,78.23,78.74,73.95
24,77.74,77.97,78.63,78.56,73.55
25,77.7,77.65,78.64,78.41,74.15
26,77.66,77.39,78.21,78.26,73.73
27,77.63,77.16,79.06,78.14,74.35
28,77.53,76.86,78.51,78.03,73.89
29,77.51,77.48,78.15,77.94,73.93
30,77.47,78.23,78.38,77.85,73.13
31,78.03,79.0,77.66,77.77,73.15
32,78.79,79.7,77.97,77.72,72.36
33,79.48,78.96,78.74,77.68,73.0
34,79.08,79.34,78.59,77.66,72.67
35,78.4,78.56,79.03,77.63,72.4
36,78.05,78.12,78.77,77.61,72.31
37,78.78,77.77,78.1,77.59,72.06
38,79.36,77.43,78.63,77.58,72.01
39,78.56,78.13,78.52,77.58,72.75
40,78.1,78.84,78.71,77.57,72.45
41,78.03,79.46,78.55,77.57,73.18
42,78.75,78.67,78.96,77.57,72.86
43,79.48,79.02,78.85,77.56,73.56
44,79.51,79.51,78.82,77.55,73.19
45,78.76,78.7,78.68,77.55,73.86
46,78.84,78.17,79.16,77.53,73.49
47,79.41,77.82,78.81,77.55,74.13
48,78.6,78.39,78.8,77.55,73.73
49,78.09,78.86,78.66,77.54,74.38
50,77.6,79.36,78.52,77.56,73.97
51,78.04,79.38,79.11,77.58,74.6
52,78.73,79.24,78.65,77.58,73.66
53,79.34,78.42,78.49,77.58,74.2
54,78.53,77.94,79.02,77.59,73.78
55,78.51,77.67,78.37,77.61,74.4
56,79.01,78.27,78.95,77.59,74.0
57,78.09,78.8,78.81,77.62,74.64
58,77.56,79.25,78.99,77.63,74.22
