Epoch,RoundRobin,Alternation,MFU,Greedy,TemPo
0,27.3474,26.769199999999998,25.9685,26.546799999999998,25.9685
1,26.643700000000003,30.270899999999997,57.84871,26.642699999999998,57.91671
2,58.34143,26.9268,57.85765,25.978900000000003,57.81916
3,26.0623,29.6385,57.76844,25.865099999999998,57.67398
4,27.836199999999998,26.728299999999997,57.97221,25.7958,57.99119
5,25.8664,29.377899999999997,58.12943,25.667,58.25041
6,26.829099999999997,26.5764,58.49691,25.594499999999996,58.67288
7,25.7487,29.360300000000002,58.59274,25.573999999999998,58.67246
8,27.489199999999997,26.447499999999998,58.17872,25.514400000000002,58.12591
9,25.584000000000003,29.1864,58.965,25.465200000000003,26.5235
10,26.5381,26.308300000000003,58.86095,25.377499999999998,28.0208
11,25.549100000000003,29.078200000000002,58.66464,25.361600000000003,26.591099999999997
12,26.404200000000003,53.5583,59.07211,25.325699999999998,57.37335
13,25.4638,29.022,58.92642,25.233199999999997,58.35965
14,44.8438,26.1087,59.17875,25.193399999999997,58.35869
15,25.390900000000002,29.259300000000003,59.02615,25.582500000000003,58.548140000000004
16,26.224899999999998,53.2995,59.12545,28.859699999999997,26.5069
17,25.331699999999998,28.976399999999998,59.7002,28.891800000000003,27.997999999999998
18,26.1678,25.9743,59.36456,28.9095,26.520699999999998
19,25.2333,25.5013,59.61173,28.902299999999997,57.42246
20,37.8521,26.2173,59.494640000000004,28.9062,58.24004
21,25.2309,25.6239,59.53242,28.865900000000003,58.4469
22,26.8846,26.279200000000003,59.69532,29.235999999999997,58.27217
23,25.194000000000003,28.975299999999997,59.64362,28.858800000000002,26.5011
24,26.0049,26.11,59.53805,28.8613,46.8493
25,25.111800000000002,28.9215,59.74783,28.9307,27.3071
26,25.9711,41.6436,59.32535,28.8994,57.2817
27,25.0931,28.845799999999997,59.6732,28.959699999999998,56.10208
28,25.928400000000003,25.9687,59.49088,28.960500000000003,56.85363
29,25.0546,28.805799999999998,59.56541,28.944899999999997,27.358600000000003
30,25.9217,51.0685,59.97625,28.9461,28.896
31,25.0342,28.792700000000004,59.43394,28.8712,26.581899999999997
32,25.901200000000003,41.4895,59.9114,29.0516,58.18788
33,25.0161,25.380200000000002,59.54367,28.9214,58.02752
34,25.8733,26.218600000000002,59.60038,28.9687,58.45785
35,25.001199999999997,28.8283,55.8882,29.037599999999998,58.26741
36,25.844700000000003,25.896500000000003,56.14369,28.8318,26.539099999999998
37,24.9884,25.4343,55.80024,29.067100000000003,28.017899999999997
