0	325.19
1	325.10
2	325.09
3	325.09
4	325.09
5	325.08
6	325.10
7	325.19

8	325.54
9	325.54
10	325.57
11	325.59
12	325.59
13	325.56
14	325.54
15	325.54

16	325.87
17	326.00
18	326.11
19	326.17
20	326.16
21	326.10
22	326.00
23	325.87

24	326.24
25	326.54
26	326.77
27	326.88
28	326.86
29	326.75
30	326.54
31	326.24

32	326.70
33	327.22
34	327.61
35	327.78
36	327.73
37	327.55
38	327.23
39	326.71

40	327.31
41	328.13
42	328.82
43	329.04
44	328.84
45	328.59
46	328.24
47	327.34

48	328.39
49	329.68
50	331.60
51	331.86
52	330.45
53	330.16
54	330.86
55	328.38

56	328.67
57	331.15
58	330.33
59	330.58
60	332.05
61	331.84
62	329.98
63	328.68

