                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
    num accesses                     |   60239608 |   60210146 |   60202933 |   60206280 |   60205410 |   60207835 |   60214765 |   60204854 |   60213271 |   60206348 |   60205849 |   60204734 |   60202493 |   60213758 |   60214597 |   60206729 |   60212256 |   60212887 |   60201379 |   60214667 |   60210225 |   60210524 |   60213805 |   60207042 |   60211150 |   60210908 |   60206801 |   60208131 |   60206515 |   60208342 |   60207601 |   60230694
    num misses                       |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19 |         19
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |         58 |         58 |         58 |         58 |         58 |         58 |         58 |         58 |         58 |         58 |         58 |         58 |         58 |         58 |         58 |         58 |         58 |         58 |         58 |         58 |         58 |         58 |         58 |         58 |         58 |         58 |         58 |         58 |         58 |         58 |         58 |         58
    num misses                       |         58 |         58 |         58 |         58 |         58 |         58 |         58 |         58 |         58 |         58 |         58 |         58 |         58 |         58 |         58 |         58 |         58 |         58 |         58 |         58 |         58 |         58 |         58 |         58 |         58 |         58 |         58 |         58 |         58 |         58 |         58 |         58
    miss rate                        |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   13856121 |   13849671 |   13848170 |   13848936 |   13848773 |   13849237 |   13850659 |   13848658 |   13850271 |   13848949 |   13848850 |   13848634 |   13848077 |   13850383 |   13850616 |   13849024 |   13850075 |   13850188 |   13847867 |   13850638 |   13849686 |   13849739 |   13850403 |   13849077 |   13849865 |   13849807 |   13849036 |   13849297 |   13848984 |   13849336 |   13849190 |   13854388
    num cache misses                 |      11142 |      11142 |      11142 |      11142 |      11142 |      11142 |      11142 |      11142 |      11142 |      11142 |      11142 |      11142 |      11142 |      11142 |      11142 |      11142 |      11142 |      11142 |      11142 |      11142 |      11142 |      11142 |      11142 |      11142 |      11142 |      11142 |      11142 |      11142 |      11142 |      11142 |      11142 |      11142
    miss rate                        |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08%
    mpki                             |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   60239608 |   60210146 |   60202933 |   60206280 |   60205410 |   60207835 |   60214765 |   60204854 |   60213271 |   60206348 |   60205849 |   60204734 |   60202493 |   60213758 |   60214597 |   60206729 |   60212256 |   60212887 |   60201379 |   60214667 |   60210225 |   60210524 |   60213805 |   60207042 |   60211150 |   60210908 |   60206801 |   60208131 |   60206515 |   60208342 |   60207601 |   60230694
    num cache misses                 |        314 |        314 |        314 |        314 |        314 |        314 |        314 |        314 |        314 |        314 |        314 |        314 |        314 |        314 |        314 |        314 |        314 |        314 |        314 |        314 |        314 |        314 |        314 |        314 |        314 |        314 |        314 |        314 |        314 |        314 |        314 |        314
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      11587 |      11587 |      11587 |      11587 |      11587 |      11587 |      11587 |      11587 |      11587 |      11587 |      11587 |      11587 |      11587 |      11587 |      11587 |      11587 |      11587 |      11587 |      11587 |      11587 |      11587 |      11587 |      11587 |      11587 |      11587 |      11587 |      11587 |      11587 |      11587 |      11587 |      11587 |      11587
    num cache misses                 |       1780 |       1780 |       1780 |       1780 |       1780 |       1780 |       1780 |       1780 |       1780 |       1780 |       1780 |       1780 |       1780 |       1780 |       1780 |       1780 |       1780 |       1780 |       1780 |       1780 |       1780 |       1780 |       1780 |       1780 |       1780 |       1780 |       1780 |       1780 |       1780 |       1780 |       1780 |       1780
