                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
  Instructions                       |  100101414 |  100101414 |  100101414 |  100101414 |  100101414 |  100101414 |  100101414 |  100101414 |  100101414 |  100101414 |  100101414 |  100101414 |  100101414 |  100101414 |  100101414 |  100101414 |  100101414 |  100101414 |  100101414 |  100101414 |  100101414 |  100101414 |  100101414 |  100101414 |  100101394 |  100101394 |  100101394 |  100101394 |  100101394 |  100101394 |  100101394 |  100101394
  Cycles                             |  472907880 |  472907880 |  472907880 |  472907880 |  472907880 |  472907880 |  472907880 |  472907880 |  472907880 |  472907880 |  472907880 |  472907880 |  472907880 |  472907880 |  472907880 |  472907880 |  472907880 |  472907880 |  472907880 |  472907880 |  472907880 |  472907880 |  472907880 |  472907880 |  472907880 |  472907880 |  472907880 |  472907880 |  472907880 |  472907880 |  472907880 |  472907880
  IPC                                |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21
  Time (ns)                          |  131363300 |  131363300 |  131363300 |  131363300 |  131363300 |  131363300 |  131363300 |  131363300 |  131363300 |  131363300 |  131363300 |  131363300 |  131363300 |  131363300 |  131363300 |  131363300 |  131363300 |  131363300 |  131363300 |  131363300 |  131363300 |  131363300 |  131363300 |  131363300 |  131363300 |  131363300 |  131363300 |  131363300 |  131363300 |  131363300 |  131363300 |  131363300
  Idle time (ns)                     |    4198824 |    4190502 |    2205311 |    2241687 |    3201628 |    3265248 |     308959 |      43923 |   43218554 |   43218846 |   52128045 |   51516108 |   40103975 |   41320309 |   41492327 |   40713470 |   53217678 |   53251552 |   32294914 |   32293836 |   49950118 |   50015359 |   26208901 |   26201984 |    5893269 |    5920052 |   11911711 |   11899825 |    7924548 |    7925155 |   21927664 |   21891967
  Idle time (%)                      |       3.2% |       3.2% |       1.7% |       1.7% |       2.4% |       2.5% |       0.2% |       0.0% |      32.9% |      32.9% |      39.7% |      39.2% |      30.5% |      31.5% |      31.6% |      31.0% |      40.5% |      40.5% |      24.6% |      24.6% |      38.0% |      38.1% |      20.0% |      19.9% |       4.5% |       4.5% |       9.1% |       9.1% |       6.0% |       6.0% |      16.7% |      16.7%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1172002 |    1172002 |    1172002 |    1172002 |    1172002 |    1172002 |    1172002 |    1172002 |    1172002 |    1172002 |    1172002 |    1172002 |    1172002 |    1172002 |    1172002 |    1172002 |    1172002 |    1172002 |    1172002 |    1172002 |    1172002 |    1172002 |    1172002 |    1172002 |   13106934 |   13106934 |   13106934 |   13106934 |   13106934 |   13106934 |   13106934 |   13106934
  num incorrect                      |     110475 |     110475 |     110475 |     110475 |     110475 |     110475 |     110475 |     110475 |     110475 |     110475 |     110475 |     110475 |     110475 |     110475 |     110475 |     110475 |     110475 |     110475 |     110475 |     110475 |     110475 |     110475 |     110475 |     110475 |      15770 |      15770 |      15770 |      15770 |      15770 |      15770 |      15770 |      15770
  misprediction rate                 |      8.61% |      8.61% |      8.61% |      8.61% |      8.61% |      8.61% |      8.61% |      8.61% |      8.61% |      8.61% |      8.61% |      8.61% |      8.61% |      8.61% |      8.61% |      8.61% |      8.61% |      8.61% |      8.61% |      8.61% |      8.61% |      8.61% |      8.61% |      8.61% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12%
