                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
    num accesses                     |   63025137 |   63020288 |   63019731 |   63020965 |   63019929 |   63019021 |   62906726 |   62913010 |   62899500 |   62896639 |   57244149 |   15454570 |   15648733 |   15609853 |   15689630 |   15151083 |   33850313 |   33852515 |   33845892 |   33847735 |   33850536 |   33848458 |    7225119 |    7225734 |    7250683 |    7251519 |    7141953 |    7088623 |    6982656 |    6983874 |    7001017 |    7001368
    num misses                       |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |       4914 |       5010 |       4958 |       5046 |       4731 |      10091 |      10091 |      10090 |      10090 |      10091 |      10090 |      22722 |      22723 |      22823 |      22826 |      22451 |      22263 |      21932 |      21935 |      21986 |      21988
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.31% |      0.31% |      0.31% |      0.31% |      0.31% |      0.31% |      0.31% |      0.31% |      0.31% |      0.31%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.22 |       0.22 |       0.22 |       0.22 |       0.21 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       1.54 |       1.54 |       1.54 |       1.54 |       1.54 |       1.54 |       1.54 |       1.54 |       1.54 |       1.54
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |       4923 |       5020 |       4967 |       5058 |       4740 |      10110 |      10110 |      10109 |      10109 |      10110 |      10109 |      22724 |      22725 |      22825 |      22828 |      22453 |      22265 |      21934 |      21937 |      21988 |      21990
    num misses                       |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |       3584 |       3659 |       3618 |       3697 |       3450 |       7299 |       7299 |       7298 |       7298 |       7299 |       7298 |      12364 |      12364 |      12419 |      12420 |      12216 |      12116 |      11936 |      11936 |      11964 |      11966
    miss rate                        |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |     72.80% |     72.89% |     72.84% |     73.09% |     72.78% |     72.20% |     72.20% |     72.19% |     72.19% |     72.20% |     72.19% |     54.41% |     54.41% |     54.41% |     54.41% |     54.41% |     54.42% |     54.42% |     54.41% |     54.41% |     54.42%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.16 |       0.16 |       0.16 |       0.16 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.84 |       0.84 |       0.84 |       0.84 |       0.84 |       0.84 |       0.84 |       0.84 |       0.84 |       0.84
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   14255330 |   14254268 |   14254165 |   14254401 |   14254202 |   14254037 |   14227292 |   14228771 |   14225606 |   14224993 |   12946597 |    3422822 |    3465662 |    3457087 |    3474175 |    3355176 |    7483984 |    7484470 |    7483008 |    7483416 |    7484032 |    7483574 |    1333985 |    1334105 |    1338556 |    1338701 |    1318709 |    1308996 |    1289427 |    1289665 |    1292850 |    1292904
    num cache misses                 |        320 |        320 |        320 |        320 |        320 |        320 |        320 |        320 |        320 |        320 |       5619 |       1668 |       1785 |       1747 |       1816 |       1738 |       3932 |       3927 |       3933 |       3934 |       3938 |       3937 |      10052 |      10035 |      10094 |      10112 |      10059 |      10047 |       9653 |       9654 |       9793 |       9705
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.04% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.75% |      0.75% |      0.75% |      0.76% |      0.76% |      0.77% |      0.75% |      0.75% |      0.76% |      0.75%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.06 |       0.07 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.68 |       0.68 |       0.68 |       0.68 |       0.69 |       0.69 |       0.68 |       0.68 |       0.69 |       0.68
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   63025137 |   63020288 |   63019731 |   63020965 |   63019929 |   63019021 |   62906726 |   62913010 |   62899500 |   62896639 |   57244149 |   15454570 |   15648733 |   15609853 |   15689630 |   15151083 |   33850313 |   33852515 |   33845892 |   33847735 |   33850536 |   33848458 |    7225119 |    7225734 |    7250683 |    7251519 |    7141953 |    7088623 |    6982656 |    6983874 |    7001017 |    7001368
    num cache misses                 |        202 |        202 |        202 |        202 |        202 |        202 |        202 |        202 |        202 |        202 |       3245 |     255607 |     258943 |     258184 |     259476 |     250960 |     563180 |     563069 |     562967 |     563216 |     563089 |     563103 |    1303293 |    1303353 |    1309086 |    1309326 |    1287684 |    1277015 |    1257869 |    1257996 |    1260983 |    1261106
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01% |      1.65% |      1.65% |      1.65% |      1.65% |      1.66% |      1.66% |      1.66% |      1.66% |      1.66% |      1.66% |      1.66% |     18.04% |     18.04% |     18.05% |     18.06% |     18.03% |     18.01% |     18.01% |     18.01% |     18.01% |     18.01%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.04 |      11.23 |      11.24 |      11.23 |      11.23 |      11.25 |      11.32 |      11.31 |      11.31 |      11.32 |      11.32 |      11.32 |      88.49 |      88.48 |      88.59 |      88.60 |      88.43 |      88.34 |      88.33 |      88.32 |      88.31 |      88.32
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
