                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
  Instructions                       |  200202881 |  100101379 |  100101379 |  100101379 |  100101379 |  100101379 |  100101379 |  100101379 |  100101379 |  100101379 |  100101379 |  100101379 |  100101379 |  100101379 |  100101379 |  100101379 |  100101379 |  100001362 |  100001362 |  100001362 |  100001362 |  100001362 |  100001362 |  100001362 |  100001362 |  100101413 |  100101413 |  100101413 |  100101413 |  100101413 |  100101413 |  100101413
  Cycles                             |  340221600 |  340221600 |  340221600 |  340221600 |  340221600 |  340221600 |  340221600 |  340221600 |  340221600 |  340221600 |  340221600 |  340221600 |  340221600 |  340221600 |  340221600 |  340221600 |  340221600 |  340221600 |  340221600 |  340221600 |  340221600 |  340221600 |  340221600 |  340221600 |  340221600 |  340221600 |  340221600 |  340221600 |  340221600 |  340221600 |  340221600 |  340221600
  IPC                                |       0.59 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29
  Time (ns)                          |   94506000 |   94506000 |   94506000 |   94506000 |   94506000 |   94506000 |   94506000 |   94506000 |   94506000 |   94506000 |   94506000 |   94506000 |   94506000 |   94506000 |   94506000 |   94506000 |   94506000 |   94506000 |   94506000 |   94506000 |   94506000 |   94506000 |   94506000 |   94506000 |   94506000 |   94506000 |   94506000 |   94506000 |   94506000 |   94506000 |   94506000 |   94506000
  Idle time (ns)                     |      91967 |   59349139 |   59268965 |   59267611 |   59269085 |   59270515 |   59265951 |   59268720 |   58267837 |   58265635 |   58269090 |   58268690 |   58267758 |   58268410 |   58269631 |   58271149 |   58389120 |   74263178 |   74201253 |   74329676 |   74268899 |   74290907 |   74290508 |   74330508 |   75314651 |   45390890 |   45372594 |   45370700 |   45383416 |   45369756 |   45377511 |   45373786
  Idle time (%)                      |       0.1% |      62.8% |      62.7% |      62.7% |      62.7% |      62.7% |      62.7% |      62.7% |      61.7% |      61.7% |      61.7% |      61.7% |      61.7% |      61.7% |      61.7% |      61.7% |      61.8% |      78.6% |      78.5% |      78.7% |      78.6% |      78.6% |      78.6% |      78.7% |      79.7% |      48.0% |      48.0% |      48.0% |      48.0% |      48.0% |      48.0% |      48.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   15532419 |    6638517 |    6638517 |    6638517 |    6638517 |    6638517 |    6638517 |    6638517 |    6638517 |    6638517 |    6638517 |    6638517 |    6638517 |    6638517 |    6638517 |    6638517 |    6638517 |    3537118 |    3537118 |    3537118 |    3537118 |    3537118 |    3537118 |    3537118 |    3537118 |    8893391 |    8893391 |    8893391 |    8893391 |    8893391 |    8893391 |    8893391
  num incorrect                      |     691583 |       5120 |       5120 |       5120 |       5120 |       5120 |       5120 |       5120 |       5120 |       5120 |       5120 |       5120 |       5120 |       5120 |       5120 |       5120 |       5120 |      78469 |      78469 |      78469 |      78469 |      78469 |      78469 |      78469 |      78469 |     686974 |     686974 |     686974 |     686974 |     686974 |     686974 |     686974
  misprediction rate                 |      4.26% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      2.17% |      2.17% |      2.17% |      2.17% |      2.17% |      2.17% |      2.17% |      2.17% |      7.17% |      7.17% |      7.17% |      7.17% |      7.17% |      7.17% |      7.17%
  mpki                               |       3.45 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.78 |       0.78 |       0.78 |       0.78 |       0.78 |       0.78 |       0.78 |       0.78 |       6.86 |       6.86 |       6.86 |       6.86 |       6.86 |       6.86 |       6.86
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   26375885 |   12120471 |   12120471 |   12120471 |   12120471 |   12120471 |   12120471 |   12120471 |   12120471 |   12120471 |   12120471 |   12120471 |   12120471 |   12120471 |   12120471 |   12120471 |   12120471 |    9397822 |    9397822 |    9397822 |    9397822 |    9397822 |    9397822 |    9397822 |    9397822 |   14255330 |   14255330 |   14255330 |   14255330 |   14255330 |   14255330 |   14255330
    num misses                       |         22 |         14 |         14 |         14 |         14 |         14 |         14 |         14 |         14 |         14 |         14 |         14 |         14 |         14 |         14 |         14 |         14 |        200 |        200 |        200 |        200 |        200 |        200 |        200 |        200 |          8 |          8 |          8 |          8 |          8 |          8 |          8
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |  110321053 |   47295916 |   47295916 |   47295916 |   47295916 |   47295916 |   47295916 |   47295916 |   47295916 |   47295916 |   47295916 |   47295916 |   47295916 |   47295916 |   47295916 |   47295916 |   47295916 |   53175136 |   53175136 |   53175136 |   53175136 |   53175136 |   53175136 |   53175136 |   53175136 |   63025137 |   63025137 |   63025137 |   63025137 |   63025137 |   63025137 |   63025137
    num misses                       |      43294 |      42913 |      42913 |      42913 |      42913 |      42913 |      42913 |      42913 |      42913 |      42913 |      42913 |      42913 |      42913 |      42913 |      42913 |      42913 |      42913 |       9754 |       9754 |       9754 |       9754 |       9754 |       9754 |       9754 |       9754 |          8 |          8 |          8 |          8 |          8 |          8 |          8
