                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
  Instructions                       |  100101414 |  100101414 |  100101414 |  100101414 |  100101414 |  100101414 |  100101414 |  100101414 |  100101394 |  100101394 |  100101394 |  100101394 |  100101394 |  100101394 |  100101394 |  100101394 |  100101413 |  100101413 |  100101413 |  100101413 |  100101413 |  100101413 |  100101413 |  100101413 |  100001362 |  100001362 |  100001362 |  100001362 |  100001362 |  100001362 |  100001362 |  100001362
  Cycles                             |  397377000 |  397377000 |  397377000 |  397377000 |  397377000 |  397377000 |  397377000 |  397377000 |  397377000 |  397377000 |  397377000 |  397377000 |  397377000 |  397377000 |  397377000 |  397377000 |  397377000 |  397377000 |  397377000 |  397377000 |  397377000 |  397377000 |  397377000 |  397377000 |  397377000 |  397377000 |  397377000 |  397377000 |  397377000 |  397377000 |  397377000 |  397377000
  IPC                                |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25
  Time (ns)                          |  110382500 |  110382500 |  110382500 |  110382500 |  110382500 |  110382500 |  110382500 |  110382500 |  110382500 |  110382500 |  110382500 |  110382500 |  110382500 |  110382500 |  110382500 |  110382500 |  110382500 |  110382500 |  110382500 |  110382500 |  110382500 |  110382500 |  110382500 |  110382500 |  110382500 |  110382500 |  110382500 |  110382500 |  110382500 |  110382500 |  110382500 |  110382500
  Idle time (ns)                     |     203192 |     204326 |     268825 |     304226 |     271562 |     250444 |       3921 |      77378 |   60879934 |   60880612 |   60892689 |   60892604 |   60891402 |   60892109 |   60885540 |   60886160 |   66256937 |   66256635 |   66256766 |   66256676 |   66256823 |   66256724 |   66256770 |   66256647 |   95195384 |   95196177 |   95195608 |   95196482 |   95196131 |   95196550 |   95196051 |   95195914
  Idle time (%)                      |       0.2% |       0.2% |       0.2% |       0.3% |       0.2% |       0.2% |       0.0% |       0.1% |      55.2% |      55.2% |      55.2% |      55.2% |      55.2% |      55.2% |      55.2% |      55.2% |      60.0% |      60.0% |      60.0% |      60.0% |      60.0% |      60.0% |      60.0% |      60.0% |      86.2% |      86.2% |      86.2% |      86.2% |      86.2% |      86.2% |      86.2% |      86.2%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1172002 |    1172002 |    1172002 |    1172002 |    1172002 |    1172002 |    1172002 |    1172002 |   13106934 |   13106934 |   13106934 |   13106934 |   13106934 |   13106934 |   13106934 |   13106934 |    8893391 |    8893391 |    8893391 |    8893391 |    8893391 |    8893391 |    8893391 |    8893391 |    3537118 |    3537118 |    3537118 |    3537118 |    3537118 |    3537118 |    3537118 |    3537118
  num incorrect                      |     110475 |     110475 |     110475 |     110475 |     110475 |     110475 |     110475 |     110475 |      15770 |      15770 |      15770 |      15770 |      15770 |      15770 |      15770 |      15770 |     686974 |     686974 |     686974 |     686974 |     686974 |     686974 |     686974 |     686974 |      78469 |      78469 |      78469 |      78469 |      78469 |      78469 |      78469 |      78469
  misprediction rate                 |      8.61% |      8.61% |      8.61% |      8.61% |      8.61% |      8.61% |      8.61% |      8.61% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      7.17% |      7.17% |      7.17% |      7.17% |      7.17% |      7.17% |      7.17% |      7.17% |      2.17% |      2.17% |      2.17% |      2.17% |      2.17% |      2.17% |      2.17% |      2.17%
