                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
    num accesses                     |   37404926 |   36126056 |   36348205 |   36347535 |   36352146 |   36352489 |   36349178 |   36347250 |   36352016 |   36350808 |   36359674 |   36359085 |   36334678 |   36335440 |   36338472 |   36338963 |   36351013 |   36351648 |   36351228 |   36352716 |   36349193 |   36348650 |   36365742 |   36365669 |   36346061 |   36345119 |   36356461 |   36356028 |   36342956 |   36343918 |   36121783 |   37421943
    num misses                       |      87864 |      86468 |      86521 |      86521 |      86521 |      86521 |      86521 |      86521 |      86521 |      86521 |      86522 |      86522 |      86519 |      86519 |      86520 |      86520 |      86521 |      86521 |      86521 |      86521 |      86521 |      86521 |      86524 |      86524 |      86521 |      86521 |      86522 |      86522 |      86520 |      86520 |      86465 |      87893
    miss rate                        |      0.23% |      0.24% |      0.24% |      0.24% |      0.24% |      0.24% |      0.24% |      0.24% |      0.24% |      0.24% |      0.24% |      0.24% |      0.24% |      0.24% |      0.24% |      0.24% |      0.24% |      0.24% |      0.24% |      0.24% |      0.24% |      0.24% |      0.24% |      0.24% |      0.24% |      0.24% |      0.24% |      0.24% |      0.24% |      0.24% |      0.24% |      0.23%
    mpki                             |       0.88 |       0.89 |       0.89 |       0.89 |       0.89 |       0.89 |       0.89 |       0.89 |       0.89 |       0.89 |       0.89 |       0.89 |       0.89 |       0.89 |       0.89 |       0.89 |       0.89 |       0.89 |       0.89 |       0.89 |       0.89 |       0.89 |       0.89 |       0.89 |       0.89 |       0.89 |       0.89 |       0.89 |       0.89 |       0.89 |       0.89 |       0.88
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      87866 |      86470 |      86523 |      86523 |      86523 |      86523 |      86523 |      86523 |      86523 |      86523 |      86524 |      86524 |      86521 |      86521 |      86522 |      86522 |      86523 |      86523 |      86523 |      86523 |      86523 |      86523 |      86526 |      86526 |      86523 |      86523 |      86524 |      86524 |      86522 |      86522 |      86467 |      87895
    num misses                       |       3910 |       3746 |       3783 |       3783 |       3783 |       3783 |       3783 |       3783 |       3783 |       3783 |       3784 |       3784 |       3781 |       3781 |       3782 |       3782 |       3783 |       3783 |       3783 |       3783 |       3783 |       3783 |       3786 |       3786 |       3783 |       3783 |       3784 |       3784 |       3782 |       3782 |       3745 |       3912
    miss rate                        |      4.45% |      4.33% |      4.37% |      4.37% |      4.37% |      4.37% |      4.37% |      4.37% |      4.37% |      4.37% |      4.37% |      4.37% |      4.37% |      4.37% |      4.37% |      4.37% |      4.37% |      4.37% |      4.37% |      4.37% |      4.37% |      4.37% |      4.38% |      4.38% |      4.37% |      4.37% |      4.37% |      4.37% |      4.37% |      4.37% |      4.33% |      4.45%
    mpki                             |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    8430095 |    8142157 |    8192054 |    8191903 |    8192944 |    8193021 |    8192274 |    8191839 |    8192915 |    8192642 |    8194640 |    8194506 |    8189022 |    8189194 |    8189863 |    8189974 |    8192688 |    8192832 |    8192737 |    8193075 |    8192278 |    8192155 |    8196003 |    8195987 |    8191571 |    8191357 |    8193913 |    8193816 |    8190876 |    8191093 |    8141192 |    8433940
    num cache misses                 |        467 |        458 |        421 |        420 |        420 |        417 |        421 |        416 |        417 |        416 |        417 |        419 |        418 |        418 |        419 |        420 |        416 |        416 |        416 |        418 |        419 |        416 |        420 |        419 |        417 |        418 |        418 |        418 |        418 |        418 |        460 |        469
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   37404926 |   36126056 |   36348205 |   36347535 |   36352146 |   36352489 |   36349178 |   36347250 |   36352016 |   36350808 |   36359674 |   36359085 |   36334678 |   36335440 |   36338472 |   36338963 |   36351013 |   36351648 |   36351228 |   36352716 |   36349193 |   36348650 |   36365742 |   36365669 |   36346061 |   36345119 |   36356461 |   36356028 |   36342956 |   36343918 |   36121783 |   37421943
    num cache misses                 |    1275083 |    1241288 |    1241877 |    1241928 |    1241973 |    1242000 |    1241803 |    1241877 |    1241875 |    1241905 |    1242002 |    1241943 |    1241836 |    1241879 |    1241787 |    1241857 |    1241768 |    1241779 |    1241934 |    1241904 |    1241954 |    1241939 |    1241969 |    1241866 |    1241883 |    1241892 |    1241867 |    1241891 |    1241844 |    1241923 |    1241302 |    1275850
    miss rate                        |      3.41% |      3.44% |      3.42% |      3.42% |      3.42% |      3.42% |      3.42% |      3.42% |      3.42% |      3.42% |      3.42% |      3.42% |      3.42% |      3.42% |      3.42% |      3.42% |      3.42% |      3.42% |      3.42% |      3.42% |      3.42% |      3.42% |      3.42% |      3.41% |      3.42% |      3.42% |      3.42% |      3.42% |      3.42% |      3.42% |      3.44% |      3.41%
    mpki                             |      12.74 |      12.84 |      12.77 |      12.77 |      12.77 |      12.77 |      12.77 |      12.77 |      12.77 |      12.77 |      12.77 |      12.77 |      12.78 |      12.78 |      12.78 |      12.78 |      12.77 |      12.77 |      12.77 |      12.77 |      12.77 |      12.77 |      12.77 |      12.77 |      12.77 |      12.77 |      12.77 |      12.77 |      12.77 |      12.77 |      12.85 |      12.75
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1292310 |    1258191 |    1258161 |    1258208 |    1258244 |    1258282 |    1258095 |    1258154 |    1258157 |    1258158 |    1258239 |    1258210 |    1258149 |    1258195 |    1258082 |    1258163 |    1258039 |    1258059 |    1258186 |    1258171 |    1258233 |    1258197 |    1258224 |    1258126 |    1258154 |    1258177 |    1258172 |    1258162 |    1258173 |    1258236 |    1258225 |    1293054
    num cache misses                 |     130276 |     126563 |     124203 |     124365 |     124217 |     124171 |     124300 |     124210 |     124163 |     124177 |     124154 |     124098 |     124223 |     124313 |     124202 |     124296 |     124170 |     124218 |     124140 |     124178 |     124120 |     124124 |     124073 |     124057 |     124170 |     124223 |     124241 |     124189 |     124350 |     124398 |     126619 |     130339
    miss rate                        |     10.08% |     10.06% |      9.87% |      9.88% |      9.87% |      9.87% |      9.88% |      9.87% |      9.87% |      9.87% |      9.87% |      9.86% |      9.87% |      9.88% |      9.87% |      9.88% |      9.87% |      9.87% |      9.87% |      9.87% |      9.86% |      9.87% |      9.86% |      9.86% |      9.87% |      9.87% |      9.87% |      9.87% |      9.88% |      9.89% |     10.06% |     10.08%
    mpki                             |       1.30 |       1.31 |       1.28 |       1.28 |       1.28 |       1.28 |       1.28 |       1.28 |       1.28 |       1.28 |       1.28 |       1.28 |       1.28 |       1.28 |       1.28 |       1.28 |       1.28 |       1.28 |       1.28 |       1.28 |       1.28 |       1.28 |       1.28 |       1.28 |       1.28 |       1.28 |       1.28 |       1.28 |       1.28 |       1.28 |       1.31 |       1.30
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     147132 |     143093 |     140160 |     140323 |     140165 |     140134 |     140267 |     140166 |     140120 |     140109 |     140070 |     140040 |     140213 |     140304 |     140172 |     140275 |     140123 |     140178 |     140073 |     140124 |     140075 |     140061 |     140003 |     139991 |     140119 |     140181 |     140224 |     140135 |     140356 |     140390 |     143173 |     147170
    num cache misses                 |     128560 |     125117 |     123896 |     123872 |     123856 |     123919 |     123881 |     123887 |     123878 |     123814 |     123796 |     123827 |     123933 |     123921 |     123938 |     123901 |     123828 |     123905 |     123847 |     123853 |     123840 |     123857 |     123839 |     123812 |     123834 |     123853 |     123935 |     123863 |     123992 |     123880 |     125110 |     128512
    miss rate                        |     87.38% |     87.44% |     88.40% |     88.28% |     88.36% |     88.43% |     88.32% |     88.39% |     88.41% |     88.37% |     88.38% |     88.42% |     88.39% |     88.32% |     88.42% |     88.33% |     88.37% |     88.39% |     88.42% |     88.39% |     88.41% |     88.43% |     88.45% |     88.44% |     88.38% |     88.35% |     88.38% |     88.39% |     88.34% |     88.24% |     87.38% |     87.32%
    mpki                             |       1.28 |       1.29 |       1.27 |       1.27 |       1.27 |       1.27 |       1.27 |       1.27 |       1.27 |       1.27 |       1.27 |       1.27 |       1.28 |       1.27 |       1.28 |       1.27 |       1.27 |       1.27 |       1.27 |       1.27 |       1.27 |       1.27 |       1.27 |       1.27 |       1.27 |       1.27 |       1.27 |       1.27 |       1.28 |       1.27 |       1.29 |       1.28
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     284637 |          0 |     281127 |          0 |     279265 |          0 |     279253 |          0 |     279223 |          0 |     279296 |          0 |     279239 |          0 |     279209 |          0 |     279250 |          0 |     279182 |          0 |     279247 |          0 |     279201 |          0 |     279539 |          0 |     279399 |          0 |     281178 |          0 |     284676 |          0
  average dram access latency (ns)   |      39.08 |        inf |      39.04 |        inf |      39.08 |        inf |      39.07 |        inf |      39.07 |        inf |      39.09 |        inf |      39.06 |        inf |      39.08 |        inf |      39.05 |        inf |      39.09 |        inf |      39.08 |        inf |      39.08 |        inf |      39.07 |        inf |      39.07 |        inf |      39.06 |        inf |      39.08 |        inf
  average dram queueing delay        |       1.65 |       0.00 |       1.61 |       0.00 |       1.66 |       0.00 |       1.64 |       0.00 |       1.64 |       0.00 |       1.66 |       0.00 |       1.63 |       0.00 |       1.65 |       0.00 |       1.62 |       0.00 |       1.66 |       0.00 |       1.65 |       0.00 |       1.66 |       0.00 |       1.64 |       0.00 |       1.65 |       0.00 |       1.63 |       0.00 |       1.65 |       0.00
  average dram bandwidth utilization |     10.00% |      0.00% |     10.00% |      0.00% |     10.00% |      0.00% |     10.00% |      0.00% |     10.00% |      0.00% |     10.00% |      0.00% |     10.00% |      0.00% |     10.00% |      0.00% |     10.00% |      0.00% |     10.00% |      0.00% |     10.00% |      0.00% |     10.00% |      0.00% |     10.00% |      0.00% |     10.00% |      0.00% |     10.00% |      0.00% |     10.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |     128176 |     124714 |     123449 |     123440 |     123421 |     123486 |     123450 |     123443 |     123429 |     123363 |     123353 |     123393 |     123494 |     123480 |     123496 |     123458 |     123398 |     123466 |     123398 |     123404 |     123393 |     123405 |     123390 |     123368 |     123396 |     123414 |     123499 |     123424 |     123550 |     123442 |     124705 |     128128
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
