Epoch,Greedy,MFU,TemPo,RoundRobin,Alternation
144,71.8,75.75,75.8,67.72,73.14
145,71.74,75.71,75.78,67.38,72.86
146,71.69,75.68,75.77,67.61,72.28
147,71.64,75.66,75.75,67.28,72.07
148,71.58,75.65,75.73,67.52,71.55
149,71.53,75.62,75.72,67.19,71.38
150,71.47,75.61,75.69,67.44,70.92
151,71.44,75.6,75.62,67.11,70.8
152,71.41,75.59,75.53,67.36,70.37
153,71.37,75.59,75.46,67.04,70.29
154,71.33,75.59,75.43,67.29,69.91
155,71.3,75.59,75.38,66.98,69.86
156,71.26,75.58,75.35,67.24,69.5
157,71.22,75.57,75.29,66.93,69.48
158,71.19,75.56,,67.18,69.15
159,71.15,75.57,,66.87,69.16
160,71.12,75.57,,67.14,68.85
161,71.09,75.57,,66.83,68.88
162,71.06,75.56,,67.09,68.59
163,71.03,75.56,,66.79,68.63
164,71.0,75.54,,67.05,68.37
165,70.96,75.38,,66.75,68.42
166,70.93,75.29,,67.02,68.17
167,70.9,75.14,,66.71,68.24
168,70.87,74.96,,66.98,68.0
169,70.84,74.77,,66.68,68.08
170,70.81,74.56,,66.95,67.85
171,70.77,73.95,,66.65,67.94
172,,73.76,,66.92,67.72
173,,73.64,,66.63,67.81
174,,73.5,,66.9,67.6
175,,73.37,,66.6,67.7
176,,73.24,,66.87,67.5
177,,73.1,,66.57,67.61
178,,72.96,,66.85,67.41
179,,,,66.55,67.52
180,,,,66.82,67.35
181,,,,66.53,67.45
182,,,,66.8,67.26
183,,,,66.51,67.38
184,,,,66.78,67.19
185,,,,66.49,67.32
186,,,,66.76,67.13
187,,,,66.47,67.26
188,,,,66.74,67.08
189,,,,66.45,67.21
190,,,,66.73,67.03
191,,,,66.44,67.17
192,,,,66.71,66.99
193,,,,66.42,67.13
194,,,,66.69,66.95
195,,,,66.4,67.09
196,,,,66.68,66.92
197,,,,66.39,67.05
198,,,,66.66,66.88
199,,,,66.37,67.02
200,,,,66.65,66.85
201,,,,66.36,66.99
202,,,,66.64,66.82
203,,,,66.34,66.96
204,,,,66.62,66.79
205,,,,66.33,66.94
206,,,,66.61,66.77
207,,,,66.32,66.91
208,,,,66.59,66.74
209,,,,66.3,
210,,,,66.58,
211,,,,66.29,
212,,,,66.57,
213,,,,66.28,
214,,,,66.55,
215,,,,66.27,
216,,,,66.54,
217,,,,66.25,
218,,,,66.53,
219,,,,66.24,
220,,,,66.52,
221,,,,66.23,
222,,,,66.51,
223,,,,66.22,
224,,,,66.49,
225,,,,66.21,
226,,,,66.48,
227,,,,66.2,
