Epoch,TemPo,MFU,RoundRobin,Alternation,Greedy
0,70.07,70.07,70.07,70.07,70.07
1,70.71,70.71,72.0,71.26,71.32
2,72.72,72.82,73.4,71.27,72.93
3,73.62,74.29,74.25,72.42,74.69
4,75.15,75.17,74.53,72.34,75.93
5,76.36,76.07,75.52,73.4,75.16
6,77.66,76.66,76.98,73.24,76.73
7,78.6,77.34,77.64,74.23,77.84
8,79.28,78.76,77.38,74.02,78.68
9,79.39,79.62,78.13,74.92,79.41
10,79.42,80.54,79.4,74.68,79.15
11,79.7,79.85,79.23,75.58,80.12
12,79.61,79.78,79.53,75.26,79.87
13,79.7,79.55,79.9,76.11,79.47
14,79.72,79.77,79.5,75.75,79.69
15,79.58,79.2,79.06,76.56,79.92
16,79.61,78.81,78.6,76.19,79.4
17,79.53,79.18,78.16,77.02,79.51
18,79.77,79.58,78.51,76.61,79.68
19,79.6,79.93,78.93,77.39,79.84
20,79.5,79.71,79.39,76.95,79.48
21,79.4,79.73,79.83,77.68,79.77
22,79.65,79.76,80.0,77.23,79.53
23,79.49,79.28,79.56,77.98,79.82
24,79.72,78.77,79.13,77.51,79.32
25,79.55,78.72,79.44,78.24,79.65
26,79.27,78.77,79.72,77.76,79.98
27,79.58,79.17,79.24,78.48,79.6
28,79.52,79.54,79.36,77.97,79.93
29,79.53,79.84,79.81,78.59,79.44
30,79.82,80.03,79.68,78.1,79.65
31,79.41,79.6,80.01,78.81,79.94
32,79.76,79.87,79.53,78.27,79.77
33,79.6,79.38,79.0,78.93,79.34
34,79.47,78.85,79.1,78.42,79.43
35,78.93,78.64,79.45,79.09,79.78
36,79.17,79.05,79.78,78.54,79.35
37,79.46,79.46,79.7,78.94,79.52
38,79.8,79.78,79.94,78.33,79.6
39,79.66,79.92,79.49,78.8,79.67
40,79.51,79.62,79.71,78.18,79.8
41,79.34,79.95,79.93,78.74,79.94
42,79.46,79.47,79.35,78.16,79.74
43,79.57,78.95,78.79,78.81,79.87
44,79.71,78.82,79.13,78.25,79.71
45,79.84,79.12,79.48,77.65,79.83
46,79.73,79.42,79.82,77.2,79.91
47,79.65,79.67,80.01,77.85,79.58
48,79.76,79.89,79.6,77.33,79.72
49,79.9,79.85,79.79,78.02,79.88
50,79.27,79.94,79.28,77.54,79.39
51,79.34,79.79,78.73,78.23,79.54
52,79.44,80.0,78.55,77.78,79.7
53,79.54,79.76,78.95,78.52,79.87
54,79.64,79.88,79.38,78.05,79.76
55,79.77,79.22,79.79,78.77,79.91
56,79.92,79.13,79.98,78.25,79.44
57,79.41,79.26,79.82,78.94,79.6
58,79.57,79.4,79.31,78.44,79.69
59,79.68,79.59,78.76,79.13,79.77
60,79.77,79.76,78.49,78.6,79.88
61,79.89,79.97,78.88,78.98,79.59
62,79.75,79.94,79.31,78.38,79.77
63,79.9,79.68,79.73,78.94,79.95
64,79.29,79.91,79.47,78.27,79.87
65,79.41,79.71,79.79,78.81,79.68
66,79.56,79.86,79.49,78.17,79.84
67,79.72,79.15,79.72,78.74,79.2
68,79.58,78.8,79.94,78.15,79.12
69,79.78,78.35,79.4,78.77,79.24
70,79.97,77.89,79.05,78.18,79.37
71,79.72,77.47,79.07,78.1,79.51
72,79.64,77.89,79.04,77.59,79.64
73,79.49,78.52,78.97,77.02,79.53
74,79.52,79.11,78.89,76.59,79.16
75,79.47,79.55,78.81,76.77,78.68
76,79.13,78.74,78.74,76.35,78.21
77,78.67,79.29,78.69,77.07,78.82
78,78.39,78.45,78.65,76.65,79.32
79,78.92,77.95,78.6,77.45,78.37
80,78.62,77.96,78.55,76.54,78.63
81,77.13,78.57,78.53,77.3,79.29
82,77.87,79.09,78.52,76.92,79.32
83,78.47,79.42,78.48,77.22,78.53
84,79.0,78.59,78.46,76.85,78.46
85,78.76,79.22,78.44,77.64,78.98
86,78.14,78.44,78.44,77.23,79.09
87,77.81,77.98,78.42,78.0,77.83
88,77.54,78.4,78.43,77.57,78.48
89,77.28,78.54,78.42,78.32,79.07
90,77.05,78.23,78.41,77.88,78.82
91,76.84,77.89,78.4,78.59,78.78
92,76.66,77.57,78.4,78.13,78.4
93,76.5,77.29,78.4,78.89,77.96
94,76.37,77.03,78.4,78.42,77.55
95,76.3,76.82,78.39,79.14,77.22
96,76.21,76.63,78.35,78.65,76.95
97,76.14,76.46,77.86,78.84,76.73
98,76.07,76.29,77.25,78.4,76.54
99,76.03,76.17,76.64,78.52,76.4
100,76.0,76.06,76.85,77.97,76.28
101,75.96,75.98,76.63,78.57,76.18
102,75.93,75.96,76.91,77.94,76.1
103,75.9,75.93,77.03,78.53,76.03
104,75.89,75.91,76.44,77.92,75.98
105,75.87,75.9,76.01,78.52,75.93
106,75.84,75.87,76.39,77.96,75.89
107,75.84,75.85,76.68,78.63,75.86
108,75.81,75.83,76.38,78.1,75.84
109,75.79,75.82,76.49,78.78,75.81
110,75.79,75.82,76.78,78.3,75.78
111,75.78,75.82,76.94,79.03,75.76
112,75.78,75.79,76.31,78.55,75.76
113,75.75,75.79,75.8,78.95,75.75
114,75.74,75.76,76.39,78.37,75.73
115,75.74,75.75,76.65,78.94,75.72
116,75.73,75.74,76.33,78.32,75.71
