Epoch,TemPo,MFU,RoundRobin,Alternation,Greedy
0,35.8389,35.8389,36.6396,26.769199999999998,35.7896
1,93.8763,93.87282,94.19929,57.1739,93.96486
2,93.96965,93.66079,66.4822,27.134900000000002,86.48119
3,94.06963,94.98807,67.3361,27.3185,67.8211
4,85.5398,93.71483,93.08726,27.694999999999993,67.1383
5,94.14939,93.89894,68.7979,27.888499999999993,81.0119
6,94.36071,95.260028,68.401,28.644199999999998,71.7614
7,80.5541,94.66607,68.8596,28.250100000000003,71.95009999999999
8,85.9356,95.094705,93.08614,29.316199999999995,85.4293
9,81.7353,95.818526,69.2282,27.630799999999994,80.36
10,85.0555,91.51989,93.91792,29.1327,76.6288
11,81.0015,73.8123,95.561755,27.718599999999995,80.9823
12,73.0046,64.8394,95.169184,29.363100000000003,84.2124
13,66.6964,63.6029,59.2218,28.577399999999997,86.33656
14,68.6699,63.5126,59.2313,29.965900000000005,82.0624
15,74.4033,67.0501,59.278,28.711699999999993,73.7477
16,79.9645,76.8523,58.9315,28.688000000000002,70.7273
17,80.3183,89.38922,69.1431,27.914699999999996,70.6954
18,72.0721,95.189674,96,28.823400000000007,76.6752
19,59.5846,85.664,90.04253,28.471400000000003,81.7835
20,64.8344,74.5955,96,29.526399999999995,82.33500000000001
21,76.9104,65.0857,74.4548,28.840599999999995,74.1169
22,80.9687,59.5584,65.52199999999999,30.422600000000003,76.88929999999999
23,79.5683,60.9847,63.0385,28.898700000000005,71.7479
24,72.7041,68.0376,62.7061,29.060199999999995,70.3557
25,67.2787,74.9858,72.6,28.605800000000002,77.4032
26,76.5727,82.4338,82.3465,29.436499999999995,74.2814
27,63.8462,90.46902,81.7607,28.513900000000007,77.0161
28,60.4614,92.77072,81.0473,29.267799999999994,74.8608
29,81.142,86.17232,67.3533,28.836,70.1935
30,85.5781,66.32509999999999,67.2086,29.6575,76.6803
31,81.5334,63.8285,64.6317,29.209900000000005,74.3801
32,64.5693,58.3875,63.7839,29.264499999999998,70.896
33,50.6269,61.4698,70.8615,28.9807,70.2441
34,58.396,71.3629,81.5951,30.925399999999996,70.9977
35,76.1898,82.1323,90.52049,28.556200000000004,57.8725
36,89.46785,89.96705,85.6304,24.2924,63.5909
37,95.375746,93.37342,74.004,29.163700000000006,69.6778
38,74.3441,77.9675,62.1708,24.336699999999993,75.5524
39,46.7768,68.5287,60.0133,29.399100000000004,82.7982
40,51.3034,62.7595,62.7755,29.8039,83.8205
41,68.9389,58.8298,67.7728,28.391599999999997,74.2069
42,83.5006,64.5239,73.2293,30.2646,68.7123
43,83.1209,62.8402,78.338,28.740799999999993,60.9955
44,84.015,68.63929999999999,86.68903,29.210099999999997,63.9416
45,73.5966,76.9285,93.5994,57.9896,68.5149
46,59.9789,84.2068,83.6228,28.7218,69.0051
47,61.9412,83.1856,63.2894,28.779700000000005,69.195
48,75.4861,73.99170000000001,59.4854,29.013499999999993,68.5177
49,65.8137,68.3964,55.7282,29.218400000000003,69.1133
50,57.6762,60.5687,58.3775,30.423699999999997,68.4209
51,57.1181,64.0852,67.9363,28.247,68.3335
52,69.8416,61.6079,85.4135,29.907799999999995,76.6564
53,83.2619,64.0825,93.90296000000001,28.951899999999995,75.0737
54,82.58109999999999,60.7164,92.92278,30.296300000000002,68.8117
55,83.8955,63.0617,74.1363,29.170199999999994,61.165
56,64.5912,69.7278,60.7456,29.312600000000003,62.6267
57,57.8004,75.8771,56.0992,29.061999999999998,69.5588
58,57.2847,82.36449999999999,55.4468,29.687799999999996,76.2782
59,70.3878,84.66159999999999,60.4816,29.080399999999997,82.22749999999999
60,75.0044,82.47,74.2148,24.562200000000004,75.0633
61,73.8428,73.59479999999999,84.8878,29.2192,68.1293
62,71.463,63.6293,92.79828,24.534499999999994,69.2645
63,61.8501,57.1531,74.69290000000001,28.553799999999995,69.52
64,63.6285,58.6113,67.40350000000001,23.7474,61.4977
65,69.0048,57.2103,61.9868,28.231700000000004,57.5599
66,76.2867,57.3445,59.2922,29.644000000000005,58.3559
67,73.8322,26.636899999999997,68.49549999999999,29.003600000000006,63.4075
68,66.60300000000001,38.5837,70.2347,29.1404,68.9555
69,77.0769,46.1418,73.96209999999999,28.7324,64.3095
70,73.6111,47.5207,64.076,30.159400000000005,69.0437
71,67.9933,55.6184,58.3498,44.545,59.6475
72,54.8474,58.5564,65.7968,29.551199999999994,58.7813
73,37.5662,75.5891,65.4068,54.4678,45.8093
74,43.6545,68.0052,64.943,28.571700000000007,49.3195
75,45.6252,56.1296,64.9378,38.9073,49.0177
76,48.5779,50.2256,64.7727,28.679199999999994,49.8131
77,49.5261,45.158,66.22749999999999,28.7633,54.7777
78,50.4247,46.1767,65.4496,29.557599999999994,49.9347
79,40.3595,50.5364,65.01599999999999,28.131299999999996,57.9728
80,47.5282,58.3317,65.3646,80.4006,69.6317
81,44.018,63.6615,66.0382,27.832400000000007,61.4166
82,60.7066,63.6648,65.9538,30.0261,51.4894
83,62.1438,61.5892,65.056,39.6149,49.9097
