                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
  Instructions                       |  100101414 |  100101414 |  100101414 |  100101414 |  100101414 |  100101414 |  100101414 |  100101414 |  100101394 |  100101394 |  100101394 |  100101394 |  100101394 |  100101394 |  100101394 |  100101394 |  100101413 |  100101413 |  100101413 |  100101413 |  100101413 |  100101413 |  100101413 |  100101413 |  100001362 |  100001362 |  100001362 |  100001362 |  100001362 |  100001362 |  100001362 |  100001362
  Cycles                             |  260793720 |  260793720 |  260793720 |  260793720 |  260793720 |  260793720 |  260793720 |  260793720 |  260793720 |  260793720 |  260793720 |  260793720 |  260793720 |  260793720 |  260793720 |  260793720 |  260793720 |  260793720 |  260793720 |  260793720 |  260793720 |  260793720 |  260793720 |  260793720 |  260793720 |  260793720 |  260793720 |  260793720 |  260793720 |  260793720 |  260793720 |  260793720
  IPC                                |       0.38 |       0.38 |       0.38 |       0.38 |       0.38 |       0.38 |       0.38 |       0.38 |       0.38 |       0.38 |       0.38 |       0.38 |       0.38 |       0.38 |       0.38 |       0.38 |       0.38 |       0.38 |       0.38 |       0.38 |       0.38 |       0.38 |       0.38 |       0.38 |       0.38 |       0.38 |       0.38 |       0.38 |       0.38 |       0.38 |       0.38 |       0.38
  Time (ns)                          |   72442700 |   72442700 |   72442700 |   72442700 |   72442700 |   72442700 |   72442700 |   72442700 |   72442700 |   72442700 |   72442700 |   72442700 |   72442700 |   72442700 |   72442700 |   72442700 |   72442700 |   72442700 |   72442700 |   72442700 |   72442700 |   72442700 |   72442700 |   72442700 |   72442700 |   72442700 |   72442700 |   72442700 |   72442700 |   72442700 |   72442700 |   72442700
  Idle time (ns)                     |    1200034 |    1198969 |       7989 |      77438 |     134307 |     189881 |    1176160 |    1177112 |   36930693 |   36931371 |   36936892 |   36936951 |   36930786 |   36929883 |   36928918 |   36927771 |   21312090 |   21321785 |   21323079 |   21321775 |   26312429 |   26319703 |   26319504 |   26319423 |   56258882 |   56258299 |   56253222 |   56254691 |   56258387 |   56258054 |   56258715 |   56258505
  Idle time (%)                      |       1.7% |       1.7% |       0.0% |       0.1% |       0.2% |       0.3% |       1.6% |       1.6% |      51.0% |      51.0% |      51.0% |      51.0% |      51.0% |      51.0% |      51.0% |      51.0% |      29.4% |      29.4% |      29.4% |      29.4% |      36.3% |      36.3% |      36.3% |      36.3% |      77.7% |      77.7% |      77.7% |      77.7% |      77.7% |      77.7% |      77.7% |      77.7%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1172002 |    1172002 |    1172002 |    1172002 |    1172002 |    1172002 |    1172002 |    1172002 |   13106934 |   13106934 |   13106934 |   13106934 |   13106934 |   13106934 |   13106934 |   13106934 |    8893391 |    8893391 |    8893391 |    8893391 |    8893391 |    8893391 |    8893391 |    8893391 |    3537118 |    3537118 |    3537118 |    3537118 |    3537118 |    3537118 |    3537118 |    3537118
  num incorrect                      |     110475 |     110475 |     110475 |     110475 |     110475 |     110475 |     110475 |     110475 |      15770 |      15770 |      15770 |      15770 |      15770 |      15770 |      15770 |      15770 |     686974 |     686974 |     686974 |     686974 |     686974 |     686974 |     686974 |     686974 |      78469 |      78469 |      78469 |      78469 |      78469 |      78469 |      78469 |      78469
  misprediction rate                 |      8.61% |      8.61% |      8.61% |      8.61% |      8.61% |      8.61% |      8.61% |      8.61% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      7.17% |      7.17% |      7.17% |      7.17% |      7.17% |      7.17% |      7.17% |      7.17% |      2.17% |      2.17% |      2.17% |      2.17% |      2.17% |      2.17% |      2.17% |      2.17%
