0	326.13
1	326.46
2	326.70
3	326.82
4	326.82
5	326.70
6	326.47
7	326.13

8	326.39
9	326.82
10	327.11
11	327.25
12	327.25
13	327.11
14	326.82
15	326.39

16	326.70
17	327.25
18	327.59
19	327.76
20	327.76
21	327.59
22	327.25
23	326.70

24	327.15
25	327.82
26	328.22
27	328.41
28	328.41
29	328.22
30	327.83
31	327.16

32	328.09
33	328.88
34	329.32
35	329.52
36	329.52
37	329.33
38	328.89
39	328.10

40	328.40
41	329.25
42	329.71
43	329.91
44	329.91
45	329.71
46	329.26
47	328.41

48	328.36
49	329.21
50	329.66
51	329.85
52	329.84
53	329.66
54	329.23
55	328.38

56	328.23
57	329.00
58	329.39
59	329.56
60	329.56
61	329.40
62	329.01
63	328.25

