Epoch,MFU,Greedy,TemPo,RoundRobin,Alternation
0,25.9685,25.9685,25.9685,27.3474,26.769199999999998
1,63.432706,26.7117,63.279988,26.712699999999998,53.8239
2,63.9687041,26.0655,62.71578,27.473100000000002,54.76951
3,62.21495,25.9441,62.17303,26.2866,26.469
4,63.756856,25.8684,62.1311,27.157600000000002,27.184800000000003
5,36.200500000000005,25.823,63.038887,26.065600000000003,27.094700000000003
6,63.988194,25.783499999999997,29.896,26.9461,28.0863
7,63.9905409,25.726399999999998,63.29113,25.9281,26.786499999999997
8,63.214903,25.6625,33.5787,26.7723,28.3619
9,62.50899,25.601100000000002,56.37791,25.8166,26.8819
10,63.107899,25.5409,40.269800000000004,27.307699999999997,28.0875
11,63.9211668,25.4786,63.471108,25.874699999999997,27.5499
12,63.214438,25.432699999999997,29.965200000000003,26.625100000000003,27.618899999999996
13,63.716046,25.3962,34.697,25.781799999999997,27.027
14,63.23005,25.3737,26.615000000000002,26.521700000000003,28.240000000000002
15,62.07332,25.3502,63.561694,25.665,27.1783
16,61.72206,25.3294,63.579127,26.409599999999998,27.7847
17,61.69912,25.277,33.3339,25.5942,27.173299999999998
18,63.363647,25.2675,42.2819,26.3146,27.822699999999998
19,62.51881,25.2423,26.619100000000003,25.5051,27.25
20,37.4951,25.2239,62.13121,26.229300000000002,28.418
21,63.546489,25.208199999999998,62.57233,25.442,27.7519
22,63.777409,25.163200000000003,29.9897,26.165599999999998,27.9503
23,62.83753,25.1695,62.77802,25.388199999999998,27.405500000000004
24,63.323801,25.1453,62.6509,26.109900000000003,54.82594
25,62.9226,25.098300000000002,33.712199999999996,25.3681,27.0437
26,63.701166,25.0882,41.0952,26.0402,38.4253
27,63.9645054,25.2091,26.6049,25.137099999999997,27.060299999999998
28,38.409,29.253100000000003,63.174194,26.5387,28.4063
29,62.98117,35.4184,61.81877,25.5811,27.1485
30,62.52679,35.944199999999995,26.346200000000003,26.3012,54.70702
31,31.1475,41.782399999999996,27.9895,25.5205,26.947200000000002
32,62.14385,42.856899999999996,26.622,26.228499999999997,27.702800000000003
33,62.26169,42.71,63.174119,25.4358,27.209400000000002
34,30.8061,42.9125,61.95947,26.143099999999997,28.2382
35,61.83286,42.753,26.2669,25.405099999999997,38.3816
36,62.24597,42.664699999999996,62.76223,26.0908,27.708
37,61.86857,43.3588,37.0423,25.367199999999997,42.623599999999996
38,27.386699999999998,43.0099,40.8964,26.0576,43.5269
39,62.97648,42.979,26.485,25.348399999999998,27.534599999999998
40,62.20424,43.2748,63.535453,26.0038,28.0026
41,27.297400000000003,43.3675,62.50575,25.3125,41.787800000000004
42,62.35411,43.010999999999996,62.06995,25.9473,27.939999999999998
43,62.35568,43.765,29.8271,25.261400000000002,27.641800000000003
44,27.162399999999998,53.714600000000004,63.293461,25.9516,28.6218
45,63.65645,53.7492,61.94484,25.2622,27.8574
46,62.03228,63.801019,30.032600000000002,25.9107,28.2628
47,63.9079828,63.490051,34.6463,25.2412,27.7153
48,37.8309,59.09393,26.6717,25.8833,27.8932
49,63.415849,59.15853,63.034324,25.2014,52.7694
50,62.13798,58.696,61.86389,25.912799999999997,27.7425
51,62.1456,63.613984,50.6166,25.176900000000003,27.147399999999998
52,41.1189,60.6045,63.01824,25.874299999999998,27.7543
53,62.74414,57.54137,48.0925,25.0484,27.529000000000003
54,62.5559,63.103828,61.78552,25.8632,28.356299999999997
55,41.298100000000005,58.9457,58.1625,24.9872,27.697400000000002
56,63.348602,61.20435,61.71939,25.8208,28.1331
57,62.36138,63.733911,62.00791,24.978299999999997,27.339199999999998
58,47.619,60.05259,59.66542,25.8356,28.368699999999997
59,63.9631704,61.70673,63.254701,24.970999999999997,27.954500000000003
60,63.180476,55.86395,62.94715,25.798099999999998,28.732300000000002
61,51.6511,62.6962,62.81125,24.963700000000003,27.375700000000002
62,63.392094,59.08091,59.45172,25.7997,28.4606
63,63.086864,62.40245,59.98411,24.958399999999997,53.8768
64,63.584706,62.40149,54.98704,25.783900000000003,27.787300000000002
65,63.757456,59.64486,54.50438,24.9536,27.652299999999997
66,63.327297,54.12985,57.85865,25.774900000000002,27.9431
67,63.148099,55.43997,59.49235,24.9495,37.808800000000005
68,59.62478,57.18367,54.54529,25.795499999999997,54.68736
69,52.1458,63.616521,55.02467,24.9459,27.0146
70,43.2822,63.582263,46.5838,25.7675,27.959400000000002
71,43.2046,61.5593,55.72757,24.942999999999998,27.420900000000003
72,34.727900000000005,57.03715,55.30431,25.7579,28.683799999999998
73,46.1194,52.2579,61.31273,24.9405,27.8416
74,32.208200000000005,54.280770000000004,61.401740000000004,25.7577,27.946800000000003
75,45.5974,54.20539,59.88314,24.938899999999997,28.3754
76,45.637699999999995,57.01864,54.22389,25.779000000000003,28.6286
77,45.564800000000005,63.239846,61.68021,24.936300000000003,28.497500000000002
78,45.6772,63.249758,57.23575,25.752899999999997,28.0039
79,45.5488,61.42617,59.857730000000004,24.9347,27.5569
80,45.6336,57.67241,54.28409,25.764899999999997,28.068600000000004
81,45.6061,51.7036,53.388,24.933300000000003,27.9032
82,45.5352,50.7269,39.519400000000005,25.7806,28.651899999999998
83,36.1988,54.02372,30.752499999999998,24.9321,28.3288
