                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
    num accesses                     |   44771696 |   44645636 |   44502137 |   44500745 |   44405144 |   44408765 |   44440985 |   44441562 |   44530306 |   44531848 |   44449034 |   44463902 |   44480828 |   44475782 |   44014286 |   44008161 |   43854896 |   43852210 |   44480828 |   44482742 |   44454776 |   44448981 |   44424932 |   44425688 |   44490920 |   44488484 |   44434988 |   44432246 |   44369469 |   44365655 |   44322200 |   44689959
    num misses                       |      96992 |      96780 |      96526 |      96524 |      96343 |      96352 |      96411 |      96411 |      96577 |      96582 |      96428 |      96454 |      96489 |      96481 |      95597 |      95585 |      95299 |      95296 |      96489 |      96494 |      96438 |      96428 |      96383 |      96383 |      96506 |      96501 |      96399 |      96394 |      96276 |      96269 |      96188 |      96857
    miss rate                        |      0.22% |      0.22% |      0.22% |      0.22% |      0.22% |      0.22% |      0.22% |      0.22% |      0.22% |      0.22% |      0.22% |      0.22% |      0.22% |      0.22% |      0.22% |      0.22% |      0.22% |      0.22% |      0.22% |      0.22% |      0.22% |      0.22% |      0.22% |      0.22% |      0.22% |      0.22% |      0.22% |      0.22% |      0.22% |      0.22% |      0.22% |      0.22%
    mpki                             |       0.97 |       0.97 |       0.97 |       0.97 |       0.97 |       0.97 |       0.97 |       0.97 |       0.97 |       0.97 |       0.97 |       0.97 |       0.97 |       0.97 |       0.97 |       0.97 |       0.97 |       0.97 |       0.97 |       0.97 |       0.97 |       0.97 |       0.97 |       0.97 |       0.97 |       0.97 |       0.97 |       0.97 |       0.97 |       0.97 |       0.97 |       0.97
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      96994 |      96782 |      96528 |      96526 |      96345 |      96354 |      96413 |      96413 |      96579 |      96584 |      96430 |      96456 |      96491 |      96483 |      95599 |      95587 |      95301 |      95298 |      96491 |      96496 |      96440 |      96430 |      96385 |      96385 |      96508 |      96503 |      96401 |      96396 |      96278 |      96271 |      96190 |      96859
    num misses                       |      52653 |      52537 |      52400 |      52399 |      52300 |      52305 |      52337 |      52337 |      52427 |      52429 |      52347 |      52361 |      52379 |      52375 |      51896 |      51889 |      51733 |      51732 |      52379 |      52381 |      52352 |      52347 |      52321 |      52321 |      52389 |      52385 |      52331 |      52328 |      52264 |      52260 |      52217 |      52579
    miss rate                        |     54.28% |     54.28% |     54.28% |     54.28% |     54.28% |     54.28% |     54.28% |     54.28% |     54.28% |     54.28% |     54.28% |     54.28% |     54.28% |     54.28% |     54.29% |     54.28% |     54.28% |     54.28% |     54.28% |     54.28% |     54.28% |     54.28% |     54.28% |     54.28% |     54.28% |     54.28% |     54.28% |     54.28% |     54.28% |     54.28% |     54.29% |     54.28%
    mpki                             |       0.53 |       0.53 |       0.53 |       0.53 |       0.53 |       0.53 |       0.53 |       0.53 |       0.53 |       0.53 |       0.53 |       0.53 |       0.53 |       0.53 |       0.53 |       0.53 |       0.53 |       0.53 |       0.53 |       0.53 |       0.53 |       0.53 |       0.53 |       0.53 |       0.53 |       0.53 |       0.53 |       0.53 |       0.53 |       0.53 |       0.53 |       0.53
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    8582814 |    8558195 |    8530283 |    8530011 |    8511497 |    8512187 |    8518431 |    8518543 |    8535756 |    8536044 |    8519973 |    8522875 |    8526137 |    8525151 |    8435834 |    8434657 |    8404937 |    8404411 |    8526137 |    8526511 |    8521095 |    8519963 |    8515315 |    8515463 |    8528109 |    8527633 |    8517277 |    8516744 |    8504585 |    8503841 |    8495411 |    8566848
    num cache misses                 |      43527 |      43666 |      43170 |      43184 |      43035 |      43046 |      43047 |      42996 |      43217 |      43209 |      43064 |      43056 |      43161 |      43110 |      42914 |      43056 |      42609 |      42541 |      43175 |      43158 |      43107 |      43088 |      43024 |      42995 |      43149 |      43108 |      43058 |      43075 |      42955 |      42962 |      43533 |      43534
    miss rate                        |      0.51% |      0.51% |      0.51% |      0.51% |      0.51% |      0.51% |      0.51% |      0.50% |      0.51% |      0.51% |      0.51% |      0.51% |      0.51% |      0.51% |      0.51% |      0.51% |      0.51% |      0.51% |      0.51% |      0.51% |      0.51% |      0.51% |      0.51% |      0.50% |      0.51% |      0.51% |      0.51% |      0.51% |      0.51% |      0.51% |      0.51% |      0.51%
    mpki                             |       0.43 |       0.44 |       0.43 |       0.43 |       0.43 |       0.43 |       0.43 |       0.43 |       0.43 |       0.43 |       0.43 |       0.43 |       0.43 |       0.43 |       0.44 |       0.44 |       0.43 |       0.43 |       0.43 |       0.43 |       0.43 |       0.43 |       0.43 |       0.43 |       0.43 |       0.43 |       0.43 |       0.43 |       0.43 |       0.43 |       0.44 |       0.44
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   44771696 |   44645636 |   44502137 |   44500745 |   44405144 |   44408765 |   44440985 |   44441562 |   44530306 |   44531848 |   44449034 |   44463902 |   44480828 |   44475782 |   44014286 |   44008161 |   43854896 |   43852210 |   44480828 |   44482742 |   44454776 |   44448981 |   44424932 |   44425688 |   44490920 |   44488484 |   44434988 |   44432246 |   44369469 |   44365655 |   44322200 |   44689959
    num cache misses                 |    5566221 |    5554206 |    5539443 |    5539315 |    5528897 |    5529369 |    5532840 |    5532881 |    5542383 |    5542608 |    5533857 |    5535276 |    5537273 |    5536803 |    5486181 |    5485496 |    5469046 |    5468767 |    5537283 |    5537452 |    5534395 |    5533864 |    5531155 |    5531208 |    5538236 |    5538006 |    5532127 |    5531862 |    5525041 |    5524659 |    5520190 |    5558435
    miss rate                        |     12.43% |     12.44% |     12.45% |     12.45% |     12.45% |     12.45% |     12.45% |     12.45% |     12.45% |     12.45% |     12.45% |     12.45% |     12.45% |     12.45% |     12.46% |     12.46% |     12.47% |     12.47% |     12.45% |     12.45% |     12.45% |     12.45% |     12.45% |     12.45% |     12.45% |     12.45% |     12.45% |     12.45% |     12.45% |     12.45% |     12.45% |     12.44%
    mpki                             |      55.61 |      55.65 |      55.69 |      55.69 |      55.71 |      55.71 |      55.70 |      55.70 |      55.68 |      55.68 |      55.70 |      55.69 |      55.69 |      55.69 |      55.78 |      55.78 |      55.81 |      55.81 |      55.69 |      55.69 |      55.70 |      55.70 |      55.70 |      55.70 |      55.69 |      55.69 |      55.70 |      55.70 |      55.71 |      55.71 |      55.72 |      55.63
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    5612097 |    5600221 |    5584983 |    5584783 |    5574273 |    5574884 |    5578286 |    5578158 |    5587924 |    5588161 |    5579246 |    5580696 |    5582730 |    5582469 |    5531494 |    5530817 |    5513953 |    5513755 |    5582764 |    5583080 |    5579984 |    5579387 |    5576571 |    5576586 |    5583751 |    5583438 |    5577565 |    5577398 |    5570430 |    5569898 |    5566018 |    5604256
    num cache misses                 |    4426292 |    4414549 |    4395020 |    4394144 |    4390269 |    4390596 |    4394105 |    4391775 |    4397756 |    4396806 |    4392668 |    4393575 |    4398299 |    4398908 |    4359051 |    4354180 |    4341646 |    4342588 |    4392981 |    4394585 |    4395368 |    4394595 |    4391365 |    4392476 |    4392931 |    4394090 |    4392172 |    4391932 |    4387803 |    4385943 |    4386166 |    4417223
    miss rate                        |     78.87% |     78.83% |     78.69% |     78.68% |     78.76% |     78.76% |     78.77% |     78.73% |     78.70% |     78.68% |     78.73% |     78.73% |     78.78% |     78.80% |     78.80% |     78.73% |     78.74% |     78.76% |     78.69% |     78.71% |     78.77% |     78.76% |     78.75% |     78.77% |     78.67% |     78.70% |     78.75% |     78.75% |     78.77% |     78.74% |     78.80% |     78.82%
    mpki                             |      44.22 |      44.23 |      44.18 |      44.17 |      44.23 |      44.23 |      44.24 |      44.21 |      44.18 |      44.17 |      44.21 |      44.21 |      44.24 |      44.25 |      44.32 |      44.27 |      44.31 |      44.32 |      44.18 |      44.20 |      44.23 |      44.23 |      44.22 |      44.23 |      44.17 |      44.19 |      44.22 |      44.22 |      44.24 |      44.23 |      44.28 |      44.21
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    4428641 |    4416898 |    4397390 |    4396428 |    4392610 |    4393066 |    4396504 |    4394056 |    4400081 |    4399150 |    4394993 |    4395939 |    4400595 |    4401465 |    4361450 |    4356445 |    4343944 |    4345035 |    4395287 |    4397055 |    4397850 |    4397030 |    4393757 |    4394859 |    4395297 |    4396414 |    4394552 |    4394393 |    4390237 |    4388220 |    4388461 |    4419511
    num cache misses                 |    4410848 |    4402099 |    4378984 |    4378055 |    4376749 |    4375527 |    4380172 |    4378615 |    4381620 |    4380400 |    4378378 |    4379454 |    4385708 |    4383401 |    4337343 |    4339981 |    4328153 |    4326581 |    4377672 |    4379081 |    4379311 |    4381579 |    4378353 |    4379682 |    4376923 |    4379058 |    4378288 |    4377392 |    4375254 |    4373184 |    4372746 |    4399978
    miss rate                        |     99.60% |     99.66% |     99.58% |     99.58% |     99.64% |     99.60% |     99.63% |     99.65% |     99.58% |     99.57% |     99.62% |     99.62% |     99.66% |     99.59% |     99.45% |     99.62% |     99.64% |     99.58% |     99.60% |     99.59% |     99.58% |     99.65% |     99.65% |     99.65% |     99.58% |     99.61% |     99.63% |     99.61% |     99.66% |     99.66% |     99.64% |     99.56%
    mpki                             |      44.06 |      44.11 |      44.02 |      44.01 |      44.10 |      44.08 |      44.10 |      44.08 |      44.02 |      44.01 |      44.07 |      44.06 |      44.11 |      44.09 |      44.10 |      44.13 |      44.17 |      44.16 |      44.03 |      44.04 |      44.07 |      44.10 |      44.09 |      44.11 |      44.01 |      44.04 |      44.08 |      44.08 |      44.12 |      44.10 |      44.14 |      44.04
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |   15724526 |          0 |   15705879 |          0 |   15752163 |          0 |   15753135 |          0 |   15753005 |          0 |   15754878 |          0 |   15757437 |          0 |   15756647 |          0 |   15755694 |          0 |   15757438 |          0 |   15753526 |          0 |   15753909 |          0 |   15761899 |          0 |   15754385 |          0 |   15672763 |          0 |   15726871 |          0
  average dram access latency (ns)   |     296.77 |        inf |     295.32 |        inf |     291.25 |        inf |     291.39 |        inf |     291.84 |        inf |     292.31 |        inf |     290.49 |        inf |     291.09 |        inf |     291.69 |        inf |     291.06 |        inf |     291.37 |        inf |     292.06 |        inf |     291.16 |        inf |     291.15 |        inf |     297.22 |        inf |     298.79 |        inf
  average dram queueing delay        |     259.34 |       0.00 |     257.89 |       0.00 |     253.82 |       0.00 |     253.96 |       0.00 |     254.41 |       0.00 |     254.88 |       0.00 |     253.06 |       0.00 |     253.66 |       0.00 |     254.26 |       0.00 |     253.63 |       0.00 |     253.94 |       0.00 |     254.63 |       0.00 |     253.73 |       0.00 |     253.72 |       0.00 |     259.79 |       0.00 |     261.36 |       0.00
  average dram bandwidth utilization |     89.00% |      0.00% |     89.00% |      0.00% |     89.00% |      0.00% |     89.00% |      0.00% |     89.00% |      0.00% |     89.00% |      0.00% |     89.00% |      0.00% |     89.00% |      0.00% |     89.00% |      0.00% |     89.00% |      0.00% |     89.00% |      0.00% |     89.00% |      0.00% |     89.00% |      0.00% |     89.00% |      0.00% |     89.00% |      0.00% |     89.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |     848083 |     846303 |     844121 |     843987 |     842460 |     842688 |     843152 |     842991 |     844506 |     844592 |     843256 |     843482 |     843676 |     843904 |     836017 |     835784 |     833391 |     833458 |     843734 |     843918 |     843442 |     843334 |     842875 |     842908 |     843980 |     843894 |     843020 |     843089 |     842023 |     841742 |     841125 |     846909
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
