                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
  Instructions                       |   97508462 |   95463569 |   96281922 |   99984246 |   95523490 |   99561732 |   99469990 |   95840512 |   99642085 |   95367263 |   95747254 |   95604960 |   99721029 |   96026136 |   96720218 |   93545334 |   94193553 |   96181180 |   95435527 |  100101358 |   93760293 |   99675461 |   99369753 |   96318779 |   99515847 |   95688197 |   95860111 |   96348847 |   99810802 |   96547989 |   95624312 |   98351859
  Cycles                             |  130046400 |  130046400 |  130046400 |  130046400 |  130046400 |  130046400 |  130046400 |  130046400 |  130046400 |  130046400 |  130046400 |  130046400 |  130046400 |  130046400 |  130046400 |  130046400 |  130046400 |  130046400 |  130046400 |  130046400 |  130046400 |  130046400 |  130046400 |  130046400 |  130046400 |  130046400 |  130046400 |  130046400 |  130046400 |  130046400 |  130046400 |  130046400
  IPC                                |       0.75 |       0.73 |       0.74 |       0.77 |       0.73 |       0.77 |       0.76 |       0.74 |       0.77 |       0.73 |       0.74 |       0.74 |       0.77 |       0.74 |       0.74 |       0.72 |       0.72 |       0.74 |       0.73 |       0.77 |       0.72 |       0.77 |       0.76 |       0.74 |       0.77 |       0.74 |       0.74 |       0.74 |       0.77 |       0.74 |       0.74 |       0.76
  Time (ns)                          |   36124000 |   36124000 |   36124000 |   36124000 |   36124000 |   36124000 |   36124000 |   36124000 |   36124000 |   36124000 |   36124000 |   36124000 |   36124000 |   36124000 |   36124000 |   36124000 |   36124000 |   36124000 |   36124000 |   36124000 |   36124000 |   36124000 |   36124000 |   36124000 |   36124000 |   36124000 |   36124000 |   36124000 |   36124000 |   36124000 |   36124000 |   36124000
  Idle time (ns)                     |        178 |        199 |        172 |        200 |        195 |        177 |        200 |        165 |        180 |        160 |        152 |        200 |        176 |        177 |        198 |        157 |        199 |        151 |        171 |        200 |        155 |        171 |        142 |        195 |        189 |        118 |         61 |        163 |        181 |        199 |        -59 |        167
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    8149395 |    8002538 |    8061332 |    8327452 |    8006850 |    8297017 |    8290423 |    8029676 |    8302801 |    7995609 |    8022953 |    8012711 |    8308474 |    8043003 |    8092822 |    7864636 |    7911253 |    8054133 |    8000519 |    8335857 |    7880082 |    8305208 |    8283194 |    8063984 |    8293719 |    8018703 |    8031091 |    8066129 |    8314937 |    8080475 |    8014102 |    8209985
  num incorrect                      |      94687 |      90833 |      92347 |      99124 |      90935 |      98403 |      98230 |      91481 |      98541 |      90645 |      91331 |      91081 |      98691 |      91821 |      93146 |      87285 |      88470 |      92118 |      90784 |      99363 |      87682 |      98598 |      98058 |      92416 |      98310 |      91226 |      91512 |      92470 |      98842 |      92802 |      91115 |      96237
  misprediction rate                 |      1.15% |      1.12% |      1.13% |      1.18% |      1.12% |      1.17% |      1.17% |      1.13% |      1.17% |      1.12% |      1.13% |      1.12% |      1.17% |      1.13% |      1.14% |      1.10% |      1.11% |      1.13% |      1.12% |      1.18% |      1.10% |      1.17% |      1.17% |      1.13% |      1.17% |      1.12% |      1.13% |      1.13% |      1.17% |      1.14% |      1.12% |      1.16%
  mpki                               |       0.97 |       0.95 |       0.96 |       0.99 |       0.95 |       0.99 |       0.99 |       0.95 |       0.99 |       0.95 |       0.95 |       0.95 |       0.99 |       0.96 |       0.96 |       0.93 |       0.94 |       0.96 |       0.95 |       0.99 |       0.94 |       0.99 |       0.99 |       0.96 |       0.99 |       0.95 |       0.95 |       0.96 |       0.99 |       0.96 |       0.95 |       0.98
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   10490695 |   10221838 |   10329516 |   10816727 |   10229727 |   10761035 |   10748963 |   10271463 |   10771630 |   10209170 |   10259168 |   10240411 |   10782024 |   10295919 |   10387155 |    9969514 |   10054800 |   10316313 |   10218152 |   10832108 |    9997785 |   10776031 |   10735746 |   10334363 |   10755005 |   10251383 |   10274049 |   10338310 |   10793889 |   10364538 |   10242969 |   10601727
    num misses                       |         23 |         23 |         23 |         23 |         23 |         23 |         23 |         23 |         23 |         23 |         23 |         23 |         23 |         23 |         23 |         22 |         23 |         23 |         23 |         23 |         22 |         23 |         23 |         23 |         23 |         23 |         23 |         23 |         23 |         23 |         23 |         23
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   35328514 |   34619340 |   34903272 |   36186394 |   34640153 |   36039831 |   36008025 |   34750237 |   36067714 |   34585991 |   34717847 |   34668476 |   36094999 |   34814474 |   35055314 |   33953904 |   34178925 |   34868320 |   34609634 |   36227054 |   34028482 |   36079279 |   35973207 |   34916038 |   36023932 |   34697310 |   34757026 |   34926330 |   36126122 |   34995495 |   34675202 |   35620576
    num misses                       |      25923 |      25813 |      25856 |      26987 |      25815 |      26971 |      26794 |      25832 |      26974 |      25809 |      25829 |      25819 |      26977 |      25842 |      25879 |      25449 |      25748 |      25853 |      25812 |      26997 |      25457 |      26975 |      26402 |      25858 |      26796 |      25826 |      25833 |      25860 |      26981 |      25872 |      25820 |      25965
    miss rate                        |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.08% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07%
    mpki                             |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.26
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      25946 |      25836 |      25879 |      27010 |      25838 |      26994 |      26817 |      25855 |      26997 |      25832 |      25852 |      25842 |      27000 |      25865 |      25902 |      25471 |      25771 |      25876 |      25835 |      27020 |      25479 |      26998 |      26425 |      25881 |      26819 |      25849 |      25856 |      25883 |      27004 |      25895 |      25843 |      25988
