                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
  Instructions                       |  100101413 |  100101413 |  100101413 |  100101413 |  100101413 |  100101413 |  100101413 |  100101413 |  100101413 |  100101413 |  100101413 |  100101413 |  100101413 |  100101413 |  100101413 |  100101413 |  100001362 |  100001362 |  100001362 |  100001362 |  100001362 |  100001362 |  100001362 |  100001362 |  100001362 |  100001362 |  100001362 |  100001362 |  100001362 |  100001362 |  100001362 |  100001362
  Cycles                             |  166104000 |  166104000 |  166104000 |  166104000 |  166104000 |  166104000 |  166104000 |  166104000 |  166104000 |  166104000 |  166104000 |  166104000 |  166104000 |  166104000 |  166104000 |  166104000 |  166104000 |  166104000 |  166104000 |  166104000 |  166104000 |  166104000 |  166104000 |  166104000 |  166104000 |  166104000 |  166104000 |  166104000 |  166104000 |  166104000 |  166104000 |  166104000
  IPC                                |       0.60 |       0.60 |       0.60 |       0.60 |       0.60 |       0.60 |       0.60 |       0.60 |       0.60 |       0.60 |       0.60 |       0.60 |       0.60 |       0.60 |       0.60 |       0.60 |       0.60 |       0.60 |       0.60 |       0.60 |       0.60 |       0.60 |       0.60 |       0.60 |       0.60 |       0.60 |       0.60 |       0.60 |       0.60 |       0.60 |       0.60 |       0.60
  Time (ns)                          |   46140000 |   46140000 |   46140000 |   46140000 |   46140000 |   46140000 |   46140000 |   46140000 |   46140000 |   46140000 |   46140000 |   46140000 |   46140000 |   46140000 |   46140000 |   46140000 |   46140000 |   46140000 |   46140000 |   46140000 |   46140000 |   46140000 |   46140000 |   46140000 |   46140000 |   46140000 |   46140000 |   46140000 |   46140000 |   46140000 |   46140000 |   46140000
  Idle time (ns)                     |      10782 |      10785 |       7955 |      10606 |    1016311 |    1015656 |    1015446 |    1016564 |      11882 |      11705 |      18832 |      14620 |    1004745 |    1015452 |    1016427 |    1012730 |   25927314 |   25947907 |   25963819 |   25938754 |   25931375 |   25963729 |   25964802 |   25964154 |   25957333 |   25964640 |   25964944 |   25946813 |   25964057 |   25961754 |   25960666 |   25953302
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |       0.0% |       2.2% |       2.2% |       2.2% |       2.2% |       0.0% |       0.0% |       0.0% |       0.0% |       2.2% |       2.2% |       2.2% |       2.2% |      56.2% |      56.2% |      56.3% |      56.2% |      56.2% |      56.3% |      56.3% |      56.3% |      56.3% |      56.3% |      56.3% |      56.2% |      56.3% |      56.3% |      56.3% |      56.2%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    8893391 |    8893391 |    8893391 |    8893391 |    8893391 |    8893391 |    8893391 |    8893391 |    8893391 |    8893391 |    8893391 |    8893391 |    8893391 |    8893391 |    8893391 |    8893391 |    3537118 |    3537118 |    3537118 |    3537118 |    3537118 |    3537118 |    3537118 |    3537118 |    3537118 |    3537118 |    3537118 |    3537118 |    3537118 |    3537118 |    3537118 |    3537118
  num incorrect                      |     686974 |     686974 |     686974 |     686974 |     686974 |     686974 |     686974 |     686974 |     686974 |     686974 |     686974 |     686974 |     686974 |     686974 |     686974 |     686974 |      78469 |      78469 |      78469 |      78469 |      78469 |      78469 |      78469 |      78469 |      78469 |      78469 |      78469 |      78469 |      78469 |      78469 |      78469 |      78469
  misprediction rate                 |      7.17% |      7.17% |      7.17% |      7.17% |      7.17% |      7.17% |      7.17% |      7.17% |      7.17% |      7.17% |      7.17% |      7.17% |      7.17% |      7.17% |      7.17% |      7.17% |      2.17% |      2.17% |      2.17% |      2.17% |      2.17% |      2.17% |      2.17% |      2.17% |      2.17% |      2.17% |      2.17% |      2.17% |      2.17% |      2.17% |      2.17% |      2.17%
