Epoch,Greedy,RoundRobin,Alternation,TemPo,MFU
0,70.07,70.07,70.07,70.07,70.07
1,69.68,70.1,70.0,69.68,69.68
2,69.32,69.54,69.58,69.32,69.32
3,68.95,69.54,69.45,68.95,68.95
4,68.59,68.95,69.0,69.01,69.01
5,68.26,68.96,68.88,68.47,68.47
6,67.94,68.41,68.46,68.61,68.52
7,67.65,68.45,68.38,68.14,68.01
8,67.38,67.94,67.99,67.8,67.67
9,67.13,68.01,67.94,67.5,67.38
10,66.91,67.53,67.59,67.23,67.13
11,66.7,67.65,67.58,66.99,66.9
12,66.51,67.2,67.27,66.78,66.7
13,66.34,67.34,67.27,66.57,66.51
14,66.18,66.92,66.98,66.39,66.33
15,66.03,67.08,67.01,66.22,66.17
16,66.29,66.68,66.74,66.07,66.02
17,66.38,66.85,66.79,66.32,66.28
18,66.43,66.47,66.54,66.4,66.37
19,66.46,66.66,66.6,66.45,66.42
20,66.48,66.29,66.36,66.48,66.45
21,66.5,66.49,66.43,66.5,66.47
22,66.51,66.14,66.2,66.51,66.49
23,66.52,66.35,66.29,66.52,66.5
24,66.53,66.01,66.08,66.53,66.51
25,66.53,66.23,66.17,66.54,66.52
26,66.54,65.9,65.97,66.55,66.53
27,66.55,66.13,66.07,66.56,66.54
28,66.55,65.81,65.87,66.57,66.55
29,66.56,66.05,65.99,66.57,66.56
30,66.57,65.73,65.8,66.58,66.56
31,66.58,65.98,65.92,66.59,66.57
32,66.59,65.67,65.74,66.59,66.58
33,66.59,65.93,65.86,66.6,66.59
34,66.6,65.62,65.69,66.6,66.59
35,66.61,65.88,65.82,66.61,66.6
36,66.61,65.58,65.64,66.62,66.61
37,66.62,65.84,65.78,66.62,66.61
38,66.62,65.54,65.61,66.63,66.62
39,66.63,65.8,65.74,66.63,66.63
40,66.63,65.51,65.58,66.64,66.63
41,66.64,65.78,65.72,66.64,66.64
42,66.64,65.48,65.55,66.65,66.64
43,66.65,65.75,65.69,66.65,66.65
44,66.65,65.46,65.53,66.66,66.65
45,66.66,65.73,,66.66,66.66
46,66.66,,,66.66,66.66
47,66.67,,,66.66,66.66
48,66.67,,,66.64,66.64
49,66.67,,,66.62,66.62
50,66.68,,,66.61,66.61
51,66.68,,,,
52,66.69,,,,
53,66.69,,,,
54,66.69,,,,
55,66.7,,,,
56,66.7,,,,
57,66.7,,,,
