                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
  Instructions                       |  100001401 |   99226030 |   99259264 |   99227871 |   99223893 |   99220057 |   99251370 |   99196318 |   99206454 |   99271355 |   99267441 |   99257608 |   99260997 |   99208148 |   99216356 |   99294086 |   99306139 |   99261499 |   99293088 |   99323120 |   99323619 |   99230199 |   99222857 |   99182975 |   99219968 |   99244225 |   99226402 |   99170798 |   99245602 |   99217372 |   99201595 |   99984608
  Cycles                             |   52653600 |   52653600 |   52653600 |   52653600 |   52653600 |   52653600 |   52653600 |   52653600 |   52653600 |   52653600 |   52653600 |   52653600 |   52653600 |   52653600 |   52653600 |   52653600 |   52653600 |   52653600 |   52653600 |   52653600 |   52653600 |   52653600 |   52653600 |   52653600 |   52653600 |   52653600 |   52653600 |   52653600 |   52653600 |   52653600 |   52653600 |   52653600
  IPC                                |       1.90 |       1.88 |       1.89 |       1.88 |       1.88 |       1.88 |       1.88 |       1.88 |       1.88 |       1.89 |       1.89 |       1.89 |       1.89 |       1.88 |       1.88 |       1.89 |       1.89 |       1.89 |       1.89 |       1.89 |       1.89 |       1.88 |       1.88 |       1.88 |       1.88 |       1.88 |       1.88 |       1.88 |       1.88 |       1.88 |       1.88 |       1.90
  Time (ns)                          |   14626000 |   14626000 |   14626000 |   14626000 |   14626000 |   14626000 |   14626000 |   14626000 |   14626000 |   14626000 |   14626000 |   14626000 |   14626000 |   14626000 |   14626000 |   14626000 |   14626000 |   14626000 |   14626000 |   14626000 |   14626000 |   14626000 |   14626000 |   14626000 |   14626000 |   14626000 |   14626000 |   14626000 |   14626000 |   14626000 |   14626000 |   14626000
  Idle time (ns)                     |        -60 |        -32 |        -27 |        -10 |        -56 |        -23 |        -27 |        -30 |        -33 |        -26 |        -37 |        -32 |        -29 |        -22 |        -33 |        -20 |        -19 |        -37 |        -78 |        -27 |        -31 |        -26 |        -41 |        -30 |        -31 |        -27 |        -31 |        -35 |        -45 |        -35 |        -32 |        -31
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    3443151 |    3418524 |    3420348 |    3418626 |    3418416 |    3418229 |    3419913 |    3417581 |    3417815 |    3421010 |    3420794 |    3420255 |    3420443 |    3417829 |    3418029 |    3421973 |    3422267 |    3420470 |    3421943 |    3422644 |    3422659 |    3418752 |    3418369 |    3417292 |    3418224 |    3419519 |    3418545 |    3417042 |    3419595 |    3418086 |    3417711 |    3442701
  num incorrect                      |      88749 |      87721 |      87722 |      87721 |      87720 |      87715 |      87722 |      87701 |      87701 |      87722 |      87722 |      87722 |      87722 |      87701 |      87710 |      87730 |      87732 |      87722 |      87730 |      87735 |      87735 |      87722 |      87718 |      87700 |      87715 |      87722 |      87721 |      87698 |      87722 |      87710 |      87701 |      88718
  misprediction rate                 |      2.51% |      2.50% |      2.50% |      2.50% |      2.50% |      2.50% |      2.50% |      2.50% |      2.50% |      2.50% |      2.50% |      2.50% |      2.50% |      2.50% |      2.50% |      2.50% |      2.50% |      2.50% |      2.50% |      2.50% |      2.50% |      2.50% |      2.50% |      2.50% |      2.50% |      2.50% |      2.50% |      2.50% |      2.50% |      2.50% |      2.50% |      2.51%
