Epoch,Greedy,RoundRobin,Alternation,TemPo,MFU
0,35.7732,36.6396,26.769199999999998,35.8389,35.8389
1,36.7765,36.8253,26.913899999999998,36.9062,36.9032
2,36.2591,36.5022,27.062200000000004,36.3836,36.3823
3,35.6164,35.5482,26.1404,35.7527,35.7481
4,35.5113,36.3003,26.5706,35.6129,35.6179
5,35.4911,35.9478,25.963499999999996,35.6231,35.6258
6,35.3495,35.655,26.418599999999998,35.4608,35.4651
7,35.4306,35.34,25.8082,35.5641,35.56
8,35.3711,36.0864,26.241299999999995,35.4974,35.4995
9,35.3254,35.8139,25.766800000000003,35.4368,35.4358
10,35.3096,35.538,26.187299999999993,35.4215,35.4205
11,35.1866,35.2867,25.6712,35.271,35.269
12,35.2442,36.0268,26.1006,35.4197,35.4167
13,35.22,35.6742,25.599400000000003,35.3292,35.3292
14,35.0898,35.4129,26.0227,35.2604,35.2614
15,26.565700000000007,35.2117,25.5283,26.595699999999994,26.595699999999994
16,26.546800000000005,35.9456,25.953999999999994,26.578999999999994,26.578999999999994
17,26.511799999999994,35.6007,25.4816,26.5445,26.544200000000004
18,26.467600000000004,35.3433,25.894999999999996,26.4983,26.4983
19,26.430000000000007,35.1163,25.381100000000004,26.4589,26.4585
20,26.3964,35.8476,25.808499999999995,26.4234,26.423000000000002
21,26.366,35.5425,25.333200000000005,26.390699999999995,26.390699999999995
22,26.337999999999994,35.3052,25.748999999999995,26.361000000000004,26.3609
23,26.312200000000004,35.0761,25.299400000000006,26.333399999999997,26.333399999999997
24,26.288300000000007,35.807,25.713399999999993,26.308000000000007,26.307900000000004
25,26.266199999999998,35.5073,25.270300000000006,26.284400000000005,26.284400000000005
26,26.245800000000003,35.2748,25.683300000000003,26.262600000000006,26.262600000000006
27,26.226799999999997,35.0499,25.245500000000007,26.242500000000007,26.242400000000004
28,26.2093,35.7787,25.657300000000006,26.223799999999997,26.223799999999997
29,26.192999999999998,35.4832,25.224400000000003,26.206500000000005,26.206500000000005
30,26.177999999999997,35.2541,25.635400000000004,26.1905,26.1905
31,26.164100000000005,35.0321,25.206400000000002,26.175700000000006,26.175700000000006
32,26.151300000000006,35.7599,25.616600000000005,26.162000000000006,26.162000000000006
33,26.139300000000006,35.4673,25.191000000000003,26.149299999999997,26.149299999999997
34,26.128299999999996,35.2407,25.600499999999997,26.137600000000006,26.137600000000006
35,26.1181,35.0208,25.177300000000002,26.126800000000003,26.126800000000003
36,26.1087,35.7475,25.586399999999998,26.116699999999994,26.116699999999994
37,26.099999999999994,35.4569,25.166700000000006,26.1074,26.1074
38,26.091899999999995,35.2326,25.574700000000007,26.098799999999997,26.098799999999997
39,26.084500000000006,35.0145,25.157300000000006,26.090900000000005,26.090900000000005
40,26.0775,35.7402,25.5651,26.0835,26.0835
41,26.071200000000005,35.4514,25.149100000000004,26.076700000000002,26.076700000000002
42,26.065299999999993,35.2279,25.5569,26.070400000000006,26.070400000000006
43,26.059799999999996,35.0111,25.142200000000003,26.0646,26.0646
44,16.8104,,25.549400000000006,16.732699999999994,16.732699999999994
45,16.8074,,,,
46,16.761200000000002,,,,
47,16.719099999999997,,,,
48,16.680999999999997,,,,
49,16.646100000000004,,,,
50,16.614000000000004,,,,
51,16.5843,,,,
52,16.557000000000002,,,,
53,16.5317,,,,
54,16.508399999999995,,,,
55,16.486800000000002,,,,
56,16.466800000000006,,,,
57,16.448300000000003,,,,
