                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
    num accesses                     |   56196504 |   55354166 |   55440463 |   55477955 |   55476955 |   55480253 |   55482221 |   55457229 |   55418395 |   55437975 |   55488785 |   55489574 |   55485073 |   55465258 |   55467596 |   55483034 |   55443591 |   55395746 |   55442574 |   55345602 |   55546658 |   55407442 |   55459215 |   55462623 |   55426923 |   55455635 |   55458764 |   55453931 |   55444288 |   55448102 |   55348249 |   56198263
    num misses                       |      10663 |      10424 |      10446 |      10451 |      10451 |      10451 |      10454 |      10451 |      10430 |      10445 |      10455 |      10455 |      10455 |      10451 |      10451 |      10455 |      10446 |      10429 |      10446 |      10409 |      10478 |      10430 |      10451 |      10451 |      10431 |      10451 |      10451 |      10449 |      10446 |      10446 |      10412 |      10663
    miss rate                        |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      10813 |      10570 |      10592 |      10597 |      10597 |      10597 |      10600 |      10597 |      10576 |      10591 |      10601 |      10601 |      10601 |      10597 |      10597 |      10601 |      10592 |      10575 |      10592 |      10555 |      10624 |      10576 |      10597 |      10597 |      10577 |      10597 |      10597 |      10595 |      10592 |      10592 |      10558 |      10813
    num misses                       |       3080 |       3035 |       3036 |       3037 |       3037 |       3037 |       3037 |       3037 |       3035 |       3036 |       3037 |       3037 |       3037 |       3037 |       3037 |       3037 |       3036 |       3035 |       3036 |       3033 |       3039 |       3035 |       3037 |       3037 |       3035 |       3037 |       3037 |       3037 |       3036 |       3036 |       3034 |       3080
    miss rate                        |     28.48% |     28.71% |     28.66% |     28.66% |     28.66% |     28.66% |     28.65% |     28.66% |     28.70% |     28.67% |     28.65% |     28.65% |     28.65% |     28.66% |     28.66% |     28.65% |     28.66% |     28.70% |     28.66% |     28.74% |     28.61% |     28.70% |     28.66% |     28.66% |     28.69% |     28.66% |     28.66% |     28.66% |     28.66% |     28.66% |     28.74% |     28.48%
    mpki                             |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   10540044 |   10389329 |   10404583 |   10411082 |   10410914 |   10411467 |   10411805 |   10407612 |   10400776 |   10404124 |   10413069 |   10413233 |   10412369 |   10408943 |   10409343 |   10411936 |   10405156 |   10396634 |   10404969 |   10387815 |   10423578 |   10398783 |   10407941 |   10408503 |   10402195 |   10407350 |   10407864 |   10407058 |   10405286 |   10405985 |   10388285 |   10540433
    num cache misses                 |      37957 |      35360 |      35292 |      35334 |      35288 |      35296 |      35357 |      35313 |      35309 |      35323 |      35303 |      35312 |      35345 |      35301 |      35310 |      35362 |      35291 |      35280 |      35305 |      35265 |      35363 |      35279 |      35290 |      35292 |      35304 |      35342 |      35300 |      35306 |      35306 |      35340 |      35372 |      37945
    miss rate                        |      0.36% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.36%
    mpki                             |       0.38 |       0.36 |       0.36 |       0.36 |       0.36 |       0.36 |       0.36 |       0.36 |       0.36 |       0.36 |       0.36 |       0.36 |       0.36 |       0.36 |       0.36 |       0.36 |       0.36 |       0.36 |       0.36 |       0.36 |       0.36 |       0.36 |       0.36 |       0.36 |       0.36 |       0.36 |       0.36 |       0.36 |       0.36 |       0.36 |       0.36 |       0.38
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   56196504 |   55354166 |   55440463 |   55477955 |   55476955 |   55480253 |   55482221 |   55457229 |   55418395 |   55437975 |   55488785 |   55489574 |   55485073 |   55465258 |   55467596 |   55483034 |   55443591 |   55395746 |   55442574 |   55345602 |   55546658 |   55407442 |   55459215 |   55462623 |   55426923 |   55455635 |   55458764 |   55453931 |   55444288 |   55448102 |   55348249 |   56198263
    num cache misses                 |      73766 |      73019 |      73032 |      73051 |      73044 |      73054 |      73061 |      73038 |      73028 |      73074 |      73064 |      73054 |      73090 |      73046 |      73040 |      73061 |      73047 |      73011 |      73056 |      72954 |      73095 |      73041 |      73063 |      73050 |      73031 |      73061 |      73077 |      73047 |      73031 |      73072 |      72995 |      73772
    miss rate                        |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13%
    mpki                             |       0.74 |       0.74 |       0.74 |       0.74 |       0.74 |       0.74 |       0.74 |       0.74 |       0.74 |       0.74 |       0.74 |       0.74 |       0.74 |       0.74 |       0.74 |       0.74 |       0.74 |       0.74 |       0.74 |       0.74 |       0.74 |       0.74 |       0.74 |       0.74 |       0.74 |       0.74 |       0.74 |       0.74 |       0.74 |       0.74 |       0.74 |       0.74
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
