Epoch,RoundRobin,Greedy,TemPo,Alternation,MFU
0,27.3474,25.9685,25.9685,26.769199999999998,25.9685
1,56.85369,57.28324,63.14204,57.17791,63.186549
2,27.471600000000002,39.6715,50.5916,27.1336,53.6156
3,27.472700000000003,40.296,62.65556,27.7496,63.413993
4,28.409599999999998,40.2783,61.60303,28.451099999999997,61.94998
5,27.2168,46.2298,43.1417,27.523200000000003,63.403808
6,28.674500000000002,47.087599999999995,48.0843,29.5002,63.2024
7,27.6295,47.708200000000005,43.5991,28.202199999999998,62.71586
8,29.6042,47.0466,44.6632,29.519199999999998,63.764945
9,27.630200000000002,40.2037,43.864999999999995,27.9345,63.9087597
10,29.701500000000003,46.8254,45.4534,29.431399999999996,62.25196
11,27.689700000000002,47.3179,43.6841,27.641399999999997,63.143732
12,29.081000000000003,46.8446,43.9921,28.651899999999998,63.365911
13,27.9199,47.7154,43.931200000000004,28.176000000000002,61.88667
14,29.0083,46.6755,44.8027,28.8795,63.757129
15,58.1591,47.0462,42.9722,28.650799999999997,60.54157
16,28.510599999999997,47.6903,44.023700000000005,30.7104,62.06692
17,27.7348,47.332899999999995,43.3047,28.3934,63.9373103
18,30.041200000000003,47.403800000000004,44.287,51.6055,62.13125
19,27.350700000000003,41.8615,44.2376,27.849899999999998,62.40193
20,29.047800000000002,41.038,44.6036,29.6766,61.73112
21,27.996499999999997,40.2335,43.5229,28.737000000000002,61.75534
22,29.4287,40.3834,44.6558,28.975,61.78347
23,28.0792,40.156,44.1843,28.988100000000003,61.75311
24,29.227899999999998,40.0995,44.3338,31.086399999999998,62.93846
25,28.1441,40.1211,44.374300000000005,28.908,63.668157
26,30.275799999999997,40.021,44.8959,29.2496,62.07492
27,28.5736,40.503299999999996,43.121300000000005,28.693800000000003,62.101259999999996
28,30.749899999999997,40.0094,45.1404,30.359499999999997,63.767418
29,28.098,40.0426,43.7635,28.347499999999997,62.51482
30,29.5475,40.1714,43.7478,29.209400000000002,63.653323
31,28.1034,39.7097,44.178399999999996,38.2543,62.44962
32,31.027299999999997,40.3057,44.878,29.945300000000003,63.842207
33,28.365000000000002,39.7695,44.0205,28.5935,62.48803
34,31.218200000000003,39.947500000000005,45.4944,29.1648,63.824689
35,27.970799999999997,47.455,43.6248,29.0642,61.99505
36,42.2576,63.9729276,45.7091,29.2556,63.812246
37,44.8923,61.24525,43.6543,29.2367,63.9170122
38,47.4088,59.13938,45.0051,31.403799999999997,62.96637
39,49.1821,59.96681,43.4791,29.242400000000004,63.36548
40,42.022999999999996,63.684021,44.4499,30.319499999999998,61.40021
41,35.2726,63.606553,43.7697,29.1475,60.64757
42,38.028400000000005,61.51969,45.1418,24.9499,63.874501
43,40.0666,61.48802,43.919,28.938499999999998,63.349082
44,37.8781,61.42691,45.3785,24.1505,63.138127
45,40.021699999999996,60.05726,41.4788,28.6068,63.606385
46,37.8637,61.54829,43.9702,30.2986,63.588289
47,39.0441,61.56434,39.5317,28.417099999999998,62.86277
48,37.848,61.10104,63.41697,29.933300000000003,63.69763
49,64,61.04459,43.581,28.7423,63.611912
50,27.431600000000003,60.47091,44.790400000000005,29.2509,62.0859
51,29.7637,61.57566,43.6923,28.5708,63.278031
52,28.572200000000002,61.75267,44.5282,29.775799999999997,63.428738
53,30.284,60.78716,44.098,28.973300000000002,63.342433
54,27.676900000000003,60.69518,44.8754,64,63.391956
55,29.324599999999997,62.44757,43.0747,28.131100000000004,62.06633
56,28.061,63.108044,44.59,29.9773,62.94975
57,29.534100000000002,63.289561,44.0287,29.1725,63.52042
58,27.8587,61.49845,44.2428,64,63.9790285
59,42.2902,61.53736,39.947900000000004,27.945700000000002,63.051379
60,41.9744,57.09489,61.82865,28.6492,63.373714
61,42.274100000000004,62.56125,42.5022,28.140300000000003,63.508507
62,41.8821,62.5422,44.1174,28.909399999999998,62.85584
63,34.0563,59.26055,43.33,28.379800000000003,61.77738
64,45.329,62.14486,43.2663,30.7943,62.73432
65,33.790800000000004,59.86736,42.705600000000004,28.874000000000002,63.99750441
66,33.6877,58.20615,44.1512,29.832700000000003,62.56109
67,35.0557,57.61994,42.832300000000004,28.3722,62.85053
68,33.8654,57.6164,43.920100000000005,29.128,62.29418
69,34.2402,57.76046,43.1207,28.877200000000002,63.015913
70,34.2447,58.34921,43.3739,30.177100000000003,63.9286713
71,33.7476,57.37204,43.0351,39.8886,63.543951
