Epoch,RoundRobin,Greedy,TemPo,Alternation,MFU
72,33.4934,58.99301,44.6419,29.098999999999997,63.304514
73,34.609300000000005,58.59725,60.71316,28.716900000000003,62.52128
74,33.7508,57.51242,58.41276,30.159599999999998,63.895492
75,33.742000000000004,58.34127,61.58579,28.7671,63.698374
76,33.9732,57.99914,63.825322,30.2224,63.816021
77,33.892700000000005,58.29508,62.18261,29.0728,62.55941
78,34.1687,58.25499,61.64065,27.5593,63.032161
79,34.679,58.22168,58.3018,28.3917,62.49711
80,33.9418,58.22499,57.76504,23.861600000000003,43.828900000000004
81,34.7464,63.363729,53.1592,28.8433,61.9683
82,43.320499999999996,57.44257,58.32359,27.091900000000003,49.1684
83,33.2335,61.97272,57.71295,28.213299999999997,63.57828
84,34.0895,60.02214,58.85407,30.143,62.71004
85,54.60871,57.20163,57.29816,28.826,60.64092
86,33.6703,58.48412,62.56067,29.6695,57.762389999999996
87,33.3919,57.99236,61.75961,28.4782,57.51411
88,34.188900000000004,59.03992,59.99312,29.3018,51.3881
89,33.1763,57.54086,56.64915,55.20208,52.4906
90,33.711200000000005,63.060483,59.9634,28.775100000000002,46.8731
91,34.297,63.32767,55.15271,28.121699999999997,44.4191
92,34.085,62.30836,61.15085,29.9756,44.3491
93,34.0794,61.16553,57.95019,28.7954,47.5352
94,39.021100000000004,58.4234,61.93577,30.8452,47.4333
95,36.0702,56.28613,59.34687,28.403599999999997,56.65707
96,42.2712,58.4261,61.04224,29.232799999999997,47.1674
97,27.8099,58.94672,60.46374,29.125300000000003,63.119088
98,45.9658,62.43072,63.662157,29.281399999999998,63.843263
99,48.033,58.26745,62.71809,28.6659,59.1716
100,41.7575,60.38154,61.93433,30.2611,58.66507
101,44.0953,52.76,62.06987,28.849400000000003,52.6167
102,28.1419,52.8264,60.55787,23.8553,52.4678
103,29.509,46.775,63.9383596,29.0357,48.1404
104,28.463099999999997,57.3543,53.954499999999996,23.918100000000003,48.1177
105,29.1779,56.21565,61.67516,28.8958,51.6844
106,52.576,48.6825,59.50182,24.257800000000003,51.716300000000004
107,28.777,39.884100000000004,40.2564,29.156599999999997,58.72646
108,27.787399999999998,39.7148,28.430100000000003,29.5989,58.57032
109,30.568399999999997,43.857299999999995,36.919,29.2354,55.38141
110,27.8226,36.1472,36.7743,30.860599999999998,55.20405
111,30.1543,36.0355,42.9344,28.5351,54.63759
112,28.2862,36.102199999999996,42.808499999999995,29.7725,54.81413
113,29.9812,41.8234,50.564099999999996,28.898899999999998,54.73925
114,28.1286,46.569900000000004,50.3189,30.828699999999998,54.694810000000004
115,29.470399999999998,46.5904,41.5731,29.281399999999998,54.8132
116,28.0893,39.576499999999996,35.157399999999996,29.3902,54.80974
117,29.6727,31.882800000000003,42.833200000000005,29.2036,54.81631
118,28.7453,34.0012,42.8805,24.811999999999998,54.86705
119,43.1198,39.1766,49.4625,28.811100000000003,51.774699999999996
120,44.9607,42.4974,45.4695,19.039700000000003,51.6059
121,46.7227,42.4436,45.389399999999995,28.484499999999997,51.285399999999996
122,55.52141,49.4838,45.55,18.920699999999997,51.2716
123,39.520399999999995,49.2624,45.4369,29.1682,48.6576
124,53.691900000000004,49.287,45.3801,29.290300000000002,48.242599999999996
125,48.3639,49.615700000000004,45.5904,28.387900000000002,45.7104
126,28.178400000000003,49.5796,45.4012,29.698700000000002,45.704899999999995
127,41.837900000000005,45.5054,45.4314,28.686700000000002,36.3929
128,39.334199999999996,45.4207,36.0867,29.6747,24.217399999999998
129,41.186099999999996,45.3554,35.687799999999996,28.646,14.3097
130,35.0843,36.068,22.2718,29.2798,12.5289
131,39.1816,31.2626,14.4662,29.2408,
132,34.59,30.891399999999997,,29.618299999999998,
133,40.1596,30.810899999999997,,43.5891,
134,34.112300000000005,23.0619,,29.7457,
135,35.0339,21.045099999999998,,46.9757,
136,34.0142,13.713099999999997,,28.6351,
137,34.5954,12.039099999999998,,33.219899999999996,
138,33.8296,11.880600000000001,,28.2778,
139,34.604,11.8339,,27.4296,
140,33.884,11.7513,,27.9317,
141,34.2863,11.7198,,27.1524,
142,33.527699999999996,11.6813,,27.6432,
143,34.0916,11.627499999999998,,26.916600000000003,
144,33.267399999999995,11.593899999999998,,27.396500000000003,
145,30.7166,11.550400000000003,,26.714599999999997,
146,30.0385,11.530700000000003,,27.180799999999998,
147,33.4939,,,26.541200000000003,
148,31.61,,,34.4981,
149,32.137299999999996,,,26.392200000000003,
150,29.710900000000002,,,26.8468,
151,29.7637,,,26.264200000000002,
152,29.765900000000002,,,32.544,
153,29.266,,,26.1535,
154,28.6699,,,40.1833,
155,26.7896,,,26.0582,
156,26.192500000000003,,,26.511000000000003,
157,26.6102,,,25.976100000000002,
158,26.038200000000003,,,37.3754,
159,29.7605,,,,
160,25.9799,,,,
161,29.1432,,,,
