                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15     | Core 16     | Core 17     | Core 18     | Core 19     | Core 20     | Core 21     | Core 22     | Core 23     | Core 24     | Core 25     | Core 26     | Core 27     | Core 28     | Core 29     | Core 30     | Core 31     | Core 32     | Core 33     | Core 34     | Core 35     | Core 36     | Core 37     | Core 38     | Core 39     | Core 40     | Core 41     | Core 42     | Core 43     | Core 44     | Core 45     | Core 46     | Core 47     | Core 48     | Core 49     | Core 50     | Core 51     | Core 52     | Core 53     | Core 54     | Core 55     | Core 56     | Core 57     | Core 58     | Core 59     | Core 60     | Core 61     | Core 62     | Core 63    
  Instructions                       |    85556660 |   801271722 |   607431948 |   576602712 |   530378141 |   544127224 |   495950619 |   461632814 |   548374056 |   504999330 |   511647906 |   505171446 |   497036814 |   486350173 |   573768815 |   514132682 |   576637286 |   501693960 |   527394327 |   536002276 |   465443087 |   479037228 |   433768239 |   538433288 |   595228265 |   456000356 |   524537634 |   407485959 |   666703995 |   434912345 |   409184309 |   429759012 |   612015097 |   423796597 |   451211626 |   590841231 |   431966685 |   530316306 |   637164475 |   407709419 |   451540657 |   654270529 |   459144836 |   429604479 |   644338129 |   431146341 |   549085527 |   413164084 |   425769539 |   422182044 |   695652600 |   413924832 |   450059832 |   661180520 |   404318314 |   415695608 |   642388803 |   442206642 |   434791071 |   597804700 |   441075929 |   406017349 |   614599853 |   619641743
  Cycles                             |  1780071480 |  1780071480 |  1780071480 |  1780071480 |  1780071480 |  1780071480 |  1780071480 |  1780071480 |  1780071480 |  1780071480 |  1780071480 |  1780071480 |  1780071480 |  1780071480 |  1780071480 |  1780071480 |  1780071480 |  1780071480 |  1780071480 |  1780071480 |  1780071480 |  1780071480 |  1780071480 |  1780071480 |  1780071480 |  1780071480 |  1780071480 |  1780071480 |  1780071480 |  1780071480 |  1780071480 |  1780071480 |  1780071480 |  1780071480 |  1780071480 |  1780071480 |  1780071480 |  1780071480 |  1780071480 |  1780071480 |  1780071480 |  1780071480 |  1780071480 |  1780071480 |  1780071480 |  1780071480 |  1780071480 |  1780071480 |  1780071480 |  1780071480 |  1780071480 |  1780071480 |  1780071480 |  1780071480 |  1780071480 |  1780071480 |  1780071480 |  1780071480 |  1780071480 |  1780071480 |  1780071480 |  1780071480 |  1780071480 |  1780071480
  IPC                                |        0.05 |        0.45 |        0.34 |        0.32 |        0.30 |        0.31 |        0.28 |        0.26 |        0.31 |        0.28 |        0.29 |        0.28 |        0.28 |        0.27 |        0.32 |        0.29 |        0.32 |        0.28 |        0.30 |        0.30 |        0.26 |        0.27 |        0.24 |        0.30 |        0.33 |        0.26 |        0.29 |        0.23 |        0.37 |        0.24 |        0.23 |        0.24 |        0.34 |        0.24 |        0.25 |        0.33 |        0.24 |        0.30 |        0.36 |        0.23 |        0.25 |        0.37 |        0.26 |        0.24 |        0.36 |        0.24 |        0.31 |        0.23 |        0.24 |        0.24 |        0.39 |        0.23 |        0.25 |        0.37 |        0.23 |        0.23 |        0.36 |        0.25 |        0.24 |        0.34 |        0.25 |        0.23 |        0.35 |        0.35
  Time (ns)                          |   494464300 |   494464300 |   494464300 |   494464300 |   494464300 |   494464300 |   494464300 |   494464300 |   494464300 |   494464300 |   494464300 |   494464300 |   494464300 |   494464300 |   494464300 |   494464300 |   494464300 |   494464300 |   494464300 |   494464300 |   494464300 |   494464300 |   494464300 |   494464300 |   494464300 |   494464300 |   494464300 |   494464300 |   494464300 |   494464300 |   494464300 |   494464300 |   494464300 |   494464300 |   494464300 |   494464300 |   494464300 |   494464300 |   494464300 |   494464300 |   494464300 |   494464300 |   494464300 |   494464300 |   494464300 |   494464300 |   494464300 |   494464300 |   494464300 |   494464300 |   494464300 |   494464300 |   494464300 |   494464300 |   494464300 |   494464300 |   494464300 |   494464300 |   494464300 |   494464300 |   494464300 |   494464300 |   494464300 |   494464300
  Idle time (ns)                     |   462563167 |    46020571 |   186512456 |   177008081 |   127562519 |   154521672 |   147319023 |   155931103 |   140338201 |   149781058 |   138714755 |   137845353 |   142764898 |   152339834 |   143849776 |   141680989 |   132139913 |   157559022 |   129438696 |   144643838 |   158940475 |   137574248 |   146623007 |   157136113 |   142016077 |   127597824 |   159857251 |    75866174 |   175085909 |    86884256 |    84856168 |    76498802 |   149498639 |    85014089 |    97653705 |   141028209 |    73365430 |   167598388 |   143096916 |    78405201 |    80778952 |   162159303 |    73211618 |    85570927 |   143664191 |    81744430 |   178439150 |    80887217 |    97603600 |    83964688 |   176122398 |    70987835 |    97013508 |   180304296 |   102906933 |    85628914 |   122806743 |    82145661 |    86288516 |   154685288 |    89579403 |    78783163 |   148366465 |   137673620
  Idle time (%)                      |       93.5% |        9.3% |       37.7% |       35.8% |       25.8% |       31.3% |       29.8% |       31.5% |       28.4% |       30.3% |       28.1% |       27.9% |       28.9% |       30.8% |       29.1% |       28.7% |       26.7% |       31.9% |       26.2% |       29.3% |       32.1% |       27.8% |       29.7% |       31.8% |       28.7% |       25.8% |       32.3% |       15.3% |       35.4% |       17.6% |       17.2% |       15.5% |       30.2% |       17.2% |       19.7% |       28.5% |       14.8% |       33.9% |       28.9% |       15.9% |       16.3% |       32.8% |       14.8% |       17.3% |       29.1% |       16.5% |       36.1% |       16.4% |       19.7% |       17.0% |       35.6% |       14.4% |       19.6% |       36.5% |       20.8% |       17.3% |       24.8% |       16.6% |       17.5% |       31.3% |       18.1% |       15.9% |       30.0% |       27.8%
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |     8372946 |    75860656 |    57329791 |    54565591 |    50149356 |    51493063 |    46992244 |    43624899 |    51797148 |    47808947 |    48295494 |    47763685 |    47096812 |    46001283 |    54157953 |    48529722 |    54482890 |    47444586 |    49940766 |    50563158 |    44073763 |    45347559 |    41011876 |    50862093 |    56229293 |    43088055 |    49519763 |    38575516 |    63045273 |    41083332 |    38881437 |    40557900 |    57939748 |    40247847 |    42807401 |    55947167 |    40928340 |    50204367 |    60227625 |    38597735 |    42758628 |    61966017 |    43451964 |    40632939 |    60837064 |    40855825 |    51876929 |    38985610 |    40255297 |    39927383 |    65601671 |    39222475 |    42607336 |    62466831 |    38228920 |    39350065 |    60614763 |    41855674 |    41154127 |    56553764 |    41701308 |    38401761 |    58142770 |    58615568
  num incorrect                      |      114025 |       79268 |       58573 |       60457 |       60338 |       56443 |       64402 |       51586 |       60705 |       46127 |       56263 |       60574 |       53649 |       49723 |       53561 |       55507 |       54797 |       55170 |       64017 |       49326 |       55671 |       51740 |       45911 |       60212 |       58184 |       48273 |       63969 |       51815 |       64908 |       45712 |       44913 |       50187 |       69431 |       56162 |       51123 |       65944 |       49800 |       54664 |       63028 |       49592 |       49538 |       75528 |       57371 |       42050 |       72456 |       49866 |       58396 |       45136 |       43199 |       55655 |       67161 |       55349 |       49826 |       69097 |       45203 |       53541 |       76700 |       52084 |       44766 |       59025 |       45466 |       48270 |       64931 |       73470
  misprediction rate                 |       1.34% |       0.10% |       0.10% |       0.11% |       0.12% |       0.11% |       0.14% |       0.12% |       0.12% |       0.10% |       0.12% |       0.13% |       0.11% |       0.11% |       0.10% |       0.11% |       0.10% |       0.12% |       0.13% |       0.10% |       0.13% |       0.11% |       0.11% |       0.12% |       0.10% |       0.11% |       0.13% |       0.13% |       0.10% |       0.11% |       0.12% |       0.12% |       0.12% |       0.14% |       0.12% |       0.12% |       0.12% |       0.11% |       0.10% |       0.13% |       0.12% |       0.12% |       0.13% |       0.10% |       0.12% |       0.12% |       0.11% |       0.12% |       0.11% |       0.14% |       0.10% |       0.14% |       0.12% |       0.11% |       0.12% |       0.14% |       0.13% |       0.12% |       0.11% |       0.10% |       0.11% |       0.13% |       0.11% |       0.13%
