                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
  Instructions                       |  100101413 |  100101413 |  100101413 |  100101413 |  100101413 |  100101413 |  100101413 |  100101413 |  100101413 |  100101413 |  100101413 |  100101413 |  100101413 |  100101413 |  100101413 |  100101413 |  100001362 |  100001362 |  100001362 |  100001362 |  100001362 |  100001362 |  100001362 |  100001362 |  100001362 |  100001362 |  100001362 |  100001362 |  100001362 |  100001362 |  100001362 |  100001362
  Cycles                             |  162483120 |  162483120 |  162483120 |  162483120 |  162483120 |  162483120 |  162483120 |  162483120 |  162483120 |  162483120 |  162483120 |  162483120 |  162483120 |  162483120 |  162483120 |  162483120 |  162483120 |  162483120 |  162483120 |  162483120 |  162483120 |  162483120 |  162483120 |  162483120 |  162483120 |  162483120 |  162483120 |  162483120 |  162483120 |  162483120 |  162483120 |  162483120
  IPC                                |       0.62 |       0.62 |       0.62 |       0.62 |       0.62 |       0.62 |       0.62 |       0.62 |       0.62 |       0.62 |       0.62 |       0.62 |       0.62 |       0.62 |       0.62 |       0.62 |       0.62 |       0.62 |       0.62 |       0.62 |       0.62 |       0.62 |       0.62 |       0.62 |       0.62 |       0.62 |       0.62 |       0.62 |       0.62 |       0.62 |       0.62 |       0.62
  Time (ns)                          |   45134200 |   45134200 |   45134200 |   45134200 |   45134200 |   45134200 |   45134200 |   45134200 |   45134200 |   45134200 |   45134200 |   45134200 |   45134200 |   45134200 |   45134200 |   45134200 |   45134200 |   45134200 |   45134200 |   45134200 |   45134200 |   45134200 |   45134200 |   45134200 |   45134200 |   45134200 |   45134200 |   45134200 |   45134200 |   45134200 |   45134200 |   45134200
  Idle time (ns)                     |       6651 |      10932 |       4917 |      10614 |       6631 |       3913 |       6935 |      10613 |    1008372 |    1008494 |    1008403 |    1008502 |    1008654 |    1008351 |    1008645 |    1008333 |   23930245 |   23948248 |   23790461 |   23896495 |   23961887 |   23950328 |   23887920 |   23961018 |   24956548 |   24940414 |   24958995 |   24947400 |   24958998 |   24906822 |   24958871 |   24955479
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       2.2% |       2.2% |       2.2% |       2.2% |       2.2% |       2.2% |       2.2% |       2.2% |      53.0% |      53.1% |      52.7% |      52.9% |      53.1% |      53.1% |      52.9% |      53.1% |      55.3% |      55.3% |      55.3% |      55.3% |      55.3% |      55.2% |      55.3% |      55.3%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    8893391 |    8893391 |    8893391 |    8893391 |    8893391 |    8893391 |    8893391 |    8893391 |    8893391 |    8893391 |    8893391 |    8893391 |    8893391 |    8893391 |    8893391 |    8893391 |    3537118 |    3537118 |    3537118 |    3537118 |    3537118 |    3537118 |    3537118 |    3537118 |    3537118 |    3537118 |    3537118 |    3537118 |    3537118 |    3537118 |    3537118 |    3537118
  num incorrect                      |     686974 |     686974 |     686974 |     686974 |     686974 |     686974 |     686974 |     686974 |     686974 |     686974 |     686974 |     686974 |     686974 |     686974 |     686974 |     686974 |      78469 |      78469 |      78469 |      78469 |      78469 |      78469 |      78469 |      78469 |      78469 |      78469 |      78469 |      78469 |      78469 |      78469 |      78469 |      78469
  misprediction rate                 |      7.17% |      7.17% |      7.17% |      7.17% |      7.17% |      7.17% |      7.17% |      7.17% |      7.17% |      7.17% |      7.17% |      7.17% |      7.17% |      7.17% |      7.17% |      7.17% |      2.17% |      2.17% |      2.17% |      2.17% |      2.17% |      2.17% |      2.17% |      2.17% |      2.17% |      2.17% |      2.17% |      2.17% |      2.17% |      2.17% |      2.17% |      2.17%
