                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
  Instructions                       |   99984211 |   99065292 |   99073678 |   99125822 |   99143413 |   99126024 |   99152554 |   99110627 |   99131510 |   99133874 |   99168571 |   99151485 |   99134901 |   99100289 |   99166600 |   99192887 |   99166154 |   99137928 |   99045350 |   99142114 |   99180571 |   99164056 |   99100294 |   99132927 |   99166141 |   99087030 |   99176546 |   99104374 |   99163478 |   99115660 |   99067028 |  100001413
  Cycles                             |   52075800 |   52075800 |   52075800 |   52075800 |   52075800 |   52075800 |   52075800 |   52075800 |   52075800 |   52075800 |   52075800 |   52075800 |   52075800 |   52075800 |   52075800 |   52075800 |   52075800 |   52075800 |   52075800 |   52075800 |   52075800 |   52075800 |   52075800 |   52075800 |   52075800 |   52075800 |   52075800 |   52075800 |   52075800 |   52075800 |   52075800 |   52075800
  IPC                                |       1.92 |       1.90 |       1.90 |       1.90 |       1.90 |       1.90 |       1.90 |       1.90 |       1.90 |       1.90 |       1.90 |       1.90 |       1.90 |       1.90 |       1.90 |       1.90 |       1.90 |       1.90 |       1.90 |       1.90 |       1.90 |       1.90 |       1.90 |       1.90 |       1.90 |       1.90 |       1.90 |       1.90 |       1.90 |       1.90 |       1.90 |       1.92
  Time (ns)                          |   14465500 |   14465500 |   14465500 |   14465500 |   14465500 |   14465500 |   14465500 |   14465500 |   14465500 |   14465500 |   14465500 |   14465500 |   14465500 |   14465500 |   14465500 |   14465500 |   14465500 |   14465500 |   14465500 |   14465500 |   14465500 |   14465500 |   14465500 |   14465500 |   14465500 |   14465500 |   14465500 |   14465500 |   14465500 |   14465500 |   14465500 |   14465500
  Idle time (ns)                     |         32 |         54 |         72 |         62 |         59 |         80 |         54 |         66 |         65 |         57 |         54 |         54 |         99 |         53 |         55 |         41 |         -0 |         64 |         57 |         67 |         60 |         59 |         59 |         61 |        -13 |         67 |         56 |         44 |         69 |         68 |         64 |         56
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    3681000 |    3648172 |    3648595 |    3650147 |    3650528 |    3650149 |    3650724 |    3649785 |    3650191 |    3650265 |    3651049 |    3650676 |    3650312 |    3649516 |    3650974 |    3652218 |    3650968 |    3650447 |    3647144 |    3650516 |    3651631 |    3650932 |    3649516 |    3650223 |    3650968 |    3649284 |    3651425 |    3649699 |    3650927 |    3649828 |    3648253 |    3681218
  num incorrect                      |      63456 |      62863 |      62864 |      62865 |      62866 |      62865 |      62867 |      62865 |      62865 |      62866 |      62870 |      62867 |      62866 |      62865 |      62869 |      62875 |      62868 |      62866 |      62863 |      62866 |      62873 |      62867 |      62865 |      62866 |      62868 |      62864 |      62870 |      62865 |      62867 |      62865 |      62864 |      63464
  misprediction rate                 |      1.69% |      1.69% |      1.69% |      1.69% |      1.69% |      1.69% |      1.69% |      1.69% |      1.69% |      1.69% |      1.69% |      1.69% |      1.69% |      1.69% |      1.69% |      1.69% |      1.69% |      1.69% |      1.69% |      1.69% |      1.69% |      1.69% |      1.69% |      1.69% |      1.69% |      1.69% |      1.69% |      1.69% |      1.69% |      1.69% |      1.69% |      1.69%
