0	561.47
1	565.69
2	569.14
3	570.80
4	570.77
5	569.03
6	565.60
7	561.35

8	564.32
9	568.70
10	572.28
11	573.98
12	573.94
13	572.13
14	568.58
15	564.17

16	570.17
17	574.69
18	578.45
19	580.12
20	580.06
21	578.19
22	574.51
23	569.92

24	572.38
25	576.99
26	580.84
27	582.54
28	582.47
29	580.56
30	576.80
31	572.11

32	571.47
33	576.07
34	579.93
35	581.67
36	581.61
37	579.71
38	575.96
39	571.27

40	568.69
41	573.19
42	576.94
43	578.68
44	578.64
45	576.78
46	573.11
47	568.54

48	563.37
49	567.72
50	571.26
51	573.00
52	573.02
53	571.21
54	567.68
55	563.28

56	560.80
57	564.99
58	568.39
59	570.09
60	570.12
61	568.37
62	564.96
63	560.73

