                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
  Instructions                       |  100097912 |  100101415 |   99984104 |  100046630 |  100032681 |  100083107 |  100040788 |  100039754 |   23065169 |   22890126 |   22892456 |   23019078 |   22970170 |   22951787 |   23255035 |   22492111 |   14783157 |   14782576 |   14789244 |   14788430 |   14795936 |   14795660 |   14762795 |   14766071 |   14303474 |   14309216 |   14335384 |   14334977 |   14338009 |   14342709 |   14278943 |   14281233
  Cycles                             |   76066920 |   76066920 |   76066920 |   76066920 |   76066920 |   76066920 |   76066920 |   76066920 |   76066920 |   76066920 |   76066920 |   76066920 |   76066920 |   76066920 |   76066920 |   76066920 |   76066920 |   76066920 |   76066920 |   76066920 |   76066920 |   76066920 |   76066920 |   76066920 |   76066920 |   76066920 |   76066920 |   76066920 |   76066920 |   76066920 |   76066920 |   76066920
  IPC                                |       1.32 |       1.32 |       1.31 |       1.32 |       1.32 |       1.32 |       1.32 |       1.32 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.31 |       0.30 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19
  Time (ns)                          |   21129700 |   21129700 |   21129700 |   21129700 |   21129700 |   21129700 |   21129700 |   21129700 |   21129700 |   21129700 |   21129700 |   21129700 |   21129700 |   21129700 |   21129700 |   21129700 |   21129700 |   21129700 |   21129700 |   21129700 |   21129700 |   21129700 |   21129700 |   21129700 |   21129700 |   21129700 |   21129700 |   21129700 |   21129700 |   21129700 |   21129700 |   21129700
  Idle time (ns)                     |        728 |        775 |        776 |        746 |        774 |        768 |        778 |        769 |        730 |        700 |        726 |        538 |        781 |        226 |        780 |        776 |        351 |        703 |        475 |        -83 |        469 |        248 |        722 |        700 |        599 |        731 |        481 |        266 |        782 |        691 |        711 |        591
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    8893089 |    8893391 |    8882544 |    8888435 |    8887129 |    8891844 |    8887883 |    8887781 |    3017672 |    2995245 |    2995553 |    3012261 |    3005766 |    3003329 |    3039119 |    2946470 |     172909 |     172889 |     173002 |     172998 |     173133 |     173123 |     172604 |     172640 |     166768 |     166810 |     167129 |     167127 |     167147 |     167185 |     166514 |     166534
  num incorrect                      |     686948 |     686974 |     686058 |     686578 |     686490 |     686843 |     686536 |     686533 |       4118 |       3963 |       3963 |       3969 |       3969 |       3969 |       4812 |       3545 |      16309 |      16308 |      16319 |      16317 |      16334 |      16333 |      16267 |      16274 |      15805 |      15805 |      15832 |      15831 |      15832 |      15833 |      15790 |      15792
  misprediction rate                 |      7.17% |      7.17% |      7.17% |      7.17% |      7.17% |      7.17% |      7.17% |      7.17% |      0.14% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.16% |      0.12% |      8.62% |      8.62% |      8.62% |      8.62% |      8.62% |      8.62% |      8.61% |      8.61% |      8.66% |      8.65% |      8.65% |      8.65% |      8.65% |      8.65% |      8.66% |      8.66%
  mpki                               |       6.86 |       6.86 |       6.86 |       6.86 |       6.86 |       6.86 |       6.86 |       6.86 |       0.18 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.21 |       0.16 |       1.10 |       1.10 |       1.10 |       1.10 |       1.10 |       1.10 |       1.10 |       1.10 |       1.10 |       1.10 |       1.10 |       1.10 |       1.10 |       1.10 |       1.11 |       1.11
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   14254840 |   14255330 |   14238305 |   14247409 |   14245344 |   14252735 |   14246526 |   14246370 |    3469509 |    3443538 |    3443892 |    3462911 |    3455552 |    3452786 |    3497939 |    3383956 |    1339197 |    1339130 |    1339781 |    1339713 |    1340466 |    1340434 |    1337241 |    1337538 |    1295087 |    1295566 |    1297951 |    1297917 |    1298169 |    1298570 |    1292926 |    1293121
    num misses                       |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |         12 |          9 |          9 |          9 |          9 |          9 |         14 |          9 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
