0	321.46
1	321.62
2	321.75
3	321.81
4	321.81
5	321.74
6	321.61
7	321.45

8	321.56
9	321.77
10	321.93
11	322.01
12	322.00
13	321.91
14	321.75
15	321.54

16	321.68
17	321.94
18	322.14
19	322.24
20	322.23
21	322.12
22	321.92
23	321.66

24	321.84
25	322.16
26	322.41
27	322.53
28	322.52
29	322.38
30	322.14
31	321.82

32	322.15
33	322.53
34	322.84
35	322.99
36	322.98
37	322.80
38	322.50
39	322.12

40	322.25
41	322.69
42	323.12
43	323.29
44	323.29
45	323.05
46	322.65
47	322.23

48	322.24
49	322.71
50	323.49
51	323.69
52	323.72
53	323.31
54	322.66
55	322.21

56	322.21
57	322.65
58	323.46
59	323.66
60	323.69
61	323.27
62	322.60
63	322.18

