Epoch,RoundRobin,Alternation,MFU,Greedy,TemPo
0,12,8,12,12,12
1,12,8,12,12,12
2,12,8,12,12,12
3,12,8,12,12,12
4,12,8,12,12,12
5,12,8,12,12,12
6,12,8,12,12,12
7,12,8,12,12,12
8,12,8,12,12,12
9,12,8,12,12,12
10,12,8,12,12,12
11,12,8,12,12,12
12,12,8,12,12,12
13,12,8,12,12,12
14,12,8,12,12,12
15,12,8,12,12,12
16,12,8,12,12,12
17,12,8,12,12,12
18,12,8,12,12,12
19,12,8,12,12,12
20,12,8,12,12,12
21,12,8,10,12,12
22,12,8,8,12,12
23,12,8,8,12,12
24,12,8,12,12,12
25,12,8,12,12,10
26,12,8,12,12,8
27,12,8,12,12,8
28,12,8,12,12,12
29,12,8,12,12,12
30,12,8,12,12,12
31,12,8,12,12,12
32,12,8,12,12,12
33,12,8,12,12,12
34,12,8,8,12,12
35,12,8,4,6,8
36,12,8,8,6,8
37,12,8,8,8,8
38,12,8,8,8,8
39,12,8,8,8,8
40,12,8,8,8,8
41,12,8,8,8,8
42,12,8,8,8,8
43,12,8,8,8,8
44,12,8,8,4,8
45,12,8,8,4,8
46,12,8,6,4,4
47,12,8,6,4,4
48,12,8,6,4,4
49,12,8,6,4,4
50,12,8,6,4,4
51,12,8,4,4,4
52,12,8,4,4,4
53,12,8,4,4,4
54,12,8,4,4,4
55,12,8,4,4,4
56,12,8,4,4,4
57,12,8,4,4,4
58,12,8,4,4,4
59,12,8,4,4,4
60,12,8,4,4,4
61,12,8,4,4,4
62,12,8,4,4,4
63,12,8,4,4,4
64,12,8,4,4,4
65,12,8,4,4,4
66,12,8,4,4,4
67,12,8,4,4,4
68,12,8,4,4,4
69,12,8,4,4,4
70,12,8,4,4,2
71,12,8,2,4,
72,12,8,,4,
73,12,8,,4,
74,12,8,,4,
75,12,8,,4,
76,12,8,,4,
77,12,8,,4,
78,12,8,,4,
79,12,8,,4,
80,12,8,,4,
81,12,8,,2,
82,12,8,,2,
83,12,8,,,
84,12,8,,,
85,12,8,,,
86,12,8,,,
87,12,8,,,
88,12,8,,,
89,12,8,,,
90,12,8,,,
91,,8,,,
92,,8,,,
93,,8,,,
94,,8,,,
95,,8,,,
96,,8,,,
97,,8,,,
98,,8,,,
99,,8,,,
100,,8,,,
101,,8,,,
102,,8,,,
103,,8,,,
104,,8,,,
105,,8,,,
106,,8,,,
107,,8,,,
108,,8,,,
109,,8,,,
110,,8,,,
111,,8,,,
112,,8,,,
113,,8,,,
114,,8,,,
115,,8,,,
116,,8,,,
117,,8,,,
118,,8,,,
119,,8,,,
120,,8,,,
121,,8,,,
122,,8,,,
123,,8,,,
124,,8,,,
125,,8,,,
126,,8,,,
127,,8,,,
128,,8,,,
129,,8,,,
130,,8,,,
131,,8,,,
132,,8,,,
133,,8,,,
134,,8,,,
135,,8,,,
136,,8,,,
137,,8,,,
138,,8,,,
