                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
  Instructions                       |  100017351 |   96541337 |   96715739 |   96716503 |   96560568 |   96576568 |   96549338 |   96529244 |   96600463 |   96599021 |   96519174 |   96530333 |   96654387 |   96658274 |   96654037 |   96652161 |   96579237 |   96559738 |   96745455 |   96744153 |   96672106 |   96661883 |   96616978 |   96597934 |   96664133 |   96653781 |   96613937 |   96599935 |   96585385 |   96600302 |   96572940 |  100101404
  Cycles                             |  139267080 |  139267080 |  139267080 |  139267080 |  139267080 |  139267080 |  139267080 |  139267080 |  139267080 |  139267080 |  139267080 |  139267080 |  139267080 |  139267080 |  139267080 |  139267080 |  139267080 |  139267080 |  139267080 |  139267080 |  139267080 |  139267080 |  139267080 |  139267080 |  139267080 |  139267080 |  139267080 |  139267080 |  139267080 |  139267080 |  139267080 |  139267080
  IPC                                |       0.72 |       0.69 |       0.69 |       0.69 |       0.69 |       0.69 |       0.69 |       0.69 |       0.69 |       0.69 |       0.69 |       0.69 |       0.69 |       0.69 |       0.69 |       0.69 |       0.69 |       0.69 |       0.69 |       0.69 |       0.69 |       0.69 |       0.69 |       0.69 |       0.69 |       0.69 |       0.69 |       0.69 |       0.69 |       0.69 |       0.69 |       0.72
  Time (ns)                          |   38685300 |   38685300 |   38685300 |   38685300 |   38685300 |   38685300 |   38685300 |   38685300 |   38685300 |   38685300 |   38685300 |   38685300 |   38685300 |   38685300 |   38685300 |   38685300 |   38685300 |   38685300 |   38685300 |   38685300 |   38685300 |   38685300 |   38685300 |   38685300 |   38685300 |   38685300 |   38685300 |   38685300 |   38685300 |   38685300 |   38685300 |   38685300
  Idle time (ns)                     |          1 |         48 |         19 |         43 |         61 |         47 |         57 |         21 |         -0 |         46 |          4 |         87 |         49 |         69 |         68 |         74 |        100 |         -0 |         26 |         -0 |         73 |         97 |         60 |         70 |         47 |         59 |         54 |         73 |         60 |         41 |         45 |         58
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   10179304 |    9820659 |    9838460 |    9838526 |    9822762 |    9824531 |    9821535 |    9819564 |    9827000 |    9826890 |    9818569 |    9819653 |    9832631 |    9832989 |    9832600 |    9832449 |    9824754 |    9822663 |    9841557 |    9841450 |    9834214 |    9833294 |    9828748 |    9826773 |    9833500 |    9832580 |    9828407 |    9826965 |    9825313 |    9826992 |    9824166 |   10187925
  num incorrect                      |     237453 |     229958 |     230355 |     230359 |     229985 |     230002 |     229967 |     229911 |     230053 |     230039 |     229878 |     229914 |     230162 |     230182 |     230162 |     230155 |     230011 |     229985 |     230405 |     230396 |     230227 |     230196 |     230088 |     230038 |     230205 |     230162 |     230085 |     230047 |     230038 |     230052 |     229991 |     237644
  misprediction rate                 |      2.28% |      2.29% |      2.29% |      2.29% |      2.29% |      2.29% |      2.29% |      2.29% |      2.29% |      2.29% |      2.29% |      2.29% |      2.29% |      2.29% |      2.29% |      2.29% |      2.29% |      2.29% |      2.29% |      2.29% |      2.29% |      2.29% |      2.29% |      2.29% |      2.29% |      2.29% |      2.29% |      2.29% |      2.29% |      2.29% |      2.29% |      2.28%
  mpki                               |       2.37 |       2.38 |       2.38 |       2.38 |       2.38 |       2.38 |       2.38 |       2.38 |       2.38 |       2.38 |       2.38 |       2.38 |       2.38 |       2.38 |       2.38 |       2.38 |       2.38 |       2.38 |       2.38 |       2.38 |       2.38 |       2.38 |       2.38 |       2.38 |       2.38 |       2.38 |       2.38 |       2.38 |       2.38 |       2.38 |       2.38 |       2.37
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   10875022 |   10501578 |   10520501 |   10520593 |   10503506 |   10505090 |   10502378 |   10500120 |   10507657 |   10507446 |   10499000 |   10500264 |   10513406 |   10513860 |   10513356 |   10513116 |   10505436 |   10503428 |   10523646 |   10523477 |   10515576 |   10514320 |   10509434 |   10507330 |   10514590 |   10513324 |   10509141 |   10507571 |   10506162 |   10507630 |   10504690 |   10884128
    num misses                       |          9 |          9 |          9 |          9 |          9 |          9 |          9 |          9 |          9 |          9 |          9 |          9 |          9 |          9 |          9 |          9 |          9 |          9 |          9 |          9 |          9 |          9 |          9 |          9 |          9 |          9 |          9 |          9 |          9 |          9 |          9 |          9
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   36800287 |   35527852 |   35592003 |   35592300 |   35534727 |   35540443 |   35530721 |   35523206 |   35549174 |   35548603 |   35519459 |   35523651 |   35568813 |   35570289 |   35568676 |   35567923 |   35541487 |   35534439 |   35602864 |   35602347 |   35575648 |   35571700 |   35555129 |   35548210 |   35572577 |   35568568 |   35554052 |   35548970 |   35543832 |   35549113 |   35539088 |   36830947
    num misses                       |      46125 |      45454 |      45483 |      45483 |      45455 |      45457 |      45454 |      45446 |      45458 |      45458 |      45443 |      45453 |      45466 |      45466 |      45466 |      45464 |      45458 |      45455 |      45488 |      45488 |      45467 |      45466 |      45460 |      45458 |      45466 |      45466 |      45459 |      45458 |      45458 |      45458 |      45457 |      46143
    miss rate                        |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13%
    mpki                             |       0.46 |       0.47 |       0.47 |       0.47 |       0.47 |       0.47 |       0.47 |       0.47 |       0.47 |       0.47 |       0.47 |       0.47 |       0.47 |       0.47 |       0.47 |       0.47 |       0.47 |       0.47 |       0.47 |       0.47 |       0.47 |       0.47 |       0.47 |       0.47 |       0.47 |       0.47 |       0.47 |       0.47 |       0.47 |       0.47 |       0.47 |       0.46
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      46134 |      45463 |      45492 |      45492 |      45464 |      45466 |      45463 |      45455 |      45467 |      45467 |      45452 |      45462 |      45475 |      45475 |      45475 |      45473 |      45467 |      45464 |      45497 |      45497 |      45476 |      45475 |      45469 |      45467 |      45475 |      45475 |      45468 |      45467 |      45467 |      45467 |      45466 |      46152
    num misses                       |       3822 |       3772 |       3775 |       3775 |       3772 |       3772 |       3772 |       3772 |       3772 |       3772 |       3772 |       3772 |       3773 |       3773 |       3773 |       3773 |       3772 |       3772 |       3775 |       3775 |       3773 |       3773 |       3773 |       3772 |       3773 |       3773 |       3773 |       3772 |       3772 |       3772 |       3772 |       3824
    miss rate                        |      8.28% |      8.30% |      8.30% |      8.30% |      8.30% |      8.30% |      8.30% |      8.30% |      8.30% |      8.30% |      8.30% |      8.30% |      8.30% |      8.30% |      8.30% |      8.30% |      8.30% |      8.30% |      8.30% |      8.30% |      8.30% |      8.30% |      8.30% |      8.30% |      8.30% |      8.30% |      8.30% |      8.30% |      8.30% |      8.30% |      8.30% |      8.29%
    mpki                             |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   10875022 |   10501578 |   10520501 |   10520593 |   10503506 |   10505090 |   10502378 |   10500120 |   10507657 |   10507446 |   10499000 |   10500264 |   10513406 |   10513860 |   10513356 |   10513116 |   10505436 |   10503428 |   10523646 |   10523477 |   10515576 |   10514320 |   10509434 |   10507330 |   10514590 |   10513324 |   10509141 |   10507571 |   10506162 |   10507630 |   10504690 |   10884128
    num cache misses                 |       6415 |       6370 |       5301 |       5311 |       5410 |       5474 |       5475 |       5393 |       5332 |       5388 |       5425 |       5497 |       5398 |       5342 |       5402 |       5420 |       5459 |       5393 |       5304 |       5291 |       5380 |       5326 |       5472 |       5405 |       5373 |       5312 |       5429 |       5367 |       5374 |       5429 |       6368 |       6435
    miss rate                        |      0.06% |      0.06% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.06% |      0.06%
    mpki                             |       0.06 |       0.07 |       0.05 |       0.05 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.05 |       0.05 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.05 |       0.06 |       0.06 |       0.06 |       0.06 |       0.07 |       0.06
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   36800287 |   35527852 |   35592003 |   35592300 |   35534727 |   35540443 |   35530721 |   35523206 |   35549174 |   35548603 |   35519459 |   35523651 |   35568813 |   35570289 |   35568676 |   35567923 |   35541487 |   35534439 |   35602864 |   35602347 |   35575648 |   35571700 |   35555129 |   35548210 |   35572577 |   35568568 |   35554052 |   35548970 |   35543832 |   35549113 |   35539088 |   36830947
    num cache misses                 |    1155243 |    1115264 |    1116447 |    1116426 |    1114772 |    1115071 |    1114758 |    1114509 |    1115216 |    1115247 |    1114359 |    1114560 |    1115870 |    1115865 |    1115916 |    1115898 |    1115080 |    1114774 |    1116746 |    1116725 |    1116060 |    1115853 |    1115547 |    1115255 |    1115984 |    1115785 |    1115441 |    1115187 |    1115032 |    1115297 |    1115648 |    1156224
