                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
    num accesses                     |   62506226 |   62500178 |   62502088 |   62502026 |   62501121 |   62501113 |   62500684 |   62502150 |   62504948 |   62503645 |   62504223 |   62501162 |   62502817 |   62503722 |   62504893 |   62501243 |   62500648 |   62500808 |   62503732 |   62500116 |   62504973 |   62501411 |   62501459 |   62500695 |   62501876 |   62500369 |   62503619 |   62500186 |   62505234 |   62504835 |   62503565 |   62507015
    num misses                       |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16
    num misses                       |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16
    miss rate                        |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   14470562 |   14469257 |   14469633 |   14469624 |   14469453 |   14469452 |   14469360 |   14469644 |   14470300 |   14469960 |   14470116 |   14469461 |   14469769 |   14469975 |   14470287 |   14469476 |   14469354 |   14469385 |   14469980 |   14469247 |   14470305 |   14469508 |   14469517 |   14469361 |   14469592 |   14469293 |   14469957 |   14469259 |   14470357 |   14470266 |   14469936 |   14470711
    num cache misses                 |        320 |        320 |        320 |        320 |        320 |        320 |        320 |        320 |        320 |        320 |        320 |        320 |        320 |        320 |        320 |        320 |        320 |        320 |        320 |        320 |        320 |        320 |        320 |        320 |        320 |        320 |        320 |        320 |        320 |        320 |        320 |        320
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   62506226 |   62500178 |   62502088 |   62502026 |   62501121 |   62501113 |   62500684 |   62502150 |   62504948 |   62503645 |   62504223 |   62501162 |   62502817 |   62503722 |   62504893 |   62501243 |   62500648 |   62500808 |   62503732 |   62500116 |   62504973 |   62501411 |   62501459 |   62500695 |   62501876 |   62500369 |   62503619 |   62500186 |   62505234 |   62504835 |   62503565 |   62507015
    num cache misses                 |        200 |        200 |        200 |        200 |        200 |        200 |        200 |        200 |        200 |        200 |        200 |        200 |        200 |        200 |        200 |        200 |        200 |        200 |        200 |        200 |        200 |        200 |        200 |        200 |        200 |        200 |        200 |        200 |        200 |        200 |        200 |        200
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |        622 |        622 |        622 |        622 |        622 |        622 |        622 |        622 |        622 |        622 |        622 |        622 |        622 |        622 |        622 |        622 |        622 |        622 |        622 |        622 |        622 |        622 |        622 |        622 |        622 |        622 |        622 |        622 |        622 |        622 |        622 |        622
    num cache misses                 |        520 |        520 |        520 |        520 |        520 |        520 |        520 |        520 |        520 |        520 |        520 |        520 |        520 |        520 |        520 |        520 |        520 |        520 |        520 |        520 |        520 |        520 |        520 |        520 |        520 |        520 |        520 |        520 |        520 |        520 |        520 |        520
    miss rate                        |     83.60% |     83.60% |     83.60% |     83.60% |     83.60% |     83.60% |     83.60% |     83.60% |     83.60% |     83.60% |     83.60% |     83.60% |     83.60% |     83.60% |     83.60% |     83.60% |     83.60% |     83.60% |     83.60% |     83.60% |     83.60% |     83.60% |     83.60% |     83.60% |     83.60% |     83.60% |     83.60% |     83.60% |     83.60% |     83.60% |     83.60% |     83.60%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |        622 |        622 |        622 |        622 |        622 |        622 |        622 |        622 |        622 |        622 |        622 |        622 |        622 |        622 |        622 |        622 |        622 |        622 |        622 |        622 |        622 |        622 |        622 |        622 |        622 |        622 |        622 |        622 |        622 |        622 |        622 |        622
    num cache misses                 |        520 |        520 |        520 |        520 |        520 |        520 |        520 |        520 |        520 |        520 |        520 |        520 |        520 |        520 |        520 |        520 |        520 |        520 |        520 |        520 |        520 |        520 |        520 |        520 |        520 |        520 |        520 |        520 |        520 |        520 |        520 |        520
    miss rate                        |     83.60% |     83.60% |     83.60% |     83.60% |     83.60% |     83.60% |     83.60% |     83.60% |     83.60% |     83.60% |     83.60% |     83.60% |     83.60% |     83.60% |     83.60% |     83.60% |     83.60% |     83.60% |     83.60% |     83.60% |     83.60% |     83.60% |     83.60% |     83.60% |     83.60% |     83.60% |     83.60% |     83.60% |     83.60% |     83.60% |     83.60% |     83.60%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |       1040 |          0 |       1040 |          0 |       1040 |          0 |       1040 |          0 |       1040 |          0 |       1040 |          0 |       1040 |          0 |       1040 |          0 |       1040 |          0 |       1040 |          0 |       1040 |          0 |       1040 |          0 |       1040 |          0 |       1040 |          0 |       1040 |          0 |       1040 |          0
  average dram access latency (ns)   |      84.89 |        inf |      81.40 |        inf |      75.93 |        inf |      81.39 |        inf |      76.89 |        inf |      78.05 |        inf |      81.97 |        inf |      80.54 |        inf |      74.38 |        inf |      76.62 |        inf |      76.44 |        inf |      78.98 |        inf |      74.92 |        inf |      75.53 |        inf |      73.88 |        inf |      80.20 |        inf
  average dram queueing delay        |      47.46 |       0.00 |      43.97 |       0.00 |      38.50 |       0.00 |      43.96 |       0.00 |      39.46 |       0.00 |      40.62 |       0.00 |      44.54 |       0.00 |      43.11 |       0.00 |      36.95 |       0.00 |      39.19 |       0.00 |      39.01 |       0.00 |      41.55 |       0.00 |      37.49 |       0.00 |      38.10 |       0.00 |      36.45 |       0.00 |      42.77 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |        113 |        113 |        113 |        113 |        113 |        113 |        113 |        113 |        113 |        113 |        113 |        113 |        113 |        113 |        113 |        113 |        113 |        113 |        113 |        113 |        113 |        113 |        113 |        113 |        113 |        113 |        113 |        113 |        113 |        113 |        113 |        113
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
