                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
  Instructions                       |  100101362 |  100045274 |  100055099 |  100052280 |  100057428 |  100061765 |  100062524 |  100055871 |  100058642 |  100054844 |  100056071 |  100058210 |  100052617 |  100049399 |  100069151 |  100070908 |  100067268 |  100049411 |  100062545 |  100050667 |  100058126 |  100058581 |  100062426 |  100057940 |  100062478 |  100057799 |  100055119 |  100059584 |  100056698 |  100042136 |  100067752 |  100099346
  Cycles                             |   73621800 |   73621800 |   73621800 |   73621800 |   73621800 |   73621800 |   73621800 |   73621800 |   73621800 |   73621800 |   73621800 |   73621800 |   73621800 |   73621800 |   73621800 |   73621800 |   73621800 |   73621800 |   73621800 |   73621800 |   73621800 |   73621800 |   73621800 |   73621800 |   73621800 |   73621800 |   73621800 |   73621800 |   73621800 |   73621800 |   73621800 |   73621800
  IPC                                |       1.36 |       1.36 |       1.36 |       1.36 |       1.36 |       1.36 |       1.36 |       1.36 |       1.36 |       1.36 |       1.36 |       1.36 |       1.36 |       1.36 |       1.36 |       1.36 |       1.36 |       1.36 |       1.36 |       1.36 |       1.36 |       1.36 |       1.36 |       1.36 |       1.36 |       1.36 |       1.36 |       1.36 |       1.36 |       1.36 |       1.36 |       1.36
  Time (ns)                          |   20450500 |   20450500 |   20450500 |   20450500 |   20450500 |   20450500 |   20450500 |   20450500 |   20450500 |   20450500 |   20450500 |   20450500 |   20450500 |   20450500 |   20450500 |   20450500 |   20450500 |   20450500 |   20450500 |   20450500 |   20450500 |   20450500 |   20450500 |   20450500 |   20450500 |   20450500 |   20450500 |   20450500 |   20450500 |   20450500 |   20450500 |   20450500
  Idle time (ns)                     |         -4 |         -8 |        -23 |        -19 |         -0 |        -12 |        -26 |        -22 |         -7 |        -19 |         -6 |        -24 |        -21 |        -31 |        -11 |        -21 |         -9 |        -13 |        -20 |         -6 |        -29 |         -7 |        -28 |         -6 |        -21 |        -20 |        -26 |        -15 |         -7 |        -20 |         -7 |        -24
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    8619602 |    8615023 |    8615767 |    8615557 |    8616001 |    8616391 |    8616455 |    8615829 |    8616116 |    8615748 |    8615854 |    8616071 |    8615586 |    8615337 |    8616969 |    8617090 |    8616817 |    8615338 |    8616458 |    8615446 |    8616057 |    8616112 |    8616446 |    8616049 |    8616452 |    8616042 |    8615767 |    8616227 |    8615923 |    8614795 |    8616861 |    8619437
  num incorrect                      |     610308 |     610042 |     610084 |     610071 |     610098 |     610123 |     610130 |     610087 |     610108 |     610081 |     610088 |     610107 |     610072 |     610056 |     610156 |     610166 |     610149 |     610056 |     610130 |     610064 |     610105 |     610108 |     610128 |     610102 |     610130 |     610102 |     610084 |     610112 |     610091 |     610018 |     610152 |     610298
  misprediction rate                 |      6.61% |      6.61% |      6.61% |      6.61% |      6.61% |      6.61% |      6.61% |      6.61% |      6.61% |      6.61% |      6.61% |      6.61% |      6.61% |      6.61% |      6.61% |      6.61% |      6.61% |      6.61% |      6.61% |      6.61% |      6.61% |      6.61% |      6.61% |      6.61% |      6.61% |      6.61% |      6.61% |      6.61% |      6.61% |      6.61% |      6.61% |      6.61%
