                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
  Instructions                       |  100096795 |  100094717 |  100091583 |  100088385 |  100088649 |  100088773 |  100091782 |  100090253 |  100091408 |  100087610 |  100089631 |  100087827 |  100091046 |  100089942 |  100087252 |  100092815 |  100091009 |  100091489 |  100090905 |  100086523 |  100090476 |  100091001 |  100090950 |  100090925 |  100089629 |  100087452 |  100091381 |  100087217 |  100092834 |  100089331 |  100085291 |  100101407
  Cycles                             |   71325720 |   71325720 |   71325720 |   71325720 |   71325720 |   71325720 |   71325720 |   71325720 |   71325720 |   71325720 |   71325720 |   71325720 |   71325720 |   71325720 |   71325720 |   71325720 |   71325720 |   71325720 |   71325720 |   71325720 |   71325720 |   71325720 |   71325720 |   71325720 |   71325720 |   71325720 |   71325720 |   71325720 |   71325720 |   71325720 |   71325720 |   71325720
  IPC                                |       1.40 |       1.40 |       1.40 |       1.40 |       1.40 |       1.40 |       1.40 |       1.40 |       1.40 |       1.40 |       1.40 |       1.40 |       1.40 |       1.40 |       1.40 |       1.40 |       1.40 |       1.40 |       1.40 |       1.40 |       1.40 |       1.40 |       1.40 |       1.40 |       1.40 |       1.40 |       1.40 |       1.40 |       1.40 |       1.40 |       1.40 |       1.40
  Time (ns)                          |   19812700 |   19812700 |   19812700 |   19812700 |   19812700 |   19812700 |   19812700 |   19812700 |   19812700 |   19812700 |   19812700 |   19812700 |   19812700 |   19812700 |   19812700 |   19812700 |   19812700 |   19812700 |   19812700 |   19812700 |   19812700 |   19812700 |   19812700 |   19812700 |   19812700 |   19812700 |   19812700 |   19812700 |   19812700 |   19812700 |   19812700 |   19812700
  Idle time (ns)                     |        -52 |        -50 |        -60 |        -66 |        -39 |        -47 |        -56 |        -46 |        -80 |        -44 |        -41 |        -39 |        -50 |        -54 |        -97 |        -48 |        -54 |         -4 |        -73 |        -79 |        -56 |        -48 |        -57 |        -60 |        -48 |        -56 |        -73 |        -85 |        -57 |        -90 |        -62 |        -44
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    8484897 |    8484711 |    8484468 |    8484217 |    8484232 |    8484241 |    8484478 |    8484359 |    8484451 |    8484164 |    8484314 |    8484174 |    8484416 |    8484338 |    8484127 |    8484555 |    8484415 |    8484459 |    8484410 |    8484079 |    8484377 |    8484415 |    8484413 |    8484410 |    8484314 |    8484152 |    8484450 |    8484125 |    8484556 |    8484295 |    8483953 |    8485345
  num incorrect                      |     532130 |     532123 |     532117 |     532098 |     532098 |     532101 |     532117 |     532108 |     532116 |     532096 |     532108 |     532096 |     532114 |     532108 |     532095 |     532120 |     532113 |     532117 |     532112 |     532092 |     532110 |     532113 |     532112 |     532112 |     532108 |     532096 |     532115 |     532095 |     532121 |     532106 |     532086 |     532164
  misprediction rate                 |      5.90% |      5.90% |      5.90% |      5.90% |      5.90% |      5.90% |      5.90% |      5.90% |      5.90% |      5.90% |      5.90% |      5.90% |      5.90% |      5.90% |      5.90% |      5.90% |      5.90% |      5.90% |      5.90% |      5.90% |      5.90% |      5.90% |      5.90% |      5.90% |      5.90% |      5.90% |      5.90% |      5.90% |      5.90% |      5.90% |      5.90% |      5.90%
