                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
    num accesses                     |   46987858 |   46229159 |   46130879 |   46073743 |   46195637 |   46262623 |   46193888 |   46121642 |   46273248 |   46217444 |   46160546 |   46228186 |   46176318 |   46122512 |   46295606 |   46089821 |   46024379 |   46376864 |   46187444 |   46122239 |   46220054 |   46154201 |   46133073 |   46193595 |   46113281 |   46196498 |   46238191 |   46175425 |   46199719 |   46123034 |   46294868 |   46906205
    num misses                       |     126281 |     124622 |     124388 |     124247 |     124534 |     124703 |     124530 |     124362 |     124733 |     124591 |     124456 |     124620 |     124493 |     124365 |     124781 |     124285 |     124114 |     124981 |     124518 |     124365 |     124595 |     124442 |     124391 |     124528 |     124344 |     124535 |     124641 |     124488 |     124545 |     124366 |     124778 |     126128
    miss rate                        |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27%
    mpki                             |       1.26 |       1.27 |       1.27 |       1.27 |       1.27 |       1.27 |       1.27 |       1.27 |       1.27 |       1.27 |       1.27 |       1.27 |       1.27 |       1.27 |       1.27 |       1.27 |       1.27 |       1.27 |       1.27 |       1.27 |       1.27 |       1.27 |       1.27 |       1.27 |       1.27 |       1.27 |       1.27 |       1.27 |       1.27 |       1.27 |       1.27 |       1.26
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |     126283 |     124624 |     124390 |     124249 |     124536 |     124705 |     124532 |     124364 |     124735 |     124593 |     124458 |     124622 |     124495 |     124367 |     124783 |     124287 |     124116 |     124983 |     124520 |     124367 |     124597 |     124444 |     124393 |     124530 |     124346 |     124537 |     124643 |     124490 |     124547 |     124368 |     124780 |     126130
    num misses                       |      68539 |      67639 |      67512 |      67435 |      67592 |      67683 |      67589 |      67497 |      67699 |      67621 |      67549 |      67637 |      67569 |      67499 |      67725 |      67457 |      67363 |      67833 |      67583 |      67499 |      67624 |      67541 |      67513 |      67589 |      67488 |      67593 |      67649 |      67565 |      67597 |      67500 |      67724 |      68455
    miss rate                        |     54.27% |     54.27% |     54.27% |     54.27% |     54.28% |     54.27% |     54.27% |     54.27% |     54.27% |     54.27% |     54.27% |     54.27% |     54.27% |     54.27% |     54.27% |     54.28% |     54.27% |     54.27% |     54.27% |     54.27% |     54.27% |     54.27% |     54.27% |     54.28% |     54.27% |     54.28% |     54.27% |     54.27% |     54.27% |     54.27% |     54.27% |     54.27%
    mpki                             |       0.68 |       0.69 |       0.69 |       0.69 |       0.69 |       0.69 |       0.69 |       0.69 |       0.69 |       0.69 |       0.69 |       0.69 |       0.69 |       0.69 |       0.69 |       0.69 |       0.69 |       0.69 |       0.69 |       0.69 |       0.69 |       0.69 |       0.69 |       0.69 |       0.69 |       0.69 |       0.69 |       0.69 |       0.69 |       0.69 |       0.69 |       0.69
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
