                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
    num accesses                     |   53173775 |   52811140 |   52842852 |   52854998 |   52838713 |   52853126 |   52836528 |   52826703 |   52826878 |   52848679 |   52850916 |   52847965 |   52850500 |   52855603 |   52876159 |   52865972 |   52878522 |   52873902 |   52830372 |   52844547 |   52846748 |   52843776 |   52836185 |   52827097 |   52830629 |   52835866 |   52834580 |   52812432 |   52843717 |   52851198 |   52797104 |   53175136
    num misses                       |       9754 |       9683 |       9684 |       9684 |       9684 |       9684 |       9684 |       9683 |       9683 |       9684 |       9684 |       9684 |       9684 |       9684 |       9690 |       9684 |       9690 |       9690 |       9683 |       9684 |       9684 |       9684 |       9684 |       9683 |       9683 |       9684 |       9683 |       9683 |       9684 |       9684 |       9683 |       9754
    miss rate                        |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       9954 |       9883 |       9884 |       9884 |       9884 |       9884 |       9884 |       9883 |       9883 |       9884 |       9884 |       9884 |       9884 |       9884 |       9890 |       9884 |       9890 |       9890 |       9883 |       9884 |       9884 |       9884 |       9884 |       9883 |       9883 |       9884 |       9883 |       9883 |       9884 |       9884 |       9883 |       9954
    num misses                       |       1199 |       1193 |       1193 |       1193 |       1193 |       1193 |       1193 |       1193 |       1193 |       1193 |       1193 |       1193 |       1193 |       1193 |       1194 |       1193 |       1194 |       1194 |       1193 |       1193 |       1193 |       1193 |       1193 |       1193 |       1193 |       1193 |       1193 |       1193 |       1193 |       1193 |       1193 |       1199
    miss rate                        |     12.05% |     12.07% |     12.07% |     12.07% |     12.07% |     12.07% |     12.07% |     12.07% |     12.07% |     12.07% |     12.07% |     12.07% |     12.07% |     12.07% |     12.07% |     12.07% |     12.07% |     12.07% |     12.07% |     12.07% |     12.07% |     12.07% |     12.07% |     12.07% |     12.07% |     12.07% |     12.07% |     12.07% |     12.07% |     12.07% |     12.07% |     12.05%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
