                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
  Instructions                       |  100101393 |   91887322 |   91932981 |   91927375 |   91922185 |   91942942 |   91919526 |   91923657 |   91921508 |   91943624 |   91945106 |   91986410 |   91931793 |   91922860 |   91954109 |   91433185 |   91409741 |   91952653 |   91937614 |   91930484 |   91943810 |   91947614 |   91910024 |   91918965 |   91904064 |   91947733 |   91960777 |   91992454 |   91903242 |   91898002 |   91873108 |  100060695
  Cycles                             |  143567280 |  143567280 |  143567280 |  143567280 |  143567280 |  143567280 |  143567280 |  143567280 |  143567280 |  143567280 |  143567280 |  143567280 |  143567280 |  143567280 |  143567280 |  143567280 |  143567280 |  143567280 |  143567280 |  143567280 |  143567280 |  143567280 |  143567280 |  143567280 |  143567280 |  143567280 |  143567280 |  143567280 |  143567280 |  143567280 |  143567280 |  143567280
  IPC                                |       0.70 |       0.64 |       0.64 |       0.64 |       0.64 |       0.64 |       0.64 |       0.64 |       0.64 |       0.64 |       0.64 |       0.64 |       0.64 |       0.64 |       0.64 |       0.64 |       0.64 |       0.64 |       0.64 |       0.64 |       0.64 |       0.64 |       0.64 |       0.64 |       0.64 |       0.64 |       0.64 |       0.64 |       0.64 |       0.64 |       0.64 |       0.70
  Time (ns)                          |   39879800 |   39879800 |   39879800 |   39879800 |   39879800 |   39879800 |   39879800 |   39879800 |   39879800 |   39879800 |   39879800 |   39879800 |   39879800 |   39879800 |   39879800 |   39879800 |   39879800 |   39879800 |   39879800 |   39879800 |   39879800 |   39879800 |   39879800 |   39879800 |   39879800 |   39879800 |   39879800 |   39879800 |   39879800 |   39879800 |   39879800 |   39879800
  Idle time (ns)                     |         55 |         68 |        -19 |         27 |         71 |          6 |         15 |         64 |         15 |         46 |         -0 |        -16 |         46 |         29 |         39 |        -14 |         25 |         84 |          3 |         42 |         74 |         -3 |         33 |         57 |         61 |         79 |         81 |         58 |         25 |         74 |         13 |         27
  Idle time (%)                      |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   12799055 |   11718465 |   11724527 |   11723784 |   11723095 |   11725847 |   11722740 |   11723290 |   11723005 |   11725937 |   11726136 |   11731514 |   11724370 |   11723184 |   11727331 |   11658406 |   11655294 |   11727137 |   11725142 |   11724194 |   11725964 |   11726470 |   11721479 |   11722666 |   11720687 |   11726486 |   11728216 |   11732317 |   11720579 |   11719885 |   11716577 |   12793679
  num incorrect                      |      54713 |      53972 |      53972 |      53972 |      53972 |      53972 |      53972 |      53972 |      53972 |      53972 |      53972 |      53983 |      53972 |      53972 |      53972 |      53954 |      53954 |      53972 |      53972 |      53972 |      53972 |      53972 |      53972 |      53972 |      53972 |      53972 |      53972 |      53983 |      53972 |      53972 |      53972 |      54712
  misprediction rate                 |      0.43% |      0.46% |      0.46% |      0.46% |      0.46% |      0.46% |      0.46% |      0.46% |      0.46% |      0.46% |      0.46% |      0.46% |      0.46% |      0.46% |      0.46% |      0.46% |      0.46% |      0.46% |      0.46% |      0.46% |      0.46% |      0.46% |      0.46% |      0.46% |      0.46% |      0.46% |      0.46% |      0.46% |      0.46% |      0.46% |      0.46% |      0.43%
