                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
    num accesses                     |   21144430 |   21101334 |   21051382 |   21047958 |   21038543 |   21039425 |   21063444 |   21068784 |   21067487 |   21066606 |   21075952 |   21075550 |   21113807 |   21114162 |   21089338 |   21086300 |   21081314 |   21079058 |   21052229 |   21042686 |   21044643 |   21043081 |   21081255 |   21081711 |   21074263 |   21070554 |   21115027 |   21115655 |   21078430 |   21077914 |   21077327 |   21130631
    num misses                       |      56766 |      56649 |      56515 |      56507 |      56482 |      56485 |      56547 |      56561 |      56557 |      56554 |      56580 |      56579 |      56680 |      56683 |      56619 |      56610 |      56593 |      56587 |      56516 |      56493 |      56498 |      56494 |      56592 |      56593 |      56575 |      56566 |      56684 |      56686 |      56585 |      56584 |      56582 |      56725
    miss rate                        |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27% |      0.27%
    mpki                             |       0.57 |       0.57 |       0.57 |       0.57 |       0.57 |       0.57 |       0.57 |       0.57 |       0.57 |       0.57 |       0.57 |       0.57 |       0.57 |       0.57 |       0.57 |       0.57 |       0.57 |       0.57 |       0.57 |       0.57 |       0.57 |       0.57 |       0.57 |       0.57 |       0.57 |       0.57 |       0.57 |       0.57 |       0.57 |       0.57 |       0.57 |       0.57
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      56780 |      56663 |      56529 |      56521 |      56496 |      56499 |      56561 |      56575 |      56571 |      56568 |      56594 |      56593 |      56694 |      56697 |      56633 |      56624 |      56607 |      56601 |      56530 |      56507 |      56512 |      56508 |      56606 |      56607 |      56589 |      56580 |      56698 |      56700 |      56599 |      56598 |      56596 |      56739
    num misses                       |       2623 |       2622 |       2620 |       2620 |       2620 |       2620 |       2620 |       2620 |       2620 |       2620 |       2620 |       2620 |       2622 |       2622 |       2621 |       2621 |       2621 |       2621 |       2620 |       2620 |       2620 |       2620 |       2621 |       2621 |       2620 |       2620 |       2622 |       2622 |       2621 |       2621 |       2621 |       2622
    miss rate                        |      4.62% |      4.63% |      4.63% |      4.64% |      4.64% |      4.64% |      4.63% |      4.63% |      4.63% |      4.63% |      4.63% |      4.63% |      4.62% |      4.62% |      4.63% |      4.63% |      4.63% |      4.63% |      4.63% |      4.64% |      4.64% |      4.64% |      4.63% |      4.63% |      4.63% |      4.63% |      4.62% |      4.62% |      4.63% |      4.63% |      4.63% |      4.62%
    mpki                             |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    8414662 |    8397385 |    8377359 |    8375986 |    8372210 |    8372563 |    8382197 |    8384339 |    8383819 |    8383465 |    8387214 |    8387052 |    8402388 |    8402531 |    8392574 |    8391355 |    8389364 |    8388460 |    8377699 |    8373871 |    8374656 |    8374030 |    8389340 |    8389523 |    8386536 |    8385049 |    8402877 |    8403129 |    8388207 |    8388000 |    8387765 |    8409136
    num cache misses                 |       1171 |       1157 |       1160 |       1166 |       1196 |       1154 |       1105 |       1151 |       1149 |       1124 |       1126 |       1125 |        968 |        978 |       1096 |       1063 |       1139 |       1104 |       1208 |       1165 |       1187 |       1171 |       1054 |       1071 |       1136 |       1090 |        959 |        962 |       1138 |       1127 |       1139 |       1189
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   21144430 |   21101334 |   21051382 |   21047958 |   21038543 |   21039425 |   21063444 |   21068784 |   21067487 |   21066606 |   21075952 |   21075550 |   21113807 |   21114162 |   21089338 |   21086300 |   21081314 |   21079058 |   21052229 |   21042686 |   21044643 |   21043081 |   21081255 |   21081711 |   21074263 |   21070554 |   21115027 |   21115655 |   21078430 |   21077914 |   21077327 |   21130631
    num cache misses                 |    1184404 |    1182171 |    1179595 |    1179420 |    1178934 |    1178977 |    1180211 |    1180487 |    1180421 |    1180381 |    1180857 |    1180833 |    1182813 |    1182833 |    1181555 |    1181400 |    1181137 |    1181018 |    1179636 |    1179147 |    1179248 |    1179166 |    1181127 |    1181152 |    1180768 |    1180575 |    1182874 |    1182908 |    1180983 |    1180962 |    1180926 |    1183682
    miss rate                        |      5.60% |      5.60% |      5.60% |      5.60% |      5.60% |      5.60% |      5.60% |      5.60% |      5.60% |      5.60% |      5.60% |      5.60% |      5.60% |      5.60% |      5.60% |      5.60% |      5.60% |      5.60% |      5.60% |      5.60% |      5.60% |      5.60% |      5.60% |      5.60% |      5.60% |      5.60% |      5.60% |      5.60% |      5.60% |      5.60% |      5.60% |      5.60%
    mpki                             |      11.83 |      11.83 |      11.84 |      11.84 |      11.84 |      11.84 |      11.84 |      11.84 |      11.84 |      11.84 |      11.84 |      11.84 |      11.83 |      11.83 |      11.83 |      11.84 |      11.84 |      11.84 |      11.84 |      11.84 |      11.84 |      11.84 |      11.84 |      11.84 |      11.84 |      11.84 |      11.83 |      11.83 |      11.84 |      11.84 |      11.84 |      11.83
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1185734 |    1183478 |    1180927 |    1180770 |    1180291 |    1180309 |    1181509 |    1181820 |    1181748 |    1181687 |    1182172 |    1182150 |    1183930 |    1183960 |    1182823 |    1182624 |    1182462 |    1182318 |    1181006 |    1180504 |    1180625 |    1180529 |    1182339 |    1182381 |    1182067 |    1181847 |    1183970 |    1184008 |    1182297 |    1182266 |    1182264 |    1185051
    num cache misses                 |     131947 |     132157 |     132301 |     132616 |     132825 |     132228 |     131687 |     131929 |     131910 |     131836 |     131732 |     131738 |     130581 |     130596 |     131401 |     131324 |     131881 |     131688 |     132724 |     132534 |     132721 |     132359 |     131209 |     131264 |     131794 |     131556 |     130504 |     130517 |     131833 |     131769 |     131891 |     132288
    miss rate                        |     11.13% |     11.17% |     11.20% |     11.23% |     11.25% |     11.20% |     11.15% |     11.16% |     11.16% |     11.16% |     11.14% |     11.14% |     11.03% |     11.03% |     11.11% |     11.10% |     11.15% |     11.14% |     11.24% |     11.23% |     11.24% |     11.21% |     11.10% |     11.10% |     11.15% |     11.13% |     11.02% |     11.02% |     11.15% |     11.15% |     11.16% |     11.16%
    mpki                             |       1.32 |       1.32 |       1.33 |       1.33 |       1.33 |       1.33 |       1.32 |       1.32 |       1.32 |       1.32 |       1.32 |       1.32 |       1.31 |       1.31 |       1.32 |       1.32 |       1.32 |       1.32 |       1.33 |       1.33 |       1.33 |       1.33 |       1.31 |       1.32 |       1.32 |       1.32 |       1.31 |       1.31 |       1.32 |       1.32 |       1.32 |       1.32
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     132106 |     132307 |     132473 |     132800 |     132986 |     132406 |     131880 |     132111 |     132088 |     132018 |     131921 |     131930 |     130730 |     130745 |     131573 |     131485 |     132067 |     131884 |     132886 |     132726 |     132911 |     132551 |     131367 |     131422 |     131957 |     131738 |     130641 |     130655 |     132009 |     131946 |     132090 |     132468
    num cache misses                 |     131281 |     130964 |     131693 |     131904 |     131991 |     131955 |     131477 |     131164 |     131356 |     131496 |     131433 |     131409 |     130550 |     130548 |     130883 |     131011 |     131361 |     131527 |     131451 |     132293 |     132064 |     131746 |     131130 |     131095 |     131245 |     131468 |     130471 |     130483 |     131325 |     131382 |     131326 |     131140
    miss rate                        |     99.38% |     98.98% |     99.41% |     99.33% |     99.25% |     99.66% |     99.69% |     99.28% |     99.45% |     99.60% |     99.63% |     99.61% |     99.86% |     99.85% |     99.48% |     99.64% |     99.47% |     99.73% |     98.92% |     99.67% |     99.36% |     99.39% |     99.82% |     99.75% |     99.46% |     99.80% |     99.87% |     99.87% |     99.48% |     99.57% |     99.42% |     99.00%
    mpki                             |       1.31 |       1.31 |       1.32 |       1.32 |       1.33 |       1.32 |       1.32 |       1.32 |       1.32 |       1.32 |       1.32 |       1.32 |       1.31 |       1.31 |       1.31 |       1.31 |       1.32 |       1.32 |       1.32 |       1.33 |       1.33 |       1.32 |       1.31 |       1.31 |       1.32 |       1.32 |       1.31 |       1.31 |       1.32 |       1.32 |       1.32 |       1.31
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     381749 |          0 |     381619 |          0 |     382258 |          0 |     383349 |          0 |     383184 |          0 |     382848 |          0 |     381734 |          0 |     381359 |          0 |     381709 |          0 |     382102 |          0 |     381004 |          0 |     380992 |          0 |     380968 |          0 |     381027 |          0 |     381357 |          0 |     381264 |          0
  average dram access latency (ns)   |     475.14 |        inf |     474.71 |        inf |     476.63 |        inf |     468.75 |        inf |     468.43 |        inf |     476.61 |        inf |     475.20 |        inf |     476.54 |        inf |     475.26 |        inf |     471.55 |        inf |     475.38 |        inf |     474.32 |        inf |     474.30 |        inf |     474.28 |        inf |     476.47 |        inf |     476.22 |        inf
  average dram queueing delay        |     437.71 |       0.00 |     437.28 |       0.00 |     439.20 |       0.00 |     431.32 |       0.00 |     431.00 |       0.00 |     439.18 |       0.00 |     437.77 |       0.00 |     439.11 |       0.00 |     437.83 |       0.00 |     434.12 |       0.00 |     437.95 |       0.00 |     436.89 |       0.00 |     436.87 |       0.00 |     436.85 |       0.00 |     439.04 |       0.00 |     438.79 |       0.00
  average dram bandwidth utilization |     12.00% |      0.00% |     12.00% |      0.00% |     12.00% |      0.00% |     12.00% |      0.00% |     12.00% |      0.00% |     12.00% |      0.00% |     12.00% |      0.00% |     12.00% |      0.00% |     12.00% |      0.00% |     12.00% |      0.00% |     12.00% |      0.00% |     12.00% |      0.00% |     12.00% |      0.00% |     12.00% |      0.00% |     12.00% |      0.00% |     12.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |      70888 |      70565 |      71259 |      71495 |      71566 |      71485 |      71029 |      70775 |      70944 |      71050 |      71000 |      70981 |      70202 |      70204 |      70518 |      70615 |      70931 |      71063 |      71031 |      71834 |      71628 |      71292 |      70721 |      70697 |      70826 |      71016 |      70132 |      70139 |      70901 |      70944 |      70903 |      70757
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
