                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31    | Core 32    | Core 33    | Core 34    | Core 35    | Core 36    | Core 37    | Core 38    | Core 39    | Core 40    | Core 41    | Core 42    | Core 43    | Core 44    | Core 45    | Core 46    | Core 47    | Core 48    | Core 49    | Core 50    | Core 51    | Core 52    | Core 53    | Core 54    | Core 55    | Core 56    | Core 57    | Core 58    | Core 59    | Core 60    | Core 61    | Core 62    | Core 63   
  Instructions                       |   49892071 |   49882487 |   48283513 |   48301389 |   48582217 |   48555721 |   48565479 |   48575349 |   48607420 |   48603229 |   48597637 |   48601369 |   48634183 |   48641307 |   48640445 |   48637876 |   48663285 |   48661740 |   48661637 |   48666504 |   48603924 |   48601693 |   48614930 |   48590555 |   48602176 |   48595817 |   48613356 |   48605032 |   48627645 |   48632749 |   48627388 |   48631245 |   99982988 |   99989708 |   99992414 |   99991760 |   99974611 |   99964158 |   99977566 |   99959158 |   99989347 |  100001362 |   99991567 |   99986778 |   99963883 |   99969792 |   99978055 |   99969536 |   38604364 |   38603721 |   38606004 |   38605782 |   38606197 |   38605576 |   38605776 |   38605362 |   38606290 |   38605826 |   38605900 |   38605551 |   38606572 |   38605488 |   38610107 |   38610469
  Cycles                             |   61530120 |   61530120 |   61530120 |   61530120 |   61530120 |   61530120 |   61530120 |   61530120 |   61530120 |   61530120 |   61530120 |   61530120 |   61530120 |   61530120 |   61530120 |   61530120 |   61530120 |   61530120 |   61530120 |   61530120 |   61530120 |   61530120 |   61530120 |   61530120 |   61530120 |   61530120 |   61530120 |   61530120 |   61530120 |   61530120 |   61530120 |   61530120 |   61530120 |   61530120 |   61530120 |   61530120 |   61530120 |   61530120 |   61530120 |   61530120 |   61530120 |   61530120 |   61530120 |   61530120 |   61530120 |   61530120 |   61530120 |   61530120 |   61530120 |   61530120 |   61530120 |   61530120 |   61530120 |   61530120 |   61530120 |   61530120 |   61530120 |   61530120 |   61530120 |   61530120 |   61530120 |   61530120 |   61530120 |   61530120
  IPC                                |       0.81 |       0.81 |       0.78 |       0.79 |       0.79 |       0.79 |       0.79 |       0.79 |       0.79 |       0.79 |       0.79 |       0.79 |       0.79 |       0.79 |       0.79 |       0.79 |       0.79 |       0.79 |       0.79 |       0.79 |       0.79 |       0.79 |       0.79 |       0.79 |       0.79 |       0.79 |       0.79 |       0.79 |       0.79 |       0.79 |       0.79 |       0.79 |       1.62 |       1.63 |       1.63 |       1.63 |       1.62 |       1.62 |       1.62 |       1.62 |       1.63 |       1.63 |       1.63 |       1.63 |       1.62 |       1.62 |       1.62 |       1.62 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63
  Time (ns)                          |   17091700 |   17091700 |   17091700 |   17091700 |   17091700 |   17091700 |   17091700 |   17091700 |   17091700 |   17091700 |   17091700 |   17091700 |   17091700 |   17091700 |   17091700 |   17091700 |   17091700 |   17091700 |   17091700 |   17091700 |   17091700 |   17091700 |   17091700 |   17091700 |   17091700 |   17091700 |   17091700 |   17091700 |   17091700 |   17091700 |   17091700 |   17091700 |   17091700 |   17091700 |   17091700 |   17091700 |   17091700 |   17091700 |   17091700 |   17091700 |   17091700 |   17091700 |   17091700 |   17091700 |   17091700 |   17091700 |   17091700 |   17091700 |   17091700 |   17091700 |   17091700 |   17091700 |   17091700 |   17091700 |   17091700 |   17091700 |   17091700 |   17091700 |   17091700 |   17091700 |   17091700 |   17091700 |   17091700 |   17091700
  Idle time (ns)                     |         99 |        100 |         47 |         92 |         -0 |         98 |         47 |         76 |        100 |         98 |        100 |         80 |        100 |        100 |        100 |         99 |         77 |         -0 |         62 |         48 |        100 |         89 |         -0 |         -0 |         21 |        100 |         -0 |        100 |        100 |         70 |        100 |        100 |         59 |         40 |        100 |        100 |        100 |         61 |         77 |        100 |        100 |         86 |         99 |         68 |         89 |        100 |        100 |        100 |         -0 |        100 |         98 |         99 |        100 |         98 |         -0 |         99 |         -0 |        100 |         92 |        100 |         -1 |        100 |         99 |        100
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    3308635 |    3308000 |    3202037 |    3203217 |    3221833 |    3220076 |    3220722 |    3221380 |    3223503 |    3223224 |    3222855 |    3223104 |    3225276 |    3225750 |    3225690 |    3225523 |    3227205 |    3227104 |    3227093 |    3227415 |    3223271 |    3223122 |    3224002 |    3222385 |    3223155 |    3222737 |    3223895 |    3223344 |    3224839 |    3225181 |    3224828 |    3225083 |    3536520 |    3536672 |    3536796 |    3536791 |    3536317 |    3536032 |    3536360 |    3535950 |    3536651 |    3537118 |    3536790 |    3536573 |    3536028 |    3536190 |    3536373 |    3536178 |    3452589 |    3452554 |    3452734 |    3452715 |    3452753 |    3452681 |    3452715 |    3452660 |    3452756 |    3452718 |    3452723 |    3452680 |    3452788 |    3452668 |    3453102 |    3453133
  num incorrect                      |       2715 |       2715 |       2671 |       2671 |       2679 |       2679 |       2679 |       2679 |       2679 |       2679 |       2679 |       2679 |       2679 |       2679 |       2679 |       2679 |       2679 |       2679 |       2679 |       2679 |       2679 |       2679 |       2679 |       2679 |       2679 |       2679 |       2679 |       2679 |       2679 |       2679 |       2679 |       2679 |      78463 |      78468 |      78468 |      78468 |      78462 |      78460 |      78462 |      78456 |      78466 |      78469 |      78468 |      78464 |      78460 |      78461 |      78462 |      78461 |     276851 |     276843 |     276870 |     276863 |     276873 |     276859 |     276863 |     276857 |     276875 |     276864 |     276866 |     276859 |     276878 |     276859 |     276909 |     276912
  misprediction rate                 |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      2.17% |      2.17% |      2.17% |      2.17% |      2.17% |      2.17% |      2.17% |      2.17% |      2.17% |      2.17% |      2.17% |      2.17% |      2.17% |      2.17% |      2.17% |      2.17% |      7.42% |      7.42% |      7.42% |      7.42% |      7.42% |      7.42% |      7.42% |      7.42% |      7.42% |      7.42% |      7.42% |      7.42% |      7.42% |      7.42% |      7.42% |      7.42%
