                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31    | Core 32    | Core 33    | Core 34    | Core 35    | Core 36    | Core 37    | Core 38    | Core 39    | Core 40    | Core 41    | Core 42    | Core 43    | Core 44    | Core 45    | Core 46    | Core 47    | Core 48    | Core 49    | Core 50    | Core 51    | Core 52    | Core 53    | Core 54    | Core 55    | Core 56    | Core 57    | Core 58    | Core 59    | Core 60    | Core 61    | Core 62    | Core 63   
    miss rate                        |      1.00% |      0.85% |     53.68% |      1.30% |      1.30% |      1.47% |      1.47% |      1.47% |      1.47% |      1.47% |      1.47% |      1.47% |      1.47% |      1.47% |      1.47% |      1.47% |      1.47% |      1.47% |      1.47% |      3.18% |      3.15% |      3.18% |      3.13% |      3.18% |      3.18% |      3.21% |      3.16% |      3.18% |      3.24% |      3.21% |      3.20% |      3.20% |      3.23% |      3.17% |      3.27% |      3.24% |      3.22% |      3.16% |      3.15% |      3.20% |      3.18% |      3.17% |      3.22% |      3.13% |      3.16% |      3.27% |      3.27% |      3.23% |      3.23% |      3.20% |      3.18% |      0.55% |      0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       1.19 |       0.97 |      80.74 |       1.99 |       1.99 |       2.36 |       2.36 |       2.36 |       2.36 |       2.36 |       2.36 |       2.36 |       2.36 |       2.36 |       2.36 |       2.36 |       2.36 |       2.36 |       2.36 |       3.51 |       3.45 |       3.49 |       3.41 |       3.48 |       3.49 |       3.53 |       3.46 |       3.49 |       3.56 |       3.53 |       3.52 |       3.52 |       3.56 |       3.47 |       3.60 |       3.58 |       3.54 |       3.47 |       3.46 |       3.51 |       3.50 |       3.48 |       3.54 |       3.42 |       3.46 |       3.60 |       3.60 |       3.55 |       3.55 |       3.52 |       3.50 |       0.77 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   71979088 |   12126658 |   73217302 |   78067250 |   78070161 |   66745454 |   66744391 |   66744392 |   66744390 |   66744392 |   66744391 |   66744395 |   66744388 |   66744390 |   66744389 |   66744391 |   66744390 |   66744388 |   66744391 |   28097101 |   25569068 |   25298533 |   25603184 |   25109061 |   25319783 |   25086175 |   26065168 |   25763880 |   24987246 |   25098772 |   25196671 |   25141091 |   25237832 |   25086157 |   24816884 |   25102353 |   25207163 |   25310531 |   25768658 |   24997966 |   24957931 |   25114298 |   24713678 |   25565586 |   25906628 |   32918587 |   24831889 |   25347171 |   25413395 |   25457703 |   25473366 |   14896606 |   11321602 |   11322990 |   11323568 |   11323768 |   11323468 |   11323368 |   11326968 |   11320968 |   11326868 |   11322868 |   11323268 |   11324168
    num cache misses                 |     790893 |      20732 |      39199 |     384644 |     386533 |     384364 |     386948 |     381812 |     377175 |     385746 |     391723 |     385333 |     380127 |     378551 |     383643 |     385629 |     382531 |     378481 |     376630 |    1189550 |    1027057 |    1021019 |    1021283 |    1012064 |    1026383 |    1024640 |    1048319 |    1041337 |    1028394 |    1025849 |    1027441 |    1025415 |    1035873 |    1013847 |    1029368 |    1035102 |    1030758 |    1018753 |    1037977 |    1020257 |    1013659 |    1013313 |    1013576 |    1019294 |    1043236 |    1327265 |    1030840 |    1041827 |    1040617 |    1039593 |    1031901 |     279616 |       1995 |       1992 |       1726 |       2137 |       1996 |       1784 |       2163 |       2018 |       2092 |       1967 |       1799 |       2031
    miss rate                        |      1.10% |      0.17% |      0.05% |      0.49% |      0.50% |      0.58% |      0.58% |      0.57% |      0.57% |      0.58% |      0.59% |      0.58% |      0.57% |      0.57% |      0.57% |      0.58% |      0.57% |      0.57% |      0.56% |      4.23% |      4.02% |      4.04% |      3.99% |      4.03% |      4.05% |      4.08% |      4.02% |      4.04% |      4.12% |      4.09% |      4.08% |      4.08% |      4.10% |      4.04% |      4.15% |      4.12% |      4.09% |      4.03% |      4.03% |      4.08% |      4.06% |      4.03% |      4.10% |      3.99% |      4.03% |      4.03% |      4.15% |      4.11% |      4.09% |      4.08% |      4.05% |      1.88% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02%
    mpki                             |       3.66 |       0.59 |       0.19 |       1.84 |       1.85 |       2.19 |       2.20 |       2.17 |       2.15 |       2.19 |       2.23 |       2.19 |       2.16 |       2.15 |       2.18 |       2.19 |       2.18 |       2.15 |       2.14 |      10.89 |      10.22 |      10.29 |      10.12 |      10.29 |      10.34 |      10.44 |      10.23 |      10.30 |      10.54 |      10.44 |      10.43 |      10.43 |      10.52 |      10.29 |      10.64 |      10.57 |      10.47 |      10.27 |      10.26 |      10.42 |      10.37 |      10.30 |      10.49 |      10.13 |      10.25 |      10.34 |      10.66 |      10.51 |      10.48 |      10.44 |      10.35 |       7.07 |       0.06 |       0.06 |       0.05 |       0.07 |       0.06 |       0.05 |       0.07 |       0.06 |       0.06 |       0.06 |       0.05 |       0.06
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1073994 |      55555 |   16930277 |     816925 |     816208 |     814576 |     816773 |     811960 |     807537 |     816378 |     821865 |     815431 |     810610 |     808570 |     813756 |     815429 |     812462 |     808647 |     807019 |    1579000 |    1378063 |    1371485 |    1370022 |    1359582 |    1377046 |    1375967 |    1407013 |    1399158 |    1379902 |    1377654 |    1377863 |    1376742 |    1390426 |    1361316 |    1381514 |    1390142 |    1383597 |    1367686 |    1392553 |    1369486 |    1359745 |    1360602 |    1359916 |    1368717 |    1399943 |    1794850 |    1383626 |    1399077 |    1397661 |    1394894 |    1384640 |     311970 |       2216 |       2114 |       1805 |       2216 |       2075 |       1863 |       2242 |       2097 |       2171 |       2046 |       1878 |       2110
    num cache misses                 |     775278 |      17296 |      56550 |     105821 |      88331 |      87468 |      87516 |      87471 |      87636 |      87844 |      87586 |      87565 |      88152 |      87721 |      87701 |      87532 |      89996 |      90354 |      90224 |     205026 |     142467 |     138298 |     137175 |     140636 |     141912 |     137195 |     140005 |     143971 |     141432 |     138179 |     137842 |     138859 |     140896 |     140518 |     135547 |     138103 |     141549 |     135966 |     136511 |     140469 |     139343 |     137263 |     136265 |     140225 |     143437 |     108880 |     140528 |     140678 |     140758 |     136820 |     141200 |     249230 |        856 |        903 |        815 |        821 |        790 |        788 |        792 |        797 |        805 |        793 |        791 |        793
    miss rate                        |     72.19% |     31.13% |      0.33% |     12.95% |     10.82% |     10.74% |     10.71% |     10.77% |     10.85% |     10.76% |     10.66% |     10.74% |     10.87% |     10.85% |     10.78% |     10.73% |     11.08% |     11.17% |     11.18% |     12.98% |     10.34% |     10.08% |     10.01% |     10.34% |     10.31% |      9.97% |      9.95% |     10.29% |     10.25% |     10.03% |     10.00% |     10.09% |     10.13% |     10.32% |      9.81% |      9.93% |     10.23% |      9.94% |      9.80% |     10.26% |     10.25% |     10.09% |     10.02% |     10.24% |     10.25% |      6.07% |     10.16% |     10.06% |     10.07% |      9.81% |     10.20% |     79.89% |     38.63% |     42.72% |     45.15% |     37.05% |     38.07% |     42.30% |     35.33% |     38.01% |     37.08% |     38.76% |     42.12% |     37.58%
    mpki                             |       3.59 |       0.49 |       0.27 |       0.51 |       0.42 |       0.50 |       0.50 |       0.50 |       0.50 |       0.50 |       0.50 |       0.50 |       0.50 |       0.50 |       0.50 |       0.50 |       0.51 |       0.51 |       0.51 |       1.88 |       1.42 |       1.39 |       1.36 |       1.43 |       1.43 |       1.40 |       1.37 |       1.42 |       1.45 |       1.41 |       1.40 |       1.41 |       1.43 |       1.43 |       1.40 |       1.41 |       1.44 |       1.37 |       1.35 |       1.43 |       1.43 |       1.40 |       1.41 |       1.39 |       1.41 |       0.85 |       1.45 |       1.42 |       1.42 |       1.37 |       1.42 |       6.30 |       0.03 |       0.03 |       0.02 |       0.03 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     802262 |      17922 |      57940 |     124886 |     104976 |     104249 |     104217 |     103950 |     104557 |     105488 |     104439 |     104315 |     105354 |     104284 |     104484 |     104161 |     106613 |     107133 |     106923 |     213279 |     147435 |     143178 |     141761 |     146089 |     146398 |     142420 |     144710 |     149676 |     145901 |     144069 |     142231 |     144289 |     145492 |     146457 |     139874 |     143171 |     146518 |     140884 |     141192 |     145782 |     143643 |     142487 |     140595 |     145355 |     148144 |     114746 |     145394 |     145943 |     145860 |     141610 |     145519 |     255503 |        866 |        907 |        817 |        823 |        792 |        790 |        794 |        799 |        807 |        795 |        793 |        795
    num cache misses                 |     572827 |      16393 |      56315 |     104988 |      88051 |      87167 |      87052 |      87080 |      87326 |      87405 |      87269 |      87277 |      87749 |      87428 |      87229 |      87277 |      88797 |      89334 |      88863 |     157027 |      91417 |      88615 |      89649 |      89214 |      90515 |      87851 |      89651 |      89924 |      89213 |      88722 |      88760 |      88575 |      89359 |      92374 |      87649 |      87988 |      90399 |      88473 |      89381 |      88860 |      89835 |      88542 |      88194 |      90470 |      90734 |      48248 |      87512 |      88817 |      90826 |      87600 |      89424 |     181293 |        713 |        512 |        495 |        582 |        681 |        469 |        466 |        581 |        644 |        509 |        467 |        576
    miss rate                        |     71.40% |     91.47% |     97.20% |     84.07% |     83.88% |     83.61% |     83.53% |     83.77% |     83.52% |     82.86% |     83.56% |     83.67% |     83.29% |     83.84% |     83.49% |     83.79% |     83.29% |     83.39% |     83.11% |     73.63% |     62.00% |     61.89% |     63.24% |     61.07% |     61.83% |     61.68% |     61.95% |     60.08% |     61.15% |     61.58% |     62.41% |     61.39% |     61.42% |     63.07% |     62.66% |     61.46% |     61.70% |     62.80% |     63.30% |     60.95% |     62.54% |     62.14% |     62.73% |     62.24% |     61.25% |     42.05% |     60.19% |     60.86% |     62.27% |     61.86% |     61.45% |     70.96% |     82.33% |     56.45% |     60.59% |     70.72% |     85.98% |     59.37% |     58.69% |     72.72% |     79.80% |     64.03% |     58.89% |     72.45%
    mpki                             |       2.65 |       0.46 |       0.27 |       0.50 |       0.42 |       0.50 |       0.50 |       0.50 |       0.50 |       0.50 |       0.50 |       0.50 |       0.50 |       0.50 |       0.50 |       0.50 |       0.51 |       0.51 |       0.51 |       1.44 |       0.91 |       0.89 |       0.89 |       0.91 |       0.91 |       0.90 |       0.88 |       0.89 |       0.91 |       0.90 |       0.90 |       0.90 |       0.91 |       0.94 |       0.91 |       0.90 |       0.92 |       0.89 |       0.88 |       0.91 |       0.92 |       0.90 |       0.91 |       0.90 |       0.89 |       0.38 |       0.91 |       0.90 |       0.92 |       0.88 |       0.90 |       4.59 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.01 |       0.01 |       0.02 |       0.02 |       0.02 |       0.01 |       0.02
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |    8737025 |          0 |          0 |          0 |      75729 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     310.01 |        inf |        inf |        inf |      35.04 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     278.15 |       0.00 |       0.00 |       0.00 |       3.18 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     24.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |     258707 |      10787 |      19802 |      34238 |      28998 |      28762 |      28940 |      28572 |      29346 |      30012 |      29209 |      29161 |      29940 |      29065 |      29267 |      29054 |      29382 |      29622 |      29611 |      48409 |      56493 |      56068 |      56516 |      55886 |      55861 |      55622 |      56860 |      56056 |      55849 |      56542 |      57245 |      56028 |      55724 |      57306 |      56797 |      55486 |      56181 |      56006 |      56706 |      56075 |      56184 |      56318 |      57178 |      56446 |      55546 |      20084 |      56673 |      55775 |      56542 |      55361 |      56487 |      48668 |        440 |        402 |        393 |        390 |        403 |        387 |        386 |        386 |        110 |         45 |         12 |         15
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       7366 |        186 |        860 |         44 |        449 |         29 |         19 |         33 |         22 |         25 |         29 |         31 |         19 |         24 |         20 |         23 |         20 |         21 |         21 |       8099 |       8952 |       7354 |       7907 |       7641 |       9275 |       7290 |       8189 |       8215 |       8160 |       7290 |       7233 |       7423 |       7982 |       7128 |       6830 |       7196 |       8713 |       7318 |       7629 |       7475 |       8189 |       6943 |       6591 |       7622 |       9184 |       8312 |       6574 |       7442 |       8419 |       6821 |       7556 |       1039 |         64 |         13 |         12 |         10 |         26 |         12 |          9 |         11 |        311 |        363 |        385 |        384
