                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15     | Core 16     | Core 17     | Core 18     | Core 19     | Core 20     | Core 21     | Core 22     | Core 23     | Core 24     | Core 25     | Core 26     | Core 27     | Core 28     | Core 29     | Core 30     | Core 31     | Core 32     | Core 33     | Core 34     | Core 35     | Core 36     | Core 37     | Core 38     | Core 39     | Core 40     | Core 41     | Core 42     | Core 43     | Core 44     | Core 45     | Core 46     | Core 47     | Core 48     | Core 49     | Core 50     | Core 51     | Core 52     | Core 53     | Core 54     | Core 55     | Core 56     | Core 57     | Core 58     | Core 59     | Core 60     | Core 61     | Core 62     | Core 63    
  Instructions                       |   894060076 |   121361513 |   264989492 |   117728327 |   112170393 |   120566999 |   122846860 |   122545973 |   120888484 |   110651797 |   109654945 |   114612709 |   120484180 |   121752688 |   122743585 |   121110474 |   115045728 |   114537471 |    67663260 |    70893020 |    87722767 |    63176286 |    67220141 |    58666587 |    73013068 |    63680602 |    67270174 |    82354251 |    80343512 |    83680770 |    78312418 |    72062149 |    76839936 |    16816756 |    18494908 |    17013000 |    16868217 |    18418585 |    19910739 |    18829713 |    15025254 |    15959301 |    16663931 |    15823733 |    14536907 |    14863441 |    15780935 |    17019139 |    16517205 |    17903410 |    18206859 |    18405576 |    17304313 |    14815950 |    15219632 |    15067948 |    16615579 |    16460218 |    16870860 |    16507842 |    17670585 |    17375739 |    18516806 |    17422707
  Cycles                             |  1421632440 |  1421632440 |  1421632440 |  1421632440 |  1421632440 |  1421632440 |  1421632440 |  1421632440 |  1421632440 |  1421632440 |  1421632440 |  1421632440 |  1421632440 |  1421632440 |  1421632440 |  1421632440 |  1421632440 |  1421632440 |  1421632440 |  1421632440 |  1421632440 |  1421632440 |  1421632440 |  1421632440 |  1421632440 |  1421632440 |  1421632440 |  1421632440 |  1421632440 |  1421632440 |  1421632440 |  1421632440 |  1421632440 |  1421632440 |  1421632440 |  1421632440 |  1421632440 |  1421632440 |  1421632440 |  1421632440 |  1421632440 |  1421632440 |  1421632440 |  1421632440 |  1421632440 |  1421632440 |  1421632440 |  1421632440 |  1421632440 |  1421632440 |  1421632440 |  1421632440 |  1421632440 |  1421632440 |  1421632440 |  1421632440 |  1421632440 |  1421632440 |  1421632440 |  1421632440 |  1421632440 |  1421632440 |  1421632440 |  1421632440
  IPC                                |        0.63 |        0.09 |        0.19 |        0.08 |        0.08 |        0.08 |        0.09 |        0.09 |        0.09 |        0.08 |        0.08 |        0.08 |        0.08 |        0.09 |        0.09 |        0.09 |        0.08 |        0.08 |        0.05 |        0.05 |        0.06 |        0.04 |        0.05 |        0.04 |        0.05 |        0.04 |        0.05 |        0.06 |        0.06 |        0.06 |        0.06 |        0.05 |        0.05 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01
  Time (ns)                          |   394897900 |   394897900 |   394897900 |   394897900 |   394897900 |   394897900 |   394897900 |   394897900 |   394897900 |   394897900 |   394897900 |   394897900 |   394897900 |   394897900 |   394897900 |   394897900 |   394897900 |   394897900 |   394897900 |   394897900 |   394897900 |   394897900 |   394897900 |   394897900 |   394897900 |   394897900 |   394897900 |   394897900 |   394897900 |   394897900 |   394897900 |   394897900 |   394897900 |   394897900 |   394897900 |   394897900 |   394897900 |   394897900 |   394897900 |   394897900 |   394897900 |   394897900 |   394897900 |   394897900 |   394897900 |   394897900 |   394897900 |   394897900 |   394897900 |   394897900 |   394897900 |   394897900 |   394897900 |   394897900 |   394897900 |   394897900 |   394897900 |   394897900 |   394897900 |   394897900 |   394897900 |   394897900 |   394897900 |   394897900
  Idle time (ns)                     |     1611945 |   346458733 |   333089764 |   347636137 |   351160113 |   349273214 |   348647403 |   348322495 |   348175911 |   351563535 |   351526145 |   349787090 |   349000856 |   348952964 |   348170718 |   348696398 |   351341556 |   351264626 |   383997268 |   384099219 |   382737122 |   384101238 |   383950164 |   383776124 |   382598226 |   383386621 |   383138147 |   382410019 |   382077348 |   381998710 |   382430033 |   382900006 |   383715997 |   386975657 |   386957620 |   386877800 |   387079998 |   386674157 |   386899255 |   386845816 |   386405734 |   387065682 |   386234668 |   386486790 |   386913213 |   386326946 |   386466242 |   386700060 |   386642776 |   386782982 |   386684744 |   386284021 |   386502359 |   386488375 |   386348469 |   386561656 |   386474255 |   386930516 |   386650135 |   386652766 |   386548337 |   386649319 |   386047512 |   386559849
  Idle time (%)                      |        0.4% |       87.7% |       84.3% |       88.0% |       88.9% |       88.4% |       88.3% |       88.2% |       88.2% |       89.0% |       89.0% |       88.6% |       88.4% |       88.4% |       88.2% |       88.3% |       89.0% |       89.0% |       97.2% |       97.3% |       96.9% |       97.3% |       97.2% |       97.2% |       96.9% |       97.1% |       97.0% |       96.8% |       96.8% |       96.7% |       96.8% |       97.0% |       97.2% |       98.0% |       98.0% |       98.0% |       98.0% |       97.9% |       98.0% |       98.0% |       97.8% |       98.0% |       97.8% |       97.9% |       98.0% |       97.8% |       97.9% |       97.9% |       97.9% |       97.9% |       97.9% |       97.8% |       97.9% |       97.9% |       97.8% |       97.9% |       97.9% |       98.0% |       97.9% |       97.9% |       97.9% |       97.9% |       97.8% |       97.9%
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |   139002996 |     6619446 |    42085118 |     6440829 |     6145894 |     6644983 |     6787251 |     6682309 |     6444023 |     5976749 |     5949907 |     6098623 |     6492793 |     6786371 |     6611071 |     6542032 |     6808695 |     6735729 |     9135715 |    11347933 |    13896193 |     9851116 |    10775348 |     5445780 |     9506527 |     8310039 |     9254490 |    15109259 |    13897360 |    12534086 |    12061220 |    13060578 |    10523407 |     1666415 |     1952734 |     1684204 |     1661985 |     1787522 |     1963965 |     1846269 |     1465340 |     1657136 |     1641005 |     1561498 |     1429083 |     1445051 |     1551843 |     1698481 |     1623467 |     1877768 |     1854423 |     1845138 |     1744322 |     1468849 |     1503802 |     1508679 |     1661761 |     1681646 |     1707161 |     1652263 |     1780985 |     1743411 |     1880157 |     1792565
  num incorrect                      |     7604321 |      824903 |     1964518 |      781479 |      817028 |      719386 |      744283 |      791641 |      773065 |      783250 |      813735 |      815536 |      742596 |      734407 |      773530 |      770277 |      787738 |      796783 |       65397 |       49173 |       49197 |       45769 |       49868 |       67111 |       49711 |       49317 |       52804 |       47736 |       68642 |       58161 |       52819 |       50180 |       56304 |      167617 |      150835 |      170909 |      160595 |      178301 |      175864 |      172669 |      156894 |      149690 |      177970 |      171746 |      155468 |      181425 |      168938 |      160373 |      161724 |      166888 |      167016 |      179382 |      178095 |      178174 |      179163 |      167758 |      164161 |      149951 |      160627 |      164927 |      169508 |      174733 |      185688 |      152287
  misprediction rate                 |       5.19% |      11.08% |       4.46% |      10.82% |      11.73% |       9.77% |       9.88% |      10.59% |      10.71% |      11.59% |      12.03% |      11.80% |      10.26% |       9.77% |      10.47% |      10.53% |      10.37% |      10.58% |       0.71% |       0.43% |       0.35% |       0.46% |       0.46% |       1.22% |       0.52% |       0.59% |       0.57% |       0.31% |       0.49% |       0.46% |       0.44% |       0.38% |       0.53% |       9.14% |       7.17% |       9.21% |       8.81% |       9.07% |       8.22% |       8.55% |       9.67% |       8.28% |       9.78% |       9.91% |       9.81% |      11.15% |       9.82% |       8.63% |       9.06% |       8.16% |       8.26% |       8.86% |       9.26% |      10.82% |      10.65% |      10.01% |       8.99% |       8.19% |       8.60% |       9.08% |       8.69% |       9.11% |       8.99% |       7.83%
  mpki                               |        8.51 |        6.80 |        7.41 |        6.64 |        7.28 |        5.97 |        6.06 |        6.46 |        6.39 |        7.08 |        7.42 |        7.12 |        6.16 |        6.03 |        6.30 |        6.36 |        6.85 |        6.96 |        0.97 |        0.69 |        0.56 |        0.72 |        0.74 |        1.14 |        0.68 |        0.77 |        0.78 |        0.58 |        0.85 |        0.70 |        0.67 |        0.70 |        0.73 |        9.97 |        8.16 |       10.05 |        9.52 |        9.68 |        8.83 |        9.17 |       10.44 |        9.38 |       10.68 |       10.85 |       10.69 |       12.21 |       10.71 |        9.42 |        9.79 |        9.32 |        9.17 |        9.75 |       10.29 |       12.03 |       11.77 |       11.13 |        9.88 |        9.11 |        9.52 |        9.99 |        9.59 |       10.06 |       10.03 |        8.74
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |   128360084 |    16198877 |    19750979 |    15658429 |    14882859 |    16016955 |    16303013 |    16315126 |    16164178 |    14727443 |    14573939 |    15324139 |    16071498 |    16138445 |    16387478 |    16148197 |    15048442 |    14992175 |     3947518 |     3560946 |     4499418 |     3245407 |     3410493 |     4138652 |     4257279 |     3741794 |     3831650 |     3505311 |     3799755 |     4411246 |     4026798 |     3153238 |     4296110 |     2366183 |     2593436 |     2389108 |     2360914 |     2550458 |     2743019 |     2584701 |     2081423 |     2283211 |     2330766 |     2226266 |     2055104 |     2086320 |     2195470 |     2372247 |     2285979 |     2547644 |     2546348 |     2569347 |     2431682 |     2074208 |     2123430 |     2127156 |     2332132 |     2311636 |     2363501 |     2293026 |     2455040 |     2408346 |     2576906 |     2430065
    num misses                       |         167 |         141 |         172 |          36 |          36 |          35 |          35 |          35 |          36 |          35 |          36 |          36 |          35 |          35 |          36 |          29 |          29 |          30 |          50 |          49 |          49 |          49 |          49 |          50 |          49 |          49 |          50 |          49 |          49 |          49 |          49 |          49 |          49 |          50 |          50 |          44 |          44 |          44 |          44 |          44 |          44 |          44 |          45 |          44 |          44 |          44 |          44 |          44 |          44 |          44 |          42 |          44 |          44 |          44 |          44 |          44 |          44 |          44 |          44 |          44 |          44 |          50 |          44 |          44
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |   325111678 |    60203926 |   105882673 |    59947586 |    57147140 |    61410721 |    62565106 |    62394459 |    61673713 |    56455852 |    55906877 |    58459010 |    61429057 |    61967613 |    62561528 |    61732724 |    58280328 |    58076486 |    24134911 |    23832687 |    28726502 |    21209050 |    22647539 |    21259952 |    24257322 |    21364012 |    22505328 |    28075236 |    28343536 |    28142030 |    26552797 |    24612854 |    25836662 |     6725916 |     7346940 |     6864790 |     6809071 |     7389891 |     8051817 |     7548126 |     5963022 |     6346168 |     6659588 |     6220216 |     5738378 |     5896362 |     6234750 |     6810668 |     6562335 |     7157299 |     7282495 |     7261123 |     6821956 |     5778917 |     5914700 |     5848093 |     6496121 |     6572805 |     6702720 |     6556880 |     6977627 |     6824165 |     7223688 |     6794254
    num misses                       |      239790 |      392248 |       47684 |      363419 |      396998 |      377915 |      404512 |      394008 |      375602 |      337929 |      334515 |      342443 |      375058 |      387366 |      382556 |      377287 |      335331 |      353072 |        7698 |        8199 |        8195 |        6786 |        6160 |        8217 |        8934 |        7682 |        8511 |        8048 |        7246 |        8830 |        8105 |        7225 |        8077 |       30672 |       30354 |       30503 |       30158 |       29644 |       32311 |       33739 |       33038 |       33578 |       36349 |       34617 |       28919 |       30985 |       33798 |       30136 |       39941 |       32212 |       39027 |       39967 |       36309 |       33391 |       36310 |       29652 |       39267 |       27908 |       31745 |       34562 |       38319 |       36583 |       40806 |       40162
