                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
  Instructions                       |   99993498 |   99142868 |   99155996 |   99165100 |   99210598 |   99175848 |   99131055 |   99180627 |   99180714 |   99190390 |   99175926 |   99171806 |   99189055 |   99181496 |   99176358 |   99229610 |   99216819 |   99204219 |   99173639 |   99159936 |   99196041 |   99171114 |   99150077 |   99177054 |   99200380 |   99170494 |   99171963 |   99161532 |   99166947 |   99164907 |   99129420 |  100001381
  Cycles                             |   50149800 |   50149800 |   50149800 |   50149800 |   50149800 |   50149800 |   50149800 |   50149800 |   50149800 |   50149800 |   50149800 |   50149800 |   50149800 |   50149800 |   50149800 |   50149800 |   50149800 |   50149800 |   50149800 |   50149800 |   50149800 |   50149800 |   50149800 |   50149800 |   50149800 |   50149800 |   50149800 |   50149800 |   50149800 |   50149800 |   50149800 |   50149800
  IPC                                |       1.99 |       1.98 |       1.98 |       1.98 |       1.98 |       1.98 |       1.98 |       1.98 |       1.98 |       1.98 |       1.98 |       1.98 |       1.98 |       1.98 |       1.98 |       1.98 |       1.98 |       1.98 |       1.98 |       1.98 |       1.98 |       1.98 |       1.98 |       1.98 |       1.98 |       1.98 |       1.98 |       1.98 |       1.98 |       1.98 |       1.98 |       1.99
  Time (ns)                          |   13930500 |   13930500 |   13930500 |   13930500 |   13930500 |   13930500 |   13930500 |   13930500 |   13930500 |   13930500 |   13930500 |   13930500 |   13930500 |   13930500 |   13930500 |   13930500 |   13930500 |   13930500 |   13930500 |   13930500 |   13930500 |   13930500 |   13930500 |   13930500 |   13930500 |   13930500 |   13930500 |   13930500 |   13930500 |   13930500 |   13930500 |   13930500
  Idle time (ns)                     |         -0 |         -0 |         -0 |         -0 |         -0 |         -0 |         -0 |         -1 |         -1 |         -0 |         -0 |         -0 |         -0 |         -2 |         -0 |         -1 |         -3 |         -0 |         -0 |         -0 |         -0 |         -0 |         -0 |         -1 |         -0 |         -0 |         -0 |         -0 |         -1 |         -2 |         -0 |         13
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    3816389 |    3797295 |    3797560 |    3797740 |    3798632 |    3797950 |    3796987 |    3798044 |    3798046 |    3798235 |    3797952 |    3797870 |    3798209 |    3798060 |    3797960 |    3799004 |    3798754 |    3798506 |    3797906 |    3797638 |    3798346 |    3797858 |    3797444 |    3797974 |    3798431 |    3797845 |    3797874 |    3797670 |    3797776 |    3797736 |    3796945 |    3816579
  num incorrect                      |      48002 |      48001 |      48002 |      48002 |      48002 |      48002 |      48001 |      48002 |      48002 |      48002 |      48002 |      48002 |      48002 |      48002 |      48002 |      48002 |      48002 |      48002 |      48002 |      48002 |      48002 |      48002 |      48002 |      48002 |      48002 |      48002 |      48002 |      48002 |      48002 |      48002 |      48001 |      48002
  misprediction rate                 |      1.24% |      1.25% |      1.25% |      1.25% |      1.25% |      1.25% |      1.25% |      1.25% |      1.25% |      1.25% |      1.25% |      1.25% |      1.25% |      1.25% |      1.25% |      1.25% |      1.25% |      1.25% |      1.25% |      1.25% |      1.25% |      1.25% |      1.25% |      1.25% |      1.25% |      1.25% |      1.25% |      1.25% |      1.25% |      1.25% |      1.25% |      1.24%
