                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
  Instructions                       |  100074255 |   89875544 |   89964295 |   89944962 |   89969718 |   89969786 |   89949561 |   89939615 |   89958212 |   89955049 |   89980380 |   89930907 |   89969588 |   89977747 |   89949433 |   89721523 |   89708836 |   89952991 |   89937247 |   89937561 |   89957471 |   89931325 |   89956810 |   89957890 |   89935448 |   89933544 |   89968389 |   89960074 |   89959170 |   89974973 |   89905350 |  100101390
  Cycles                             |  314922240 |  314922240 |  314922240 |  314922240 |  314922240 |  314922240 |  314922240 |  314922240 |  314922240 |  314922240 |  314922240 |  314922240 |  314922240 |  314922240 |  314922240 |  314922240 |  314922240 |  314922240 |  314922240 |  314922240 |  314922240 |  314922240 |  314922240 |  314922240 |  314922240 |  314922240 |  314922240 |  314922240 |  314922240 |  314922240 |  314922240 |  314922240
  IPC                                |       0.32 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.28 |       0.28 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.32
  Time (ns)                          |   87478400 |   87478400 |   87478400 |   87478400 |   87478400 |   87478400 |   87478400 |   87478400 |   87478400 |   87478400 |   87478400 |   87478400 |   87478400 |   87478400 |   87478400 |   87478400 |   87478400 |   87478400 |   87478400 |   87478400 |   87478400 |   87478400 |   87478400 |   87478400 |   87478400 |   87478400 |   87478400 |   87478400 |   87478400 |   87478400 |   87478400 |   87478400
  Idle time (ns)                     |         64 |         46 |         89 |        -18 |        -38 |         62 |          6 |         56 |         50 |         -0 |         12 |        -22 |         60 |         31 |        100 |         90 |         88 |        -14 |         88 |        -41 |         41 |         81 |         59 |         50 |        100 |         82 |         13 |         89 |         74 |        -18 |         -2 |         55
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   13438044 |   12084216 |   12096067 |   12093481 |   12096808 |   12096820 |   12094086 |   12092771 |   12095263 |   12094828 |   12098303 |   12091649 |   12096791 |   12097957 |   12094070 |   12063509 |   12061762 |   12094557 |   12092471 |   12092501 |   12095163 |   12091702 |   12095075 |   12095221 |   12092235 |   12091986 |   12096632 |   12095511 |   12095388 |   12097542 |   12088145 |   13441622
  num incorrect                      |     656825 |     594544 |     595121 |     594965 |     595166 |     595166 |     594987 |     594964 |     595064 |     595037 |     595240 |     594914 |     595164 |     595219 |     594986 |     593527 |     593424 |     595015 |     594961 |     594962 |     595056 |     594917 |     595053 |     595062 |     594949 |     594934 |     595154 |     595081 |     595072 |     595207 |     594713 |     656828
  misprediction rate                 |      4.66% |      4.69% |      4.69% |      4.69% |      4.69% |      4.69% |      4.69% |      4.69% |      4.69% |      4.69% |      4.69% |      4.69% |      4.69% |      4.69% |      4.69% |      4.69% |      4.69% |      4.69% |      4.69% |      4.69% |      4.69% |      4.69% |      4.69% |      4.69% |      4.69% |      4.69% |      4.69% |      4.69% |      4.69% |      4.69% |      4.69% |      4.66%
  mpki                               |       6.56 |       6.62 |       6.62 |       6.61 |       6.62 |       6.62 |       6.61 |       6.62 |       6.61 |       6.61 |       6.62 |       6.62 |       6.62 |       6.62 |       6.61 |       6.62 |       6.62 |       6.61 |       6.62 |       6.62 |       6.61 |       6.62 |       6.61 |       6.61 |       6.62 |       6.62 |       6.62 |       6.61 |       6.61 |       6.62 |       6.61 |       6.56
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   15472245 |   13896481 |   13910163 |   13907169 |   13911009 |   13911021 |   13907867 |   13906363 |   13909222 |   13908726 |   13912687 |   13905037 |   13910990 |   13912279 |   13907847 |   13872666 |   13870675 |   13908407 |   13906003 |   13906054 |   13909105 |   13905098 |   13909005 |   13909172 |   13905730 |   13905438 |   13910804 |   13909510 |   13909369 |   13911838 |   13901043 |   15476327
    num misses                       |         18 |          6 |          6 |          6 |          6 |          6 |          6 |          6 |          6 |          6 |          6 |          6 |          6 |          6 |          6 |          6 |          6 |          6 |          6 |          6 |          6 |          6 |          6 |          6 |          6 |          6 |          6 |          6 |          6 |          6 |          6 |         18
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
