                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
  Instructions                       |  200202881 |  100101379 |  100101379 |  100101379 |  100101379 |  100101379 |  100101379 |  100101379 |  100101379 |  100101379 |  100101379 |  100101379 |  100101379 |  100101379 |  100101379 |  100101379 |  100101379 |  100001362 |  100001362 |  100001362 |  100001362 |  100001362 |  100001362 |  100001362 |  100001362 |  100101413 |  100101413 |  100101413 |  100101413 |  100101413 |  100101413 |  100101413
  Cycles                             |  416306160 |  416306160 |  416306160 |  416306160 |  416306160 |  416306160 |  416306160 |  416306160 |  416306160 |  416306160 |  416306160 |  416306160 |  416306160 |  416306160 |  416306160 |  416306160 |  416306160 |  416306160 |  416306160 |  416306160 |  416306160 |  416306160 |  416306160 |  416306160 |  416306160 |  416306160 |  416306160 |  416306160 |  416306160 |  416306160 |  416306160 |  416306160
  IPC                                |       0.48 |       0.24 |       0.24 |       0.24 |       0.24 |       0.24 |       0.24 |       0.24 |       0.24 |       0.24 |       0.24 |       0.24 |       0.24 |       0.24 |       0.24 |       0.24 |       0.24 |       0.24 |       0.24 |       0.24 |       0.24 |       0.24 |       0.24 |       0.24 |       0.24 |       0.24 |       0.24 |       0.24 |       0.24 |       0.24 |       0.24 |       0.24
  Time (ns)                          |  115640600 |  115640600 |  115640600 |  115640600 |  115640600 |  115640600 |  115640600 |  115640600 |  115640600 |  115640600 |  115640600 |  115640600 |  115640600 |  115640600 |  115640600 |  115640600 |  115640600 |  115640600 |  115640600 |  115640600 |  115640600 |  115640600 |  115640600 |  115640600 |  115640600 |  115640600 |  115640600 |  115640600 |  115640600 |  115640600 |  115640600 |  115640600
  Idle time (ns)                     |     175954 |   68544748 |   68425814 |   68423633 |   66418198 |   66422648 |   76406988 |   76409027 |   77406827 |   77408769 |   75414494 |   75414059 |   77409935 |   77409995 |   77411139 |   77408982 |   76531656 |   92430061 |   94404456 |   94368520 |   94405092 |   94467193 |   94465380 |   94454477 |   95463507 |   66522491 |   66521418 |   66505127 |   66479261 |   66485180 |   66518389 |   66524114
  Idle time (%)                      |       0.2% |      59.3% |      59.2% |      59.2% |      57.4% |      57.4% |      66.1% |      66.1% |      66.9% |      66.9% |      65.2% |      65.2% |      66.9% |      66.9% |      66.9% |      66.9% |      66.2% |      79.9% |      81.6% |      81.6% |      81.6% |      81.7% |      81.7% |      81.7% |      82.6% |      57.5% |      57.5% |      57.5% |      57.5% |      57.5% |      57.5% |      57.5%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   15531973 |    6638517 |    6638517 |    6638517 |    6638517 |    6638517 |    6638517 |    6638517 |    6638517 |    6638517 |    6638517 |    6638517 |    6638517 |    6638517 |    6638517 |    6638517 |    6638517 |    3537118 |    3537118 |    3537118 |    3537118 |    3537118 |    3537118 |    3537118 |    3537118 |    8893391 |    8893391 |    8893391 |    8893391 |    8893391 |    8893391 |    8893391
  num incorrect                      |     692029 |       5120 |       5120 |       5120 |       5120 |       5120 |       5120 |       5120 |       5120 |       5120 |       5120 |       5120 |       5120 |       5120 |       5120 |       5120 |       5120 |      78469 |      78469 |      78469 |      78469 |      78469 |      78469 |      78469 |      78469 |     686974 |     686974 |     686974 |     686974 |     686974 |     686974 |     686974
  misprediction rate                 |      4.27% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      2.17% |      2.17% |      2.17% |      2.17% |      2.17% |      2.17% |      2.17% |      2.17% |      7.17% |      7.17% |      7.17% |      7.17% |      7.17% |      7.17% |      7.17%
