                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
    num cache misses                 |    8879905 |    8879984 |    8879870 |    8880002 |    8879913 |    8879941 |    8880027 |    8879946 |    1126810 |    1126970 |    1126849 |    1126983 |    1126957 |    1126839 |    1126791 |    1126987 |        202 |        202 |        202 |        202 |        202 |        202 |        202 |        202 |      30241 |      30245 |      30238 |      30245 |      30243 |      30239 |      30241 |      30243
    miss rate                        |     18.07% |     18.07% |     18.07% |     18.07% |     18.07% |     18.07% |     18.07% |     18.07% |      1.66% |      1.66% |      1.66% |      1.66% |      1.66% |      1.66% |      1.66% |      1.66% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06%
    mpki                             |      88.71 |      88.71 |      88.71 |      88.71 |      88.71 |      88.71 |      88.71 |      88.71 |      11.26 |      11.26 |      11.26 |      11.26 |      11.26 |      11.26 |      11.26 |      11.26 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    8958011 |    8958410 |    8958085 |    8958632 |    8957965 |    8958121 |    8958444 |    8958287 |    1148974 |    1149140 |    1148998 |    1149126 |    1149132 |    1149022 |    1148937 |    1149142 |    4858491 |    4858491 |    4858491 |    4858491 |    4858491 |    4858491 |    4858491 |    4858491 |     348359 |     348364 |     348356 |     348364 |     348363 |     348356 |     348358 |     348361
    num cache misses                 |    6005466 |    6008227 |    6002454 |    6007360 |    6006713 |    6009033 |    6011534 |    6006700 |     612008 |     612187 |     611879 |     611921 |     613151 |     612985 |     611887 |     612028 |        522 |        522 |        522 |        522 |        522 |        522 |        522 |        522 |      14021 |      14030 |      14029 |      14028 |      14033 |      14023 |      14025 |      14032
    miss rate                        |     67.04% |     67.07% |     67.01% |     67.06% |     67.05% |     67.08% |     67.10% |     67.05% |     53.27% |     53.27% |     53.25% |     53.25% |     53.36% |     53.35% |     53.26% |     53.26% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      4.02% |      4.03% |      4.03% |      4.03% |      4.03% |      4.03% |      4.03% |      4.03%
    mpki                             |      59.99 |      60.02 |      59.96 |      60.01 |      60.01 |      60.03 |      60.05 |      60.01 |       6.11 |       6.12 |       6.11 |       6.11 |       6.13 |       6.12 |       6.11 |       6.11 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    6005560 |    6008337 |    6002541 |    6007460 |    6006806 |    6009126 |    6011653 |    6006788 |     616851 |     617029 |     616721 |     616761 |     618003 |     617836 |     616729 |     616871 |        634 |        634 |        634 |        634 |        634 |        634 |        634 |        634 |      14093 |      14102 |      14101 |      14100 |      14105 |      14095 |      14097 |      14104
