0	321.45
1	321.51
2	321.54
3	321.54
4	321.50
5	321.43
6	321.33
7	321.19

8	321.58
9	321.67
10	321.71
11	321.70
12	321.66
13	321.58
14	321.45
15	321.27

16	321.73
17	321.85
18	321.89
19	321.89
20	321.84
21	321.74
22	321.59
23	321.38

24	321.94
25	322.08
26	322.13
27	322.11
28	322.06
29	321.96
30	321.79
31	321.53

32	322.34
33	322.47
34	322.50
35	322.48
36	322.43
37	322.31
38	322.13
39	321.83

40	322.68
41	322.67
42	322.66
43	322.63
44	322.57
45	322.46
46	322.27
47	321.95

48	323.42
49	322.76
50	322.70
51	322.66
52	322.60
53	322.50
54	322.31
55	321.99

56	323.49
57	322.70
58	322.61
59	322.58
60	322.52
61	322.43
62	322.27
63	321.97

