                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
    num accesses                     |   64471686 |   64466376 |   64463684 |   64462669 |   64465194 |   64458608 |   64464239 |   64463254 |   64466319 |   64461908 |   64464013 |   64467194 |   64460509 |   64464575 |   64467490 |   64468456 |   64464707 |   64465318 |   64463966 |   64462912 |   64464685 |   64460998 |   64464585 |   64462801 |   64465665 |   64460309 |   64465784 |   64466767 |   64463907 |   64465774 |   64464596 |   64472070
    num misses                       |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16
    num misses                       |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16
    miss rate                        |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   14145051 |   14144015 |   14143384 |   14143175 |   14143788 |   14142351 |   14143538 |   14143296 |   14144005 |   14143019 |   14143482 |   14144172 |   14142736 |   14143597 |   14144239 |   14144430 |   14143642 |   14143813 |   14143463 |   14143223 |   14143629 |   14142837 |   14143602 |   14143200 |   14143881 |   14142697 |   14143902 |   14144094 |   14143452 |   14143900 |   14143609 |   14145127
    num cache misses                 |        320 |        320 |        320 |        320 |        320 |        320 |        320 |        320 |        320 |        320 |        320 |        320 |        320 |        320 |        320 |        320 |        320 |        320 |        320 |        320 |        320 |        320 |        320 |        320 |        320 |        320 |        320 |        320 |        320 |        320 |        320 |        320
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   64471686 |   64466376 |   64463684 |   64462669 |   64465194 |   64458608 |   64464239 |   64463254 |   64466319 |   64461908 |   64464013 |   64467194 |   64460509 |   64464575 |   64467490 |   64468456 |   64464707 |   64465318 |   64463966 |   64462912 |   64464685 |   64460998 |   64464585 |   64462801 |   64465665 |   64460309 |   64465784 |   64466767 |   64463907 |   64465774 |   64464596 |   64472070
    num cache misses                 |        203 |        203 |        203 |        203 |        203 |        203 |        203 |        203 |        203 |        203 |        203 |        203 |        203 |        203 |        203 |        203 |        203 |        203 |        203 |        203 |        203 |        203 |        203 |        203 |        203 |        203 |        203 |        203 |        203 |        203 |        203 |        203
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |        638 |        638 |        638 |        638 |        638 |        638 |        638 |        638 |        638 |        638 |        638 |        638 |        638 |        638 |        638 |        638 |        638 |        638 |        638 |        638 |        638 |        638 |        638 |        638 |        638 |        638 |        638 |        638 |        638 |        638 |        638 |        638
    num cache misses                 |        523 |        523 |        523 |        523 |        523 |        523 |        523 |        523 |        523 |        523 |        523 |        523 |        523 |        523 |        523 |        523 |        523 |        523 |        523 |        523 |        523 |        523 |        523 |        523 |        523 |        523 |        523 |        523 |        523 |        523 |        523 |        523
    miss rate                        |     81.97% |     81.97% |     81.97% |     81.97% |     81.97% |     81.97% |     81.97% |     81.97% |     81.97% |     81.97% |     81.97% |     81.97% |     81.97% |     81.97% |     81.97% |     81.97% |     81.97% |     81.97% |     81.97% |     81.97% |     81.97% |     81.97% |     81.97% |     81.97% |     81.97% |     81.97% |     81.97% |     81.97% |     81.97% |     81.97% |     81.97% |     81.97%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |        638 |        638 |        638 |        638 |        638 |        638 |        638 |        638 |        638 |        638 |        638 |        638 |        638 |        638 |        638 |        638 |        638 |        638 |        638 |        638 |        638 |        638 |        638 |        638 |        638 |        638 |        638 |        638 |        638 |        638 |        638 |        638
    num cache misses                 |        523 |        523 |        523 |        523 |        523 |        523 |        523 |        523 |        523 |        523 |        523 |        523 |        523 |        523 |        523 |        523 |        523 |        523 |        523 |        523 |        523 |        523 |        523 |        523 |        523 |        523 |        523 |        523 |        523 |        523 |        523 |        523
    miss rate                        |     81.97% |     81.97% |     81.97% |     81.97% |     81.97% |     81.97% |     81.97% |     81.97% |     81.97% |     81.97% |     81.97% |     81.97% |     81.97% |     81.97% |     81.97% |     81.97% |     81.97% |     81.97% |     81.97% |     81.97% |     81.97% |     81.97% |     81.97% |     81.97% |     81.97% |     81.97% |     81.97% |     81.97% |     81.97% |     81.97% |     81.97% |     81.97%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |       1046 |          0 |       1046 |          0 |       1046 |          0 |       1046 |          0 |       1046 |          0 |       1046 |          0 |       1046 |          0 |       1046 |          0 |       1046 |          0 |       1046 |          0 |       1046 |          0 |       1046 |          0 |       1046 |          0 |       1046 |          0 |       1046 |          0 |       1046 |          0
  average dram access latency (ns)   |      78.14 |        inf |      78.30 |        inf |      82.25 |        inf |      85.03 |        inf |      79.42 |        inf |      90.90 |        inf |      90.73 |        inf |      89.82 |        inf |      79.16 |        inf |      86.33 |        inf |      78.67 |        inf |      78.97 |        inf |      82.12 |        inf |      78.17 |        inf |      78.51 |        inf |      77.07 |        inf
  average dram queueing delay        |      40.71 |       0.00 |      40.87 |       0.00 |      44.82 |       0.00 |      47.60 |       0.00 |      41.99 |       0.00 |      53.48 |       0.00 |      53.31 |       0.00 |      52.39 |       0.00 |      41.73 |       0.00 |      48.91 |       0.00 |      41.25 |       0.00 |      41.54 |       0.00 |      44.69 |       0.00 |      40.74 |       0.00 |      41.09 |       0.00 |      39.65 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |        126 |        126 |        126 |        126 |        126 |        126 |        126 |        126 |        126 |        126 |        126 |        126 |        126 |        126 |        126 |        126 |        126 |        126 |        126 |        126 |        126 |        126 |        126 |        126 |        126 |        126 |        126 |        126 |        126 |        126 |        126 |        126
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
